pair_id,file_a,file_b,expected_type
neg_BudgetBalancer__CsvColumnPicker,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/CsvColumnPicker.java,NON_CLONE
neg_BudgetBalancer__EmailValidator,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/EmailValidator.java,NON_CLONE
neg_BudgetBalancer__GradeSorter,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/GradeSorter.java,NON_CLONE
neg_BudgetBalancer__InventoryLookup,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/InventoryLookup.java,NON_CLONE
neg_BudgetBalancer__ListPrinter,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/ListPrinter.java,NON_CLONE
neg_BudgetBalancer__NameCollector,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/NameCollector.java,NON_CLONE
neg_BudgetBalancer__PasswordMasker,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/PasswordMasker.java,NON_CLONE
neg_BudgetBalancer__PrimeCounter,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/PrimeCounter.java,NON_CLONE
neg_BudgetBalancer__RangeLimiter,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/RangeLimiter.java,NON_CLONE
neg_BudgetBalancer__ScoreCalculator,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/ScoreCalculator.java,NON_CLONE
neg_BudgetBalancer__SessionCleaner,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/SessionCleaner.java,NON_CLONE
neg_BudgetBalancer__SlugBuilder,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/SlugBuilder.java,NON_CLONE
neg_BudgetBalancer__TemperatureAlert,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/TemperatureAlert.java,NON_CLONE
neg_BudgetBalancer__UserParser,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_BudgetBalancer__WordFrequency,samples/java/nonclone/BudgetBalancer.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_CsvColumnPicker__EmailValidator,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/EmailValidator.java,NON_CLONE
neg_CsvColumnPicker__GradeSorter,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/GradeSorter.java,NON_CLONE
neg_CsvColumnPicker__InventoryLookup,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/InventoryLookup.java,NON_CLONE
neg_CsvColumnPicker__ListPrinter,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/ListPrinter.java,NON_CLONE
neg_CsvColumnPicker__NameCollector,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/NameCollector.java,NON_CLONE
neg_CsvColumnPicker__PasswordMasker,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/PasswordMasker.java,NON_CLONE
neg_CsvColumnPicker__PrimeCounter,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/PrimeCounter.java,NON_CLONE
neg_CsvColumnPicker__RangeLimiter,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/RangeLimiter.java,NON_CLONE
neg_CsvColumnPicker__ScoreCalculator,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/ScoreCalculator.java,NON_CLONE
neg_CsvColumnPicker__SessionCleaner,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/SessionCleaner.java,NON_CLONE
neg_CsvColumnPicker__SlugBuilder,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/SlugBuilder.java,NON_CLONE
neg_CsvColumnPicker__TemperatureAlert,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/TemperatureAlert.java,NON_CLONE
neg_CsvColumnPicker__UserParser,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_CsvColumnPicker__WordFrequency,samples/java/nonclone/CsvColumnPicker.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_EmailValidator__GradeSorter,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/GradeSorter.java,NON_CLONE
neg_EmailValidator__InventoryLookup,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/InventoryLookup.java,NON_CLONE
neg_EmailValidator__ListPrinter,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/ListPrinter.java,NON_CLONE
neg_EmailValidator__NameCollector,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/NameCollector.java,NON_CLONE
neg_EmailValidator__PasswordMasker,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/PasswordMasker.java,NON_CLONE
neg_EmailValidator__PrimeCounter,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/PrimeCounter.java,NON_CLONE
neg_EmailValidator__RangeLimiter,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/RangeLimiter.java,NON_CLONE
neg_EmailValidator__ScoreCalculator,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/ScoreCalculator.java,NON_CLONE
neg_EmailValidator__SessionCleaner,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/SessionCleaner.java,NON_CLONE
neg_EmailValidator__SlugBuilder,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/SlugBuilder.java,NON_CLONE
neg_EmailValidator__TemperatureAlert,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/TemperatureAlert.java,NON_CLONE
neg_EmailValidator__UserParser,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_EmailValidator__WordFrequency,samples/java/nonclone/EmailValidator.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_GradeSorter__InventoryLookup,samples/java/nonclone/GradeSorter.java,samples/java/nonclone/InventoryLookup.java,NON_CLONE
neg_GradeSorter__ListPrinter,samples/java/nonclone/GradeSorter.java,samples/java/nonclone/ListPrinter.java,NON_CLONE
neg_GradeSorter__NameCollector,samples/java/nonclone/GradeSorter.java,samples/java/nonclone/NameCollector.java,NON_CLONE
neg_GradeSorter__PasswordMasker,samples/java/nonclone/GradeSorter.java,samples/java/nonclone/PasswordMasker.java,NON_CLONE
neg_GradeSorter__PrimeCounter,samples/java/nonclone/GradeSorter.java,samples/java/nonclone/PrimeCounter.java,NON_CLONE
neg_GradeSorter__RangeLimiter,samples/java/nonclone/GradeSorter.java,samples/java/nonclone/RangeLimiter.java,NON_CLONE
neg_GradeSorter__ScoreCalculator,samples/java/nonclone/GradeSorter.java,samples/java/nonclone/ScoreCalculator.java,NON_CLONE
neg_GradeSorter__SessionCleaner,samples/java/nonclone/GradeSorter.java,samples/java/nonclone/SessionCleaner.java,NON_CLONE
neg_GradeSorter__SlugBuilder,samples/java/nonclone/GradeSorter.java,samples/java/nonclone/SlugBuilder.java,NON_CLONE
neg_GradeSorter__TemperatureAlert,samples/java/nonclone/GradeSorter.java,samples/java/nonclone/TemperatureAlert.java,NON_CLONE
neg_GradeSorter__UserParser,samples/java/nonclone/GradeSorter.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_GradeSorter__WordFrequency,samples/java/nonclone/GradeSorter.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_InventoryLookup__ListPrinter,samples/java/nonclone/InventoryLookup.java,samples/java/nonclone/ListPrinter.java,NON_CLONE
neg_InventoryLookup__NameCollector,samples/java/nonclone/InventoryLookup.java,samples/java/nonclone/NameCollector.java,NON_CLONE
neg_InventoryLookup__PasswordMasker,samples/java/nonclone/InventoryLookup.java,samples/java/nonclone/PasswordMasker.java,NON_CLONE
neg_InventoryLookup__PrimeCounter,samples/java/nonclone/InventoryLookup.java,samples/java/nonclone/PrimeCounter.java,NON_CLONE
neg_InventoryLookup__RangeLimiter,samples/java/nonclone/InventoryLookup.java,samples/java/nonclone/RangeLimiter.java,NON_CLONE
neg_InventoryLookup__ScoreCalculator,samples/java/nonclone/InventoryLookup.java,samples/java/nonclone/ScoreCalculator.java,NON_CLONE
neg_InventoryLookup__SessionCleaner,samples/java/nonclone/InventoryLookup.java,samples/java/nonclone/SessionCleaner.java,NON_CLONE
neg_InventoryLookup__SlugBuilder,samples/java/nonclone/InventoryLookup.java,samples/java/nonclone/SlugBuilder.java,NON_CLONE
neg_InventoryLookup__TemperatureAlert,samples/java/nonclone/InventoryLookup.java,samples/java/nonclone/TemperatureAlert.java,NON_CLONE
neg_InventoryLookup__UserParser,samples/java/nonclone/InventoryLookup.java,samples/java/nonclone/UserParser.java,NON_CLONE
neg_InventoryLookup__WordFrequency,samples/java/nonclone/InventoryLookup.java,samples/java/nonclone/WordFrequency.java,NON_CLONE
neg_ListPrinter__NameCollector,samples/java/nonclone/ListPrinter.java,samples/java/nonclone/NameCollector.java,NON_CLONE
neg_ListPrinter__PasswordMasker,samples/java/nonclone/ListPrinter.java,samples/java/nonclone/PasswordMasker.java,NON_CLONE
neg_ListPrinter__PrimeCounter,samples/java/nonclone/ListPrinter.java,samples/java/nonclone/PrimeCounter.java,NON_CLONE
neg_ListPrinter__RangeLimiter,samples/java/nonclone/ListPrinter.java,samples/java/nonclone/RangeLimiter.java,NON_CLONE
neg_ListPrinter__ScoreCalculator,samples/java/nonclone/ListPrinter.java,samples/java/nonclone/ScoreCalculator.java,NON_CLONE
neg_ListPrinter__SessionCleaner,samples/java/nonclone/ListPrinter.java,samples/java/nonclone/SessionCleaner.java,NON_CLONE
