pair_id,ref_index,kind,expected,operator,status,candidates,matched,predicted_type,type_correct,coverage,precision,iou
R00000,0,CLONE_INTERVAL,T3,t3_delete_statement,ok,1,True,T3,True,1.0,0.2381,0.2381
R00000,1,MUTATION,T3,t3_delete_statement,ok,5,True,T3,True,1.0,1.0,1.0
R00000,2,CLONE_INTERVAL,T2,t2_rename_local,ok,1,True,T3,False,1.0,0.3636,0.3636
R00000,3,MUTATION,T2,t2_rename_local,ok,5,True,T2,True,1.0,1.0,1.0
R00000,4,UNTOUCHED,T1,none,ok,5,True,T1,True,0.6667,0.2857,0.25
R00000,5,UNTOUCHED,T1,none,ok,5,True,T1,True,0.6667,0.6667,0.5
R00000,6,UNTOUCHED,T1,none,ok,5,True,T1,True,0.6667,0.6667,0.5
R00001,0,CLONE_INTERVAL,T2,t2_rename_local,ok,1,True,T2,True,1.0,0.1571,0.1571
R00001,1,MUTATION,T2,t2_rename_local,ok,7,True,T2,True,0.3,1.0,0.3
R00001,4,CLONE_INTERVAL,T1,t1_reindent,ok,1,True,T2,False,1.0,0.1143,0.1143
R00001,5,MUTATION,T1,t1_reindent,ok,7,True,T1,True,0.75,0.1364,0.1304
R00001,6,UNTOUCHED,T1,none,ok,7,True,T1,True,0.6667,1.0,0.6667
R00001,7,UNTOUCHED,T1,none,ok,7,True,T1,True,0.6667,0.0455,0.0444
R00001,8,UNTOUCHED,T1,none,ok,7,True,T1,True,0.6667,0.0909,0.087
R00001,9,UNTOUCHED,T1,none,ok,7,True,T1,True,0.6667,0.1818,0.1667
R00002,0,CLONE_INTERVAL,T2,t2_change_int_literal,ok,1,True,T2,True,1.0,0.2143,0.2143
R00002,1,MUTATION,T2,t2_change_int_literal,ok,5,True,T2,True,1.0,1.0,1.0
R00002,2,CLONE_INTERVAL,T2,t2_change_string_literal,ok,1,True,T2,True,1.0,0.2857,0.2857
R00002,3,MUTATION,T2,t2_change_string_literal,ok,5,True,T2,True,1.0,1.0,1.0
R00002,4,UNTOUCHED,T1,none,ok,5,True,T1,True,0.6667,0.5714,0.4444
