"FUNCTION_ID_ONE","FUNCTION_ID_TWO","FUNCTIONALITY_ID","SIM_BOTH","NAME1","TYPE1","S1","E1","NAME2","TYPE2","S2","E2"
"6031248","14581601","4","1.0","166275.java","selected","159","171","2558574.java","selected","570","582"
"2825450","14581601","4","1.0","1434515.java","selected","77","89","2558574.java","selected","570","582"
"14581601","16324741","4","1.0","2558574.java","selected","570","582","153582.java","selected","256","268"
"6188784","14581601","4","1.0","2688879.java","selected","37","49","2558574.java","selected","570","582"
"14581601","23596949","4","1.0","2558574.java","selected","570","582","2211044.java","selected","280","292"
"9325670","14581601","4","1.0","1262585.java","selected","54","66","2558574.java","selected","570","582"
"11993046","14581601","4","1.0","1752530.java","selected","128","140","2558574.java","selected","570","582"
"2418918","14581601","4","1.0","1632727.java","selected","129","141","2558574.java","selected","570","582"
"6980854","14581601","4","1.0","567178.java","selected","45","57","2558574.java","selected","570","582"
"14581601","23613195","4","1.0","2558574.java","selected","570","582","215042.java","selected","58","70"
"1424647","14581601","4","1.0","2082.java","selected","64","76","2558574.java","selected","570","582"
"10368839","11627705","4","1.0","836722.java","selected","118","126","77754.java","selected","849","857"
"5523389","11627705","4","1.0","1823751.java","selected","50","58","77754.java","selected","849","857"
"3422759","22271237","4","1.0","1676100.java","selected","297","315","1113498.java","selected","86","104"
"3422759","14502142","4","1.0","1676100.java","selected","297","315","1068957.java","selected","11","29"
"3422759","21177597","4","1.0","1676100.java","selected","297","315","572754.java","selected","19","37"
"15854363","22207779","4","1.0","861615.java","selected","507","528","880474.java","selected","604","625"
"2461169","4623012","4","1.0","927691.java","selected","790","816","375037.java","selected","851","877"
"2461169","8625346","4","1.0","927691.java","selected","790","816","2429982.java","selected","836","862"
"367770","2461169","4","1.0","122954.java","default","836","862","927691.java","selected","790","816"
"2461169","14317425","4","1.0","927691.java","selected","790","816","753625.java","selected","754","780"
"2461169","18269744","4","1.0","927691.java","selected","790","816","59218.java","selected","732","758"
"2461168","2461169","4","1.0","927691.java","selected","754","780","927691.java","selected","790","816"
"2461169","8793825","4","1.0","927691.java","selected","790","816","1607771.java","selected","838","864"
"2461169","16351775","4","1.0","927691.java","selected","790","816","1931054.java","selected","838","864"
"2461169","7760800","4","1.0","927691.java","selected","790","816","2626904.java","selected","838","864"
"2461169","16224017","4","1.0","927691.java","selected","790","816","110490.java","selected","838","864"
"2461169","13783898","4","1.0","927691.java","selected","790","816","1966020.java","selected","858","884"
"2461169","19584877","4","1.0","927691.java","selected","790","816","1098324.java","selected","815","841"
"2461169","2711644","4","1.0","927691.java","selected","790","816","264272.java","selected","754","780"
"2461169","8778961","4","1.0","927691.java","selected","790","816","2599719.java","selected","838","864"
"2461169","12172484","4","1.0","927691.java","selected","790","816","1882693.java","selected","837","863"
"2461169","15571541","4","1.0","927691.java","selected","790","816","1560483.java","selected","754","780"
"1458628","2461169","4","1.0","1511595.java","selected","834","860","927691.java","selected","790","816"
"411630","2461169","4","1.0","77069.java","default","836","862","927691.java","selected","790","816"
"2461169","3768628","4","1.0","927691.java","selected","790","816","2554952.java","selected","838","864"
"831649","2461169","4","1.0","85394.java","default","836","862","927691.java","selected","790","816"
"2461169","6814854","4","1.0","927691.java","selected","790","816","209298.java","selected","804","830"
"2461169","18623182","4","1.0","927691.java","selected","790","816","1561076.java","selected","908","934"
"1421557","2461169","4","1.0","597475.java","selected","838","864","927691.java","selected","790","816"
"2461169","14183083","4","1.0","927691.java","selected","790","816","1103041.java","selected","838","864"
"2461169","16466519","4","1.0","927691.java","selected","790","816","1139080.java","selected","845","871"
"2461169","22246374","4","1.0","927691.java","selected","790","816","2481579.java","selected","857","883"
"250595","2461169","4","1.0","126904.java","default","836","862","927691.java","selected","790","816"
"2461169","7132185","4","1.0","927691.java","selected","790","816","364540.java","selected","835","861"
"2461169","9693856","4","1.0","927691.java","selected","790","816","964253.java","selected","838","864"
"948486","2461169","4","1.0","16883.java","default","853","879","927691.java","selected","790","816"
"1966262","2461169","4","1.0","1483221.java","selected","836","862","927691.java","selected","790","816"
"2461169","10287986","4","1.0","927691.java","selected","790","816","2215261.java","selected","838","864"
"2461169","18731109","4","1.0","927691.java","selected","790","816","2365821.java","selected","838","864"
"2461169","19142736","4","1.0","927691.java","selected","790","816","1402632.java","selected","838","864"
"2461169","6244936","4","1.0","927691.java","selected","790","816","183804.java","selected","752","778"
"2461169","13028546","4","1.0","927691.java","selected","790","816","593263.java","selected","837","863"
"2461169","2532321","4","1.0","927691.java","selected","790","816","244622.java","selected","837","863"
"2461169","11319479","4","1.0","927691.java","selected","790","816","2430560.java","selected","838","864"
"2461169","16388707","4","1.0","927691.java","selected","790","816","1802351.java","selected","838","864"
"2461169","13902980","4","1.0","927691.java","selected","790","816","304936.java","selected","835","861"
"2461169","8612647","4","1.0","927691.java","selected","790","816","707943.java","selected","837","863"
"2461169","4518933","4","1.0","927691.java","selected","790","816","1496807.java","selected","848","874"
"2461169","12678588","4","1.0","927691.java","selected","790","816","2510322.java","selected","754","780"
"2461169","21870536","4","1.0","927691.java","selected","790","816","1876215.java","selected","753","779"
"2461169","11548510","4","1.0","927691.java","selected","790","816","2640664.java","selected","753","779"
"2461169","4471000","4","1.0","927691.java","selected","790","816","2229382.java","selected","838","864"
"2461169","17456565","4","1.0","927691.java","selected","790","816","2038811.java","selected","838","864"
"2461169","19912847","4","1.0","927691.java","selected","790","816","419020.java","selected","901","927"
"2461169","9088422","4","1.0","927691.java","selected","790","816","2348309.java","selected","754","780"
"2461169","12614305","4","1.0","927691.java","selected","790","816","2339370.java","selected","755","781"
"2461169","22993367","4","1.0","927691.java","selected","790","816","2108660.java","selected","923","949"
"2461169","21488868","4","1.0","927691.java","selected","790","816","588446.java","selected","839","865"
"2461169","6061402","4","1.0","927691.java","selected","790","816","2190287.java","selected","837","863"
"4623012","12614306","4","1.0","375037.java","selected","851","877","2339370.java","selected","791","817"
"8625346","12614306","4","1.0","2429982.java","selected","836","862","2339370.java","selected","791","817"
"367770","12614306","4","1.0","122954.java","default","836","862","2339370.java","selected","791","817"
"12614306","14317425","4","1.0","2339370.java","selected","791","817","753625.java","selected","754","780"
"12614306","18269744","4","1.0","2339370.java","selected","791","817","59218.java","selected","732","758"
"2461168","12614306","4","1.0","927691.java","selected","754","780","2339370.java","selected","791","817"
"8793825","12614306","4","1.0","1607771.java","selected","838","864","2339370.java","selected","791","817"
"12614306","16351775","4","1.0","2339370.java","selected","791","817","1931054.java","selected","838","864"
"7760800","12614306","4","1.0","2626904.java","selected","838","864","2339370.java","selected","791","817"
"12614306","16224017","4","1.0","2339370.java","selected","791","817","110490.java","selected","838","864"
"12614306","13783898","4","1.0","2339370.java","selected","791","817","1966020.java","selected","858","884"
"12614306","19584877","4","1.0","2339370.java","selected","791","817","1098324.java","selected","815","841"
"2711644","12614306","4","1.0","264272.java","selected","754","780","2339370.java","selected","791","817"
"8778961","12614306","4","1.0","2599719.java","selected","838","864","2339370.java","selected","791","817"
"12172484","12614306","4","1.0","1882693.java","selected","837","863","2339370.java","selected","791","817"
"12614306","15571541","4","1.0","2339370.java","selected","791","817","1560483.java","selected","754","780"
"1458628","12614306","4","1.0","1511595.java","selected","834","860","2339370.java","selected","791","817"
"411630","12614306","4","1.0","77069.java","default","836","862","2339370.java","selected","791","817"
"3768628","12614306","4","1.0","2554952.java","selected","838","864","2339370.java","selected","791","817"
"831649","12614306","4","1.0","85394.java","default","836","862","2339370.java","selected","791","817"
"6814854","12614306","4","1.0","209298.java","selected","804","830","2339370.java","selected","791","817"
"12614306","18623182","4","1.0","2339370.java","selected","791","817","1561076.java","selected","908","934"
"1421557","12614306","4","1.0","597475.java","selected","838","864","2339370.java","selected","791","817"
"12614306","14183083","4","1.0","2339370.java","selected","791","817","1103041.java","selected","838","864"
"12614306","16466519","4","1.0","2339370.java","selected","791","817","1139080.java","selected","845","871"
"12614306","22246374","4","1.0","2339370.java","selected","791","817","2481579.java","selected","857","883"
"250595","12614306","4","1.0","126904.java","default","836","862","2339370.java","selected","791","817"
"7132185","12614306","4","1.0","364540.java","selected","835","861","2339370.java","selected","791","817"
"9693856","12614306","4","1.0","964253.java","selected","838","864","2339370.java","selected","791","817"
"948486","12614306","4","1.0","16883.java","default","853","879","2339370.java","selected","791","817"
"1966262","12614306","4","1.0","1483221.java","selected","836","862","2339370.java","selected","791","817"
"10287986","12614306","4","1.0","2215261.java","selected","838","864","2339370.java","selected","791","817"
"12614306","18731109","4","1.0","2339370.java","selected","791","817","2365821.java","selected","838","864"
"12614306","19142736","4","1.0","2339370.java","selected","791","817","1402632.java","selected","838","864"
"6244936","12614306","4","1.0","183804.java","selected","752","778","2339370.java","selected","791","817"
"12614306","13028546","4","1.0","2339370.java","selected","791","817","593263.java","selected","837","863"
"2532321","12614306","4","1.0","244622.java","selected","837","863","2339370.java","selected","791","817"
"11319479","12614306","4","1.0","2430560.java","selected","838","864","2339370.java","selected","791","817"
"12614306","16388707","4","1.0","2339370.java","selected","791","817","1802351.java","selected","838","864"
"12614306","13902980","4","1.0","2339370.java","selected","791","817","304936.java","selected","835","861"
"8612647","12614306","4","1.0","707943.java","selected","837","863","2339370.java","selected","791","817"
"4518933","12614306","4","1.0","1496807.java","selected","848","874","2339370.java","selected","791","817"
"12614306","12678588","4","1.0","2339370.java","selected","791","817","2510322.java","selected","754","780"
"12614306","21870536","4","1.0","2339370.java","selected","791","817","1876215.java","selected","753","779"
"11548510","12614306","4","1.0","2640664.java","selected","753","779","2339370.java","selected","791","817"
"4471000","12614306","4","1.0","2229382.java","selected","838","864","2339370.java","selected","791","817"
"12614306","17456565","4","1.0","2339370.java","selected","791","817","2038811.java","selected","838","864"
"12614306","19912847","4","1.0","2339370.java","selected","791","817","419020.java","selected","901","927"
"9088422","12614306","4","1.0","2348309.java","selected","754","780","2339370.java","selected","791","817"
"12614305","12614306","4","1.0","2339370.java","selected","755","781","2339370.java","selected","791","817"
"12614306","22993367","4","1.0","2339370.java","selected","791","817","2108660.java","selected","923","949"
"12614306","21488868","4","1.0","2339370.java","selected","791","817","588446.java","selected","839","865"
"6061402","12614306","4","1.0","2190287.java","selected","837","863","2339370.java","selected","791","817"
"3024986","3024993","4","1.0","2078997.java","selected","208","218","2078997.java","selected","296","306"
"4623012","8793826","4","1.0","375037.java","selected","851","877","1607771.java","selected","874","900"
"4623012","18623183","4","1.0","375037.java","selected","851","877","1561076.java","selected","946","972"
"4623012","18269745","4","1.0","375037.java","selected","851","877","59218.java","selected","768","794"
"4623012","7760801","4","1.0","375037.java","selected","851","877","2626904.java","selected","874","900"
"4623012","12678589","4","1.0","375037.java","selected","851","877","2510322.java","selected","790","816"
"4623012","21870537","4","1.0","375037.java","selected","851","877","1876215.java","selected","789","815"
"4623012","4623013","4","1.0","375037.java","selected","851","877","375037.java","selected","887","913"
"4623012","11548511","4","1.0","375037.java","selected","851","877","2640664.java","selected","789","815"
"831650","4623012","4","1.0","85394.java","default","872","898","375037.java","selected","851","877"
"4623012","17456566","4","1.0","375037.java","selected","851","877","2038811.java","selected","874","900"
"3768629","4623012","4","1.0","2554952.java","selected","874","900","375037.java","selected","851","877"
"4623012","19142737","4","1.0","375037.java","selected","851","877","1402632.java","selected","874","900"
"4623012","6814855","4","1.0","375037.java","selected","851","877","209298.java","selected","840","866"
"4623012","19584878","4","1.0","375037.java","selected","851","877","1098324.java","selected","851","877"
"4623012","13028547","4","1.0","375037.java","selected","851","877","593263.java","selected","873","899"
"4623012","11319480","4","1.0","375037.java","selected","851","877","2430560.java","selected","874","900"
"4623012","16466520","4","1.0","375037.java","selected","851","877","1139080.java","selected","881","907"
"4623012","16388708","4","1.0","375037.java","selected","851","877","1802351.java","selected","874","900"
"4623012","16224018","4","1.0","375037.java","selected","851","877","110490.java","selected","874","900"
"4623012","14183084","4","1.0","375037.java","selected","851","877","1103041.java","selected","874","900"
"367771","4623012","4","1.0","122954.java","default","872","898","375037.java","selected","851","877"
"2711645","4623012","4","1.0","264272.java","selected","790","816","375037.java","selected","851","877"
"4623012","12172485","4","1.0","375037.java","selected","851","877","1882693.java","selected","873","899"
"4623012","14317426","4","1.0","375037.java","selected","851","877","753625.java","selected","790","816"
"1458629","4623012","4","1.0","1511595.java","selected","870","896","375037.java","selected","851","877"
"4623012","15571542","4","1.0","375037.java","selected","851","877","1560483.java","selected","790","816"
"250596","4623012","4","1.0","126904.java","default","872","898","375037.java","selected","851","877"
"4623012","10287987","4","1.0","375037.java","selected","851","877","2215261.java","selected","874","900"
"4623012","6244937","4","1.0","375037.java","selected","851","877","183804.java","selected","788","814"
"4623012","6061403","4","1.0","375037.java","selected","851","877","2190287.java","selected","873","899"
"1421558","4623012","4","1.0","597475.java","selected","874","900","375037.java","selected","851","877"
"4623012","13902981","4","1.0","375037.java","selected","851","877","304936.java","selected","871","897"
"4623012","8612648","4","1.0","375037.java","selected","851","877","707943.java","selected","873","899"
"4623012","22246375","4","1.0","375037.java","selected","851","877","2481579.java","selected","893","919"
"4623012","13783899","4","1.0","375037.java","selected","851","877","1966020.java","selected","894","920"
"4623012","7132186","4","1.0","375037.java","selected","851","877","364540.java","selected","871","897"
"4623012","9693857","4","1.0","375037.java","selected","851","877","964253.java","selected","874","900"
"4623012","18731110","4","1.0","375037.java","selected","851","877","2365821.java","selected","874","900"
"1966263","4623012","4","1.0","1483221.java","selected","872","898","375037.java","selected","851","877"
"4623012","8778962","4","1.0","375037.java","selected","851","877","2599719.java","selected","874","900"
"411631","4623012","4","1.0","77069.java","default","872","898","375037.java","selected","851","877"
"4623012","19912848","4","1.0","375037.java","selected","851","877","419020.java","selected","939","965"
"4623012","21488869","4","1.0","375037.java","selected","851","877","588446.java","selected","875","901"
"2532322","4623012","4","1.0","244622.java","selected","873","899","375037.java","selected","851","877"
"4623012","16351776","4","1.0","375037.java","selected","851","877","1931054.java","selected","874","900"
"4518934","4623012","4","1.0","1496807.java","selected","884","910","375037.java","selected","851","877"
"948487","4623012","4","1.0","16883.java","default","889","915","375037.java","selected","851","877"
