pair_id,expected_type,band,functionality_id,sim_both,bcb_f1,bcb_f2
T1_000000,T1,,4,1.0,10601019,11627705
T1_000001,T1,,4,1.0,11627705,16924659
T1_000002,T1,,4,1.0,11627705,17791385
T1_000003,T1,,4,1.0,11627705,13834118
T1_000004,T1,,4,1.0,10656323,22046596
T1_000005,T1,,4,1.0,8389315,22046596
T1_000006,T1,,4,1.0,10169905,22046596
T1_000007,T1,,4,1.0,651715,672106
T1_000008,T1,,4,1.0,150478,651715
T1_000009,T1,,4,1.0,335223,651715
T1_000010,T1,,4,1.0,606859,651715
T1_000011,T1,,4,1.0,651715,755203
T1_000012,T1,,4,1.0,651715,792644
T1_000013,T1,,4,1.0,78966,651715
T1_000014,T1,,4,1.0,33845,651715
T1_000015,T1,,4,1.0,567476,651715
T1_000016,T1,,4,1.0,638963,651715
T1_000017,T1,,4,1.0,651715,810724
T1_000018,T1,,4,1.0,651715,850680
T1_000019,T1,,4,1.0,651715,839385
T1_000020,T1,,4,1.0,288978,651715
T1_000021,T1,,4,1.0,586503,651715
T1_000022,T1,,4,1.0,651715,934048
T1_000023,T1,,4,1.0,116038,651715
T1_000024,T1,,4,1.0,651715,804637
T1_000025,T1,,4,1.0,346058,651715
T1_000026,T1,,4,1.0,534739,651715
T1_000027,T1,,4,1.0,413562,651715
T1_000028,T1,,4,1.0,651715,810884
T1_000029,T1,,4,1.0,536614,651715
T1_000030,T1,,4,1.0,651715,822452
T1_000031,T1,,4,1.0,601908,651715
T1_000032,T1,,4,1.0,651715,811157
T1_000033,T1,,4,1.0,536222,651715
T1_000034,T1,,4,1.0,651715,814473
T1_000035,T1,,4,1.0,651715,950938
T1_000036,T1,,4,1.0,651715,896372
T1_000037,T1,,4,1.0,40044,651715
T1_000038,T1,,4,1.0,651715,662799
T1_000039,T1,,4,1.0,597134,651715
T1_000040,T1,,4,1.0,651715,854262
T1_000041,T1,,4,1.0,649595,651715
T1_000042,T1,,4,1.0,651715,801395
T1_000043,T1,,4,1.0,651715,665978
T1_000044,T1,,4,1.0,621362,651715
T1_000045,T1,,4,1.0,189963,651715
T1_000046,T1,,4,1.0,258490,651715
T1_000047,T1,,4,1.0,651715,653541
T1_000048,T1,,4,1.0,624490,651715
T1_000049,T1,,4,1.0,636262,651715
T1_000050,T1,,4,1.0,397240,651715
T1_000051,T1,,4,1.0,651715,908793
T1_000052,T1,,4,1.0,651715,841724
T1_000053,T1,,4,1.0,241286,651715
T1_000054,T1,,4,1.0,414463,651715
T1_000055,T1,,4,1.0,614390,651715
T1_000056,T1,,4,1.0,126187,651715
T1_000057,T1,,4,1.0,651715,708766
T1_000058,T1,,4,1.0,46158,651715
T1_000059,T1,,4,1.0,651715,832329
T1_000060,T1,,4,1.0,137780,651715
T1_000061,T1,,4,1.0,305886,651715
T1_000062,T1,,4,1.0,339301,651715
T1_000063,T1,,4,1.0,332635,651715
T1_000064,T1,,4,1.0,213301,651715
T1_000065,T1,,4,1.0,651715,946865
T1_000066,T1,,4,1.0,44949,651715
T1_000067,T1,,4,1.0,10851,651715
T1_000068,T1,,4,1.0,223631,651715
T1_000069,T1,,4,1.0,330216,651715
T1_000070,T1,,4,1.0,88047,651715
T1_000071,T1,,4,1.0,530882,651715
T1_000072,T1,,4,1.0,300397,651715
T1_000073,T1,,4,1.0,168607,651715
T1_000074,T1,,4,1.0,651715,820905
T1_000075,T1,,4,1.0,228925,651715
T1_000076,T1,,4,1.0,651715,916271
T1_000077,T1,,4,1.0,651715,896701
T1_000078,T1,,4,1.0,47337,651715
T1_000079,T1,,4,1.0,651715,668660
T1_000080,T1,,4,1.0,651715,949221
T1_000081,T1,,4,1.0,651715,840277
T1_000082,T1,,4,1.0,292999,651715
T1_000083,T1,,4,1.0,651715,751335
T1_000084,T1,,4,1.0,161844,651715
T1_000085,T1,,4,1.0,470160,651715
T1_000086,T1,,4,1.0,92552,651715
T1_000087,T1,,4,1.0,651715,793635
T1_000088,T1,,4,1.0,370982,651715
T1_000089,T1,,4,1.0,651715,746544
T1_000090,T1,,4,1.0,93208,651715
T1_000091,T1,,4,1.0,651715,777609
T1_000092,T1,,4,1.0,302513,651715
T1_000093,T1,,4,1.0,651715,689689
T1_000094,T1,,4,1.0,272875,651715
T1_000095,T1,,4,1.0,303331,651715
T1_000096,T1,,4,1.0,651715,896284
T1_000097,T1,,4,1.0,130757,651715
T1_000098,T1,,4,1.0,184741,651715
T1_000099,T1,,4,1.0,567313,651715
T1_000100,T1,,4,1.0,651715,709584
T1_000101,T1,,4,1.0,79355,651715
T1_000102,T1,,4,1.0,651715,813913
T1_000103,T1,,4,1.0,210587,651715
T1_000104,T1,,4,1.0,150478,672106
T1_000105,T1,,4,1.0,335223,672106
T1_000106,T1,,4,1.0,606859,672106
T1_000107,T1,,4,1.0,672106,755203
T1_000108,T1,,4,1.0,672106,792644
T1_000109,T1,,4,1.0,78966,672106
T1_000110,T1,,4,1.0,33845,672106
T1_000111,T1,,4,1.0,567476,672106
T1_000112,T1,,4,1.0,638963,672106
T1_000113,T1,,4,1.0,672106,810724
T1_000114,T1,,4,1.0,672106,850680
T1_000115,T1,,4,1.0,672106,839385
T1_000116,T1,,4,1.0,288978,672106
T1_000117,T1,,4,1.0,586503,672106
T1_000118,T1,,4,1.0,672106,934048
T1_000119,T1,,4,1.0,116038,672106
T1_000120,T1,,4,1.0,672106,804637
T1_000121,T1,,4,1.0,346058,672106
T1_000122,T1,,4,1.0,534739,672106
T1_000123,T1,,4,1.0,413562,672106
T1_000124,T1,,4,1.0,672106,810884
T1_000125,T1,,4,1.0,536614,672106
T1_000126,T1,,4,1.0,672106,822452
T1_000127,T1,,4,1.0,601908,672106
T1_000128,T1,,4,1.0,672106,811157
T1_000129,T1,,4,1.0,536222,672106
T1_000130,T1,,4,1.0,672106,814473
T1_000131,T1,,4,1.0,672106,950938
T1_000132,T1,,4,1.0,672106,896372
T1_000133,T1,,4,1.0,40044,672106
T1_000134,T1,,4,1.0,662799,672106
T1_000135,T1,,4,1.0,597134,672106
T1_000136,T1,,4,1.0,672106,854262
T1_000137,T1,,4,1.0,649595,672106
T1_000138,T1,,4,1.0,672106,801395
T1_000139,T1,,4,1.0,665978,672106
T1_000140,T1,,4,1.0,621362,672106
T1_000141,T1,,4,1.0,189963,672106
T1_000142,T1,,4,1.0,258490,672106
T1_000143,T1,,4,1.0,653541,672106
T1_000144,T1,,4,1.0,624490,672106
T1_000145,T1,,4,1.0,636262,672106
T1_000146,T1,,4,1.0,397240,672106
T1_000147,T1,,4,1.0,672106,908793
T1_000148,T1,,4,1.0,672106,841724
T1_000149,T1,,4,1.0,241286,672106
T1_000150,T1,,4,1.0,414463,672106
T1_000151,T1,,4,1.0,614390,672106
T1_000152,T1,,4,1.0,126187,672106
T1_000153,T1,,4,1.0,672106,708766
T1_000154,T1,,4,1.0,46158,672106
T1_000155,T1,,4,1.0,672106,832329
T1_000156,T1,,4,1.0,137780,672106
T1_000157,T1,,4,1.0,305886,672106
T1_000158,T1,,4,1.0,339301,672106
T1_000159,T1,,4,1.0,332635,672106
T1_000160,T1,,4,1.0,213301,672106
T1_000161,T1,,4,1.0,672106,946865
T1_000162,T1,,4,1.0,44949,672106
T1_000163,T1,,4,1.0,10851,672106
T1_000164,T1,,4,1.0,223631,672106
T1_000165,T1,,4,1.0,330216,672106
T1_000166,T1,,4,1.0,88047,672106
T1_000167,T1,,4,1.0,530882,672106
T1_000168,T1,,4,1.0,300397,672106
T1_000169,T1,,4,1.0,168607,672106
T1_000170,T1,,4,1.0,672106,820905
T1_000171,T1,,4,1.0,228925,672106
T1_000172,T1,,4,1.0,672106,916271
T1_000173,T1,,4,1.0,672106,896701
T1_000174,T1,,4,1.0,47337,672106
T1_000175,T1,,4,1.0,668660,672106
T1_000176,T1,,4,1.0,672106,949221
T1_000177,T1,,4,1.0,672106,840277
T1_000178,T1,,4,1.0,292999,672106
T1_000179,T1,,4,1.0,672106,751335
T1_000180,T1,,4,1.0,161844,672106
