label,fid,stype,simtok,file1,file2,S1,S2,S3,S4,S5,Combined
T2,4,2,1.0,CopyFileSamples.java,CopyFileSamples.java,100.00,100.00,100.00,100.00,33.33,77.78
T3_strong,7,3,0.870967741935484,BubbleSort.java,BubbleSort.java,58.49,40.35,70.91,89.92,0.00,43.28
T3_strong,7,3,0.701612903225806,BubbleSort.java,BubbleSort.java,37.70,20.31,50.00,68.99,0.00,29.50
T3_strong,5,3,0.778325123152709,UnZip.java,UnZip.java,74.60,50.00,75.86,70.33,57.14,64.18
T3_strong,6,3,0.836363636363636,FTP_ApacheCommonsNet_Samples.java,FTP_FTP4J_Samples.java,68.75,52.17,95.00,84.75,100.00,83.44
T3_strong,6,3,0.901960784313726,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,83.87,52.17,95.00,90.91,100.00,86.99
T3_strong,6,3,0.927272727272727,FTP_ApacheCommonsNet_Samples.java,FTP_FTP4J_Samples.java,84.38,70.00,100.00,93.22,100.00,91.27
T3_strong,7,3,0.801801801801802,BubbleSort.java,BubbleSort.java,52.94,30.36,68.52,75.42,N/A,56.81
T3_strong,6,3,0.85,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,87.88,33.33,90.48,69.70,66.67,69.12
T3_strong,7,3,0.792792792792793,BubbleSort.java,BubbleSort.java,52.94,23.73,68.52,74.58,N/A,54.94
T3_strong,7,3,0.79646017699115,BubbleSort.java,BubbleSort.java,38.71,23.44,47.69,60.17,0.00,28.33
T3_strong,4,3,0.724137931034483,CopyFileSamples.java,CopyFileSamples.java,54.76,28.95,55.56,70.11,16.67,40.45
T3_strong,7,3,0.870967741935484,BubbleSort.java,BubbleSort.java,58.49,40.35,70.91,89.92,0.00,43.28
T3_strong,7,3,0.831858407079646,BubbleSort.java,BubbleSort.java,53.57,40.74,55.74,81.36,0.00,38.57
T3_strong,7,3,0.870967741935484,BubbleSort.java,BubbleSort.java,58.49,40.35,70.91,89.92,0.00,43.28
T3_strong,7,3,0.792792792792793,BubbleSort.java,BubbleSort.java,52.94,23.73,68.52,74.58,N/A,54.94
T3_strong,7,3,0.831858407079646,BubbleSort.java,BubbleSort.java,53.57,33.33,55.74,81.36,0.00,37.33
T3_strong,7,3,0.981981981981982,BubbleSort.java,BubbleSort.java,100.00,46.15,100.00,98.31,N/A,86.11
T3_strong,7,3,0.981981981981982,BubbleSort.java,BubbleSort.java,100.00,46.15,100.00,98.31,N/A,86.11
T3_medium,4,3,0.504672897196262,CopyFileSamples.java,CopyFileSamples.java,55.88,37.93,68.00,55.88,14.29,41.04
T3_medium,4,3,0.620689655172414,CopyFileSamples.java,CopyFileSamples.java,53.66,30.56,57.58,65.52,25.00,42.88
T3_medium,4,3,0.626168224299065,CopyFileSamples.java,CopyFileSamples.java,47.83,26.19,47.37,56.86,12.50,33.87
T3_medium,4,3,0.579439252336449,CopyFileSamples.java,CopyFileSamples.java,66.67,35.48,70.37,57.84,11.11,42.10
T3_medium,2,3,0.586206896551724,DownloadWebpage.java,DownloadWebpage.java,58.18,37.68,72.92,52.33,16.67,42.41
T3_medium,4,3,0.620689655172414,CopyFileSamples.java,CopyFileSamples.java,53.66,30.56,57.58,65.52,25.00,42.88
T3_weak,4,3,0.444444444444444,CopyFileSamples.java,CopyFileSamples.java,57.69,33.33,55.00,43.86,0.00,31.65
T3_weak,4,3,0.224299065420561,CopyFileSamples.java,CopyFileSamples.java,43.75,17.24,45.83,24.51,0.00,21.89
T3_weak,4,3,0.348484848484849,CopyFileSamples.java,CopyFileSamples.java,48.28,20.00,45.83,36.51,0.00,25.10
T3_weak,4,3,0.275862068965517,CopyFileSamples.java,CopyFileSamples.java,36.59,13.89,32.35,28.74,0.00,18.59
T3_weak,4,3,0.444444444444444,CopyFileSamples.java,CopyFileSamples.java,57.69,33.33,55.00,43.86,0.00,31.65
T3_weak,2,3,0.454022988505747,DownloadWebpage.java,DownloadWebpage.java,67.35,50.00,74.47,45.93,25.00,47.96
non-clone,6/9,0,0,SendEMail.java,CallMethodUsingReflection.java,12.05,9.52,19.08,23.85,0.00,10.75
non-clone,2/3,0,0,ConnectToDatabaseJDBC.java,ScreenShot.java,39.13,13.46,55.26,41.35,0.00,24.87
non-clone,11/4,0,0,LoadFont.java,BinarySearch.java,2.50,0.00,6.12,30.68,0.00,6.55
non-clone,8/11,0,0,TestPalindrome.java,FTP_ApacheCommonsNet_Samples.java,7.02,2.63,17.78,28.79,0.00,9.37
non-clone,3/6,0,0,TestPalindrome.java,BubbleSort.java,16.95,3.64,25.81,31.07,0.00,12.91
non-clone,3/5,0,0,LoadFont.java,OpenURLInSystemBrowser.java,60.00,33.33,53.33,54.39,0.00,33.51
non-clone,3/2,0,0,CopyFileSamples.java,CRC32FileChecksum.java,37.78,26.19,47.22,50.98,11.11,30.73
non-clone,2/5,0,0,PlaySound.java,BinarySearch.java,2.50,0.00,6.52,32.95,0.00,7.00
non-clone,11/7,0,0,ParseXML2Dom.java,PrimeFactors.java,23.40,8.89,31.25,29.17,0.00,15.45
non-clone,10/4,0,0,TransposeMatrix.java,FileChooser.java,6.15,4.84,15.49,22.73,0.00,8.20
non-clone,6/3,0,0,FTP_FTP4J_Samples.java,WritePDF.java,19.57,26.47,33.33,31.08,0.00,18.41
non-clone,11/7,0,0,BinarySearch.java,SendEMail.java,4.23,0.00,5.37,21.09,0.00,5.11
non-clone,9/7,0,0,MD5.java,UnZip.java,16.28,4.65,26.92,31.87,0.00,13.29
non-clone,2/3,0,0,InstantiateNamedClassUsingReflection.java,ZipFiles.java,25.42,11.67,29.82,34.21,0.00,16.85
non-clone,9/2,0,0,SetUpScrollingGraphicalViewer.java,CRC32FileChecksum.java,12.82,20.59,31.25,35.82,0.00,16.75
