pair_id,ref_index,range_index,kind,clone_type,operator,left_begin,left_end,right_begin,right_end
R00000,0,0,CLONE_INTERVAL,T1,t1_add_eol_comment,6,11,6,11
R00000,1,0,MUTATION,T1,t1_add_eol_comment,11,11,11,11
R00000,2,1,CLONE_INTERVAL,T2,t2_change_int_literal,20,27,20,27
R00000,3,1,MUTATION,T2,t2_change_int_literal,20,20,20,20
R00000,4,-1,UNTOUCHED,T1,none,3,5,3,5
R00000,5,-1,UNTOUCHED,T1,none,12,19,12,19
R00000,6,-1,UNTOUCHED,T1,none,28,33,28,33
R00001,0,0,CLONE_INTERVAL,T1,t1_reindent,7,13,7,13
R00001,1,0,MUTATION,T1,t1_reindent,7,13,7,13
R00001,2,1,CLONE_INTERVAL,T2,t2_change_string_literal,17,23,17,23
R00001,3,1,MUTATION,T2,t2_change_string_literal,18,18,18,18
R00001,4,-1,UNTOUCHED,T1,none,3,6,3,6
R00001,5,-1,UNTOUCHED,T1,none,14,16,14,16
R00001,6,-1,UNTOUCHED,T1,none,24,27,24,27
R00002,0,0,CLONE_INTERVAL,T3,t3_wrap_statement,10,19,10,20
R00002,1,0,MUTATION,T3,t3_wrap_statement,,,14,14
R00002,2,1,CLONE_INTERVAL,T2,t2_change_string_literal,28,39,30,41
R00002,3,1,MUTATION,T2,t2_change_string_literal,35,35,37,37
R00002,4,-1,UNTOUCHED,T1,none,5,9,5,9
R00002,5,-1,UNTOUCHED,T1,none,20,20,21,21
R00002,6,-1,UNTOUCHED,T1,none,21,27,23,29
R00002,7,-1,UNTOUCHED,T1,none,40,42,42,44
R00003,0,0,CLONE_INTERVAL,T3,t3_wrap_statement,9,14,9,16
R00003,1,0,MUTATION,T3,t3_wrap_statement,,,12,12
R00003,2,1,CLONE_INTERVAL,T1,t1_add_blank_line,233,239,235,242
R00003,3,1,MUTATION,T1,t1_add_blank_line,,,236,236
R00003,4,-1,UNTOUCHED,T1,none,5,8,5,8
R00003,5,-1,UNTOUCHED,T1,none,15,17,17,19
R00003,6,-1,UNTOUCHED,T1,none,226,232,228,234
R00003,7,-1,UNTOUCHED,T1,none,240,251,243,254
R00004,0,0,CLONE_INTERVAL,T3,t3_delete_statement,29,34,28,32
R00004,1,0,MUTATION,T3,t3_delete_statement,29,29,,
R00004,2,1,CLONE_INTERVAL,T1,t1_reindent,97,104,95,102
R00004,3,1,MUTATION,T1,t1_reindent,97,104,95,102
R00004,4,-1,UNTOUCHED,T1,none,26,28,25,27
R00004,5,-1,UNTOUCHED,T1,none,35,39,33,37
R00004,6,-1,UNTOUCHED,T1,none,91,96,89,94
R00004,7,-1,UNTOUCHED,T1,none,105,116,103,114
R00005,0,0,CLONE_INTERVAL,T1,t1_add_blank_line,27,32,27,33
R00005,1,0,MUTATION,T1,t1_add_blank_line,,,29,29
R00005,2,1,CLONE_INTERVAL,T3,t3_insert_statement,40,45,41,47
R00005,3,1,MUTATION,T3,t3_insert_statement,,,45,45
R00005,4,-1,UNTOUCHED,T1,none,22,26,22,26
R00005,5,-1,UNTOUCHED,T1,none,33,39,34,40
R00005,6,-1,UNTOUCHED,T1,none,46,49,48,51
R00006,0,0,CLONE_INTERVAL,T3,t3_delete_statement,16,21,16,20
R00006,1,0,MUTATION,T3,t3_delete_statement,16,16,,
R00006,2,1,CLONE_INTERVAL,T1,t1_add_blank_line,93,98,92,98
R00006,3,1,MUTATION,T1,t1_add_blank_line,,,97,97
R00006,4,-1,UNTOUCHED,T1,none,13,15,13,15
R00006,5,-1,UNTOUCHED,T1,none,22,30,21,29
R00006,6,-1,UNTOUCHED,T1,none,88,92,87,91
R00006,7,-1,UNTOUCHED,T1,none,99,108,99,108
R00007,0,0,CLONE_INTERVAL,T2,t2_change_string_literal,10,21,10,21
R00007,1,0,MUTATION,T2,t2_change_string_literal,21,21,21,21
R00007,2,1,CLONE_INTERVAL,T2,t2_change_int_literal,25,32,25,32
R00007,3,1,MUTATION,T2,t2_change_int_literal,25,25,25,25
R00007,4,-1,UNTOUCHED,T1,none,7,9,7,9
R00007,5,-1,UNTOUCHED,T1,none,22,24,22,24
R00007,6,-1,UNTOUCHED,T1,none,33,37,33,37
R00008,0,0,CLONE_INTERVAL,T2,t2_change_int_literal,12,17,11,16
R00008,1,0,MUTATION,T2,t2_change_int_literal,12,12,11,11
R00008,2,1,CLONE_INTERVAL,T3,t3_delete_statement,22,30,17,24
R00008,3,1,MUTATION,T3,t3_delete_statement,22,22,,
R00008,4,-1,UNTOUCHED,T1,none,4,11,3,10
R00008,5,-1,UNTOUCHED,T1,none,31,48,25,42
R00009,0,0,CLONE_INTERVAL,T1,t1_reindent,89,97,89,97
R00009,1,0,MUTATION,T1,t1_reindent,89,91,89,91
R00009,2,0,MUTATION,T1,t1_reindent,93,97,93,97
R00009,3,1,CLONE_INTERVAL,T1,t1_reindent,113,121,113,121
R00009,4,1,MUTATION,T1,t1_reindent,113,115,113,115
R00009,5,1,MUTATION,T1,t1_reindent,117,121,117,121
R00009,6,-1,UNTOUCHED,T1,none,85,88,85,88
R00009,7,-1,UNTOUCHED,T1,none,98,107,98,107
R00009,8,-1,UNTOUCHED,T1,none,109,112,109,112
R00009,9,-1,UNTOUCHED,T1,none,122,131,122,131
R00010,0,0,CLONE_INTERVAL,T1,t1_add_eol_comment,6,14,6,14
R00010,1,0,MUTATION,T1,t1_add_eol_comment,10,10,10,10
R00010,2,1,CLONE_INTERVAL,T1,t1_add_block_comment,21,28,21,29
R00010,3,1,MUTATION,T1,t1_add_block_comment,,,28,28
R00010,4,-1,UNTOUCHED,T1,none,3,5,3,5
R00010,5,-1,UNTOUCHED,T1,none,15,20,15,20
R00010,6,-1,UNTOUCHED,T1,none,29,34,30,35
