project,pair_id,language,expected_type,predicted_type,type_pass,expected_scope,predicted_scope,scope_pass,transformation_tag,difficulty,confidence,runtime_ms,method_count_a,method_count_b,pair_matrix_size,stage0_mode,warnings,limitation_tag,notes
LongT1,java_long_t1_order_01,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L2,1.0,1996,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_order_01,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L2,1.0,1837,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_order_01,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L3,0.9838679069858332,1697,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_order_01,JAVA,T4_WEAK,T2,False,FULL,FULL,True,INLINE_TO_HELPER,L3,0.9809722764751265,1652,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_order_01,JAVA,T4_WEAK,T2,False,MIXED,FULL,False,CALL_CHAIN_REFACTOR,L4,0.8299693036207798,1484,14,17,238,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|Pairwise structural comparison may be costly for this input size.|CLASS_CONTEXT_WEAK|S4_COST_RISK|API_DENSE,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_order_01,JAVA,NON_CLONE,T2,False,UNKNOWN,UNKNOWN,True,UNRELATED,L3,0.5200192796654663,1735,14,12,168,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE|MANY_UNCONFIRMED_MATCHES,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_sensor_02,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L2,1.0,1925,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_sensor_02,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L2,1.0,1537,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_sensor_02,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L3,0.9838679069858332,1840,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_sensor_02,JAVA,T4_WEAK,T2,False,FULL,FULL,True,INLINE_TO_HELPER,L3,0.9809722764751265,2553,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_sensor_02,JAVA,T4_WEAK,T2,False,MIXED,FULL,False,CALL_CHAIN_REFACTOR,L4,0.8299693036207798,1580,14,17,238,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|Pairwise structural comparison may be costly for this input size.|CLASS_CONTEXT_WEAK|S4_COST_RISK|API_DENSE,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_sensor_02,JAVA,NON_CLONE,T2,False,UNKNOWN,UNKNOWN,True,UNRELATED,L3,0.5200192796654663,1582,14,12,168,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE|MANY_UNCONFIRMED_MATCHES,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
