project,pair_id,expected_type,expected_scope,view,top_k,method_count,avg_exhaustive_similarity,avg_constrained_similarity,avg_similarity_delta,max_exhaustive_similarity,max_constrained_similarity,max_non_constructor_constrained_similarity,best_left_method,best_right_method,best_non_constructor_left_method,best_non_constructor_right_method,avg_candidate_reduction,total_exhaustive_candidate_pairs,total_constrained_candidate_pairs,runtime_ms,status,error,transformation_tag,difficulty,limitation_tag,notes
LongT1,java_long_t1_order_01,T1,FULL,DISCOVRE_NUMERIC,8,30,0.6958981510902015,0.5050651858571065,0.19083296523309506,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskA.<init>()V,OrderRiskA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,OrderRiskA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,0.719528103729538,3384,811,4025,success,,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT1,java_long_t1_order_01,T1,FULL,RAW_HASH_BUCKET,8,30,0.6608695982733123,0.5681130387661006,0.09275655950721173,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskA.<init>()V,OrderRiskA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,OrderRiskA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,0.7887188521107448,2444,311,4578,success,,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT1,java_long_t1_order_01,T1,FULL,HYBRID_NUMERIC_HASH,8,30,0.6885921146820594,0.5694311902434595,0.11916092443859991,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskA.<init>()V,OrderRiskA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,OrderRiskA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,0.8454287266477765,2764,312,3994,success,,CONTROL_FLOW_REORDER,L2,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_order_01,T2,FULL,DISCOVRE_NUMERIC,8,30,0.5620472236414532,0.47751467991977514,0.084532543721678,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskB.<init>()V,OrderRiskA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,OrderRiskB.compute([I[Ljava/lang/String;Ljava/lang/String;I)I,0.6838254093440412,3241,878,3336,success,,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT2,java_long_t2_order_01,T2,FULL,RAW_HASH_BUCKET,8,30,0.6608695982733123,0.5414265308295927,0.11944306744371966,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskB.<init>()V,OrderRiskA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,OrderRiskB.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.7930694245925873,2444,299,4177,success,,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT2,java_long_t2_order_01,T2,FULL,HYBRID_NUMERIC_HASH,8,30,0.6850271705123627,0.5486970632593325,0.13633010725303019,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskB.<init>()V,OrderRiskA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,OrderRiskB.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.8517650706345935,2802,303,4095,success,,RENAMING,L2,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_order_01,T3,FULL,DISCOVRE_NUMERIC,8,30,0.5655826147170507,0.47656407477739926,0.08901853993965139,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskC.<init>()V,OrderRiskA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,OrderRiskC.compute([I[Ljava/lang/String;Ljava/lang/String;I)I,0.6844823482005631,3235,873,3458,success,,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongT3,java_long_t3_order_01,T3,FULL,RAW_HASH_BUCKET,8,30,0.6570234444271585,0.5168567500178212,0.14016669440933732,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskC.<init>()V,OrderRiskA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,OrderRiskC.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.7970043510912448,2466,285,4589,success,,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongT3,java_long_t3_order_01,T3,FULL,HYBRID_NUMERIC_HASH,8,30,0.6903789547666199,0.5290862689677812,0.16129268579883868,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskC.<init>()V,OrderRiskA.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,OrderRiskC.checksumBonus([Ljava/lang/String;Ljava/lang/String;)I,0.8581767322546957,2886,289,4551,success,,STATEMENT_INSERT_DELETE,L3,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_order_01,T4_WEAK,FULL,DISCOVRE_NUMERIC,8,30,0.5620472236414532,0.47751467991977514,0.084532543721678,1.0,1.0,1.0,OrderRiskA.<init>()V,OrderRiskD.<init>()V,OrderRiskA.evaluate([I[Ljava/lang/String;Ljava/lang/String;I)I,OrderRiskD.compute([I[Ljava/lang/String;Ljava/lang/String;I)I,0.6835216493628617,3241,880,3439,success,,INLINE_TO_HELPER,L3,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
