pair_id,ref_index,kind,clone_type,operator,left_begin,left_end,right_begin,right_end
R00000,0,CLONE_INTERVAL,T3,t3_delete_statement,7,12,7,11
R00000,1,MUTATION,T3,t3_delete_statement,11,11,,
R00000,2,UNTOUCHED,T1,none,3,6,3,6
R00000,3,UNTOUCHED,T1,none,13,18,12,17
R00001,0,CLONE_INTERVAL,T2,t2_rename_local_x2,7,18,7,18
R00001,1,MUTATION,T2,t2_rename_local_x2,9,13,9,13
R00001,1,MUTATION,T2,t2_rename_local_x2,15,15,15,15
R00001,2,UNTOUCHED,T1,none,3,6,3,6
R00001,3,UNTOUCHED,T1,none,19,28,19,28
R00002,0,CLONE_INTERVAL,T3,t3_insert_statement,13,23,13,23
R00002,1,MUTATION,T3,t3_insert_statement,,,24,24
R00002,2,UNTOUCHED,T1,none,4,12,4,12
R00002,3,UNTOUCHED,T1,none,24,26,25,27
R00003,0,CLONE_INTERVAL,T2,t2_change_string_literal,7,14,7,14
R00003,1,MUTATION,T2,t2_change_string_literal,13,13,13,13
R00003,2,UNTOUCHED,T1,none,3,6,3,6
R00003,3,UNTOUCHED,T1,none,15,36,15,36
R00004,0,CLONE_INTERVAL,T2,t2_change_string_literal,20,30,20,30
R00004,1,MUTATION,T2,t2_change_string_literal,22,22,22,22
R00004,2,UNTOUCHED,T1,none,16,19,16,19
R00004,3,UNTOUCHED,T1,none,31,35,31,35
R00005,0,CLONE_INTERVAL,T2,t2_rename_local_x4,8,14,8,14
R00005,1,MUTATION,T2,t2_rename_local_x4,8,13,8,13
R00005,2,UNTOUCHED,T1,none,4,7,4,7
R00005,3,UNTOUCHED,T1,none,15,17,15,17
R00006,0,CLONE_INTERVAL,T3,t3_delete_statement,8,13,7,11
R00006,1,MUTATION,T3,t3_delete_statement,13,13,,
R00006,2,UNTOUCHED,T1,none,5,7,4,6
R00006,3,UNTOUCHED,T1,none,14,16,12,14
R00007,0,CLONE_INTERVAL,T2,t2_change_string_literal,7,12,7,12
R00007,1,MUTATION,T2,t2_change_string_literal,9,9,9,9
R00007,2,UNTOUCHED,T1,none,3,6,3,6
R00007,3,UNTOUCHED,T1,none,13,15,13,15
