label,is_clone,fid,stype,simtok,file1,file2,S1,S2,S3,S4,S5,Combined
T2,True,4,2,1.0,CopyFileSamples.java,CopyFileSamples.java,100.0000,100.0000,100.0000,100.0000,33.3300,77.7800
T3_strong,True,6,3,0.836363636363636,FTP_ApacheCommonsNet_Samples.java,FTP_FTP4J_Samples.java,68.7500,52.1700,95.0000,84.7500,100.0000,83.4400
T3_strong,True,7,3,0.801801801801802,BubbleSort.java,BubbleSort.java,52.9400,30.3600,68.5200,75.4200,N/A,56.8100
T3_strong,True,6,3,0.821428571428571,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,83.8700,60.8700,95.0000,83.3300,66.6700,76.0700
T3_strong,True,7,3,0.79646017699115,BubbleSort.java,BubbleSort.java,38.7100,23.4400,47.6900,60.1700,0.0000,28.3300
T3_strong,True,6,3,0.821428571428571,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,83.8700,60.8700,95.0000,83.3300,66.6700,76.0700
T3_strong,True,6,3,0.821428571428571,FTP_ApacheCommonsNet_Samples.java,FTP_FTP4J_Samples.java,68.7500,60.8700,95.0000,81.6700,66.6700,73.2700
T3_strong,True,6,3,0.85,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,87.8800,36.0000,90.4800,83.3300,100.0000,82.9500
T3_strong,True,7,3,0.979591836734694,BubbleSort.java,BubbleSort.java,100.0000,62.7900,100.0000,98.0600,N/A,90.2100
T3_strong,True,6,3,0.836363636363636,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,72.7300,37.0400,85.7100,81.9700,100.0000,79.5700
T3_strong,True,6,3,0.784615384615385,FTP_ApacheCommonsNet_Samples.java,FTP_FTP4J_Samples.java,73.5300,33.3300,90.4800,74.6500,66.6700,67.5500
T3_strong,True,7,3,0.870967741935484,BubbleSort.java,BubbleSort.java,58.4900,40.3500,70.9100,89.9200,0.0000,43.2800
T3_strong,True,7,3,0.792792792792793,BubbleSort.java,BubbleSort.java,52.9400,23.7300,68.5200,74.5800,N/A,54.9400
T3_strong,True,7,3,0.792792792792793,BubbleSort.java,BubbleSort.java,52.9400,23.7300,68.5200,74.5800,N/A,54.9400
T3_strong,True,7,3,0.792792792792793,BubbleSort.java,BubbleSort.java,52.9400,23.7300,68.5200,74.5800,N/A,54.9400
T3_strong,True,7,3,0.792792792792793,BubbleSort.java,BubbleSort.java,52.9400,23.7300,68.5200,74.5800,N/A,54.9400
T3_strong,True,6,3,0.901960784313726,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,83.8700,52.1700,95.0000,90.9100,100.0000,86.9900
T3_strong,True,6,3,0.821428571428571,FTP_ApacheCommonsNet_Samples.java,FTP_FTP4J_Samples.java,68.7500,60.8700,95.0000,81.6700,66.6700,73.2700
T3_strong,True,6,3,0.821428571428571,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,83.8700,60.8700,95.0000,83.3300,66.6700,76.0700
T3_strong,True,7,3,0.79646017699115,BubbleSort.java,BubbleSort.java,38.7100,23.4400,47.6900,60.1700,0.0000,28.3300
T3_strong,True,7,3,0.801801801801802,BubbleSort.java,BubbleSort.java,52.9400,25.8600,68.5200,75.4200,N/A,55.6900
T3_strong,True,6,3,0.836363636363636,FTP_ApacheCommonsNet_Samples.java,FTP_FTP4J_Samples.java,68.7500,52.1700,95.0000,84.7500,100.0000,83.4400
T3_strong,True,6,3,0.866666666666667,FTP_ApacheCommonsNet_Samples.java,FTP_FTP4J_Samples.java,73.5300,36.0000,90.4800,86.3600,100.0000,81.0600
T3_strong,True,6,3,0.892857142857143,FTP_ApacheCommonsNet_Samples.java,FTP_FTP4J_Samples.java,84.3800,56.5200,100.0000,78.3300,66.6700,75.4300
T3_strong,True,7,3,0.801801801801802,BubbleSort.java,BubbleSort.java,52.9400,25.8600,68.5200,75.4200,N/A,55.6900
T3_strong,True,6,3,0.836363636363636,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,72.7300,37.0400,85.7100,81.9700,100.0000,79.5700
T3_strong,True,6,3,0.892857142857143,FTP_ApacheCommonsNet_Samples.java,FTP_FTP4J_Samples.java,84.3800,56.5200,100.0000,78.3300,66.6700,75.4300
T3_strong,True,7,3,0.979591836734694,BubbleSort.java,BubbleSort.java,100.0000,62.7900,100.0000,98.0600,N/A,90.2100
T3_strong,True,7,3,0.831858407079646,BubbleSort.java,BubbleSort.java,53.5700,33.3300,55.7400,81.3600,0.0000,37.3300
T3_strong,True,5,3,0.778325123152709,UnZip.java,UnZip.java,74.6000,50.0000,75.8600,70.3300,57.1400,64.1800
T3_strong,True,7,3,0.981981981981982,BubbleSort.java,BubbleSort.java,100.0000,46.1500,100.0000,98.3100,N/A,86.1100
T3_strong,True,6,3,0.910714285714286,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,87.8800,40.7400,90.4800,75.4100,66.6700,71.3100
T3_strong,True,6,3,0.892857142857143,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,100.0000,56.5200,100.0000,85.0000,66.6700,79.1400
T3_strong,True,7,3,0.981981981981982,BubbleSort.java,BubbleSort.java,100.0000,46.1500,100.0000,98.3100,N/A,86.1100
T3_strong,True,6,3,0.769230769230769,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,87.8800,33.3300,90.4800,71.8300,66.6700,69.4800
T3_strong,True,4,3,0.803030303030303,CopyFileSamples.java,CopyFileSamples.java,66.6700,44.0000,82.6100,87.3000,20.0000,53.4300
T3_strong,True,6,3,0.892857142857143,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,100.0000,56.5200,100.0000,85.0000,66.6700,79.1400
T3_strong,True,7,3,0.979591836734694,BubbleSort.java,BubbleSort.java,100.0000,62.7900,100.0000,98.0600,N/A,90.2100
T3_strong,True,7,3,0.979591836734694,BubbleSort.java,BubbleSort.java,100.0000,62.7900,100.0000,98.0600,N/A,90.2100
T3_strong,True,7,3,0.792792792792793,BubbleSort.java,BubbleSort.java,52.9400,23.7300,68.5200,74.5800,N/A,54.9400
T3_strong,True,6,3,0.707692307692308,FTP_ApacheCommonsNet_Samples.java,FTP_ApacheCommonsNet_Samples.java,72.7300,37.0400,85.7100,70.4200,66.6700,66.5400
T3_strong,True,7,3,0.701612903225806,BubbleSort.java,BubbleSort.java,37.7000,20.3100,50.0000,68.9900,0.0000,29.5000
