pair_id,status,analysis_mode,regions_emitted,regions_at_min_size,fp_reference_range,fp_strict_product,claims_syntactic_type,types,largest_region_lines,left_problem,right_problem,left_program,right_program,shared_tokens
N00000,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02881,p02880,s002616741.java,s920097579.java,21
N00001,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02945,p02922,s666307822.java,s191444616.java,17
N00002,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02622,p02640,s656156927.java,s861579039.java,27
N00003,ok,SOURCE_PLUS_WALA_SMT,1,0,False,False,False,,4,p03035,p03043,s637974557.java,s427612013.java,6
N00004,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p00007,p02256,s999033436.java,s223630015.java,23
N00005,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02959,p02947,s699373457.java,s060415760.java,13
N00006,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02934,p02922,s189953178.java,s688703663.java,17
N00007,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02729,p02724,s505904879.java,s524393840.java,12
N00008,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,7,p02981,p03292,s291061282.java,s161100510.java,23
N00009,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02405,p02403,s259630613.java,s533386453.java,15
N00010,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02552,p02612,s548650069.java,s185240656.java,10
N00011,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02784,p02767,s769748703.java,s546522139.java,19
N00012,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,71,p03293,p03075,s751275780.java,s367853044.java,21
N00013,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02414,p02413,s506083283.java,s855029158.java,17
N00014,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03072,p03060,s207787812.java,s520967386.java,23
N00015,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02404,p02401,s031541162.java,s541001717.java,14
N00016,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02264,p02258,s468184338.java,s036842534.java,17
N00017,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02409,p02410,s919637992.java,s660367858.java,17
N00018,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02785,p02784,s074263399.java,s432846237.java,15
N00019,ok,SOURCE_PLUS_WALA_SMT,7,2,False,True,False,POSSIBLE_T4_CANDIDATE,47,p03695,p02576,s448428678.java,s958976979.java,16
N00020,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03087,p03102,s622188083.java,s615875156.java,26
N00021,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p02994,p02993,s373269724.java,s957366725.java,13
N00022,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03000,p03001,s395894171.java,s760810734.java,24
N00023,ok,SOURCE_PLUS_WALA_SMT,0,0,False,False,False,,0,p03037,p02830,s173017135.java,s873859946.java,22
N00024,ok,SOURCE_PLUS_WALA_SMT,3,1,False,True,False,POSSIBLE_T4_CANDIDATE,8,p02639,p02784,s083658139.java,s094814465.java,17
