pair_id,expected,status,found_types,hit,wall_ms
java_t1_format_01,T1,ok,T1,True,3564
java_t1_comment_02,T1,ok,T1,True,2345
java_t1_whitespace_03,T1,ok,T1,True,2346
java_t1_block_comment_04,T1,ok,T1,True,2357
java_t1_compact_05,T1,ok,T1;T3,True,2342
java_t2_rename_01,T2,ok,T2,True,2385
java_t2_rename_02,T2,ok,T2,True,2372
java_t2_rename_03,T2,ok,T2,True,2325
java_t2_rename_04,T2,ok,T1;T2,True,2360
java_t2_rename_05,T2,ok,T2,True,2454
java_t3_insert_delete_01,T3,ok,T3,True,2374
java_t3_null_log_02,T3,ok,T3;T4_DYNAMIC_EVIDENCE,True,2370
java_t3_cap_only_03,T3,ok,T3,True,2362
java_t3_skip_odd_04,T3,ok,T3,True,2449
java_t3_early_continue_05,T3,ok,T3;T4_DYNAMIC_EVIDENCE,True,2314
java_t3_extra_counter_06,T3,ok,T3,True,2353
java_t3_reverse_loop_07,T3,ok,T3,True,2330
java_t3_param_threshold_08,T3,ok,T3;T4_DYNAMIC_EVIDENCE,True,2504
java_t4_inline_helper_01,T4_WEAK,ok,T3,False,2332
java_t4_helper_inline_02,T4_WEAK,ok,T3,False,2345
java_t4_inline_guard_03,T4_WEAK,ok,T3,False,2345
java_t4_inline_tax_04,T4_WEAK,ok,T3;T4_DYNAMIC_EVIDENCE,True,2394
java_t4_inline_normalize_05,T4_WEAK,ok,T3;T4_DYNAMIC_EVIDENCE,True,20257
java_t4_inline_string_score_06,T4_WEAK,ok,POSSIBLE_T4_CANDIDATE;T3,True,17822
java_t4_inline_max_07,T4_WEAK,ok,T3,False,2392
java_t4_inline_discount_08,T4_WEAK,ok,POSSIBLE_T4_CANDIDATE;T4_DYNAMIC_EVIDENCE,True,2540
java_t4_extract_method_01,T4_WEAK,ok,T1;T3,False,17428
java_t4_merge_methods_02,T4_WEAK,ok,T1;T3,False,16723
java_t4_extract_order_03,T4_WEAK,ok,T3;T4_DYNAMIC_EVIDENCE,True,2455
java_t4_merge_order_04,T4_WEAK,ok,T3;T4_DYNAMIC_EVIDENCE,True,2521
java_t4_extract_stats_05,T4_WEAK,ok,T3;T4_DYNAMIC_EVIDENCE,True,2476
java_t4_merge_stats_06,T4_WEAK,ok,T3;T4_DYNAMIC_EVIDENCE,True,2717
java_t4_extract_join_07,T4_WEAK,ok,T3,False,17845
java_t4_merge_join_08,T4_WEAK,ok,T3,False,17568
java_t4_call_chain_01,T4_WEAK,ok,T3,False,17436
java_t4_call_chain_auth_02,T4_WEAK,ok,T3,False,18168
java_t4_call_chain_invoice_03,T4_WEAK,ok,POSSIBLE_T4_CANDIDATE;T3;T4_DYNAMIC_EVIDENCE,True,2476
java_t4_call_chain_text_04,T4_WEAK,ok,T3;T4_DYNAMIC_EVIDENCE,True,17783
java_t4_call_chain_risk_05,T4_WEAK,ok,POSSIBLE_T4_CANDIDATE;T4_DYNAMIC_EVIDENCE,True,2376
java_semantic_recursion_iteration_01,INCONCLUSIVE,ok,T4_DYNAMIC_EVIDENCE,,2379
java_semantic_recursive_max_02,INCONCLUSIVE,ok,POSSIBLE_T4_CANDIDATE,,2404
java_semantic_set_bool_03,INCONCLUSIVE,ok,,,10434
java_semantic_sort_stream_04,INCONCLUSIVE,ok,,,18015
java_semantic_loop_set_05,INCONCLUSIVE,ok,T4_DYNAMIC_EVIDENCE,,10678
java_semantic_dfs_06,INCONCLUSIVE,ok,,,2486
java_semantic_reverse_07,INCONCLUSIVE,ok,T4_DYNAMIC_EVIDENCE,,17942
java_semantic_count_08,INCONCLUSIVE,ok,T4_DYNAMIC_EVIDENCE,,20879
java_nonclone_01,NON_CLONE,ok,,True,11739
java_nonclone_api_overlap_02,NON_CLONE,ok,,True,19161
java_nonclone_sorting_03,NON_CLONE,ok,,True,18111
java_nonclone_loop_04,NON_CLONE,ok,,True,10782
java_nonclone_string_05,NON_CLONE,ok,T4_DYNAMIC_EVIDENCE,False,18175
java_nonclone_numbers_06,NON_CLONE,ok,,True,2414
java_nonclone_maps_07,NON_CLONE,ok,,True,17724
java_nonclone_validation_08,NON_CLONE,ok,,True,11309
