pair_id,ref_index,kind,clone_type,operator,left_begin,left_end,right_begin,right_end
R00000,0,CLONE_INTERVAL,T3,t3_insert_statement,71,76,71,76
R00000,1,MUTATION,T3,t3_insert_statement,,,77,77
R00000,2,UNTOUCHED,T1,none,66,70,66,70
R00000,3,UNTOUCHED,T1,none,77,86,78,87
R00001,0,CLONE_INTERVAL,T3,t3_wrap_statement,10,15,9,16
R00001,1,MUTATION,T3,t3_wrap_statement,14,14,13,15
R00001,2,UNTOUCHED,T1,none,4,9,3,8
R00001,3,UNTOUCHED,T1,none,16,19,17,20
R00002,0,CLONE_INTERVAL,T3,t3_insert_statement,206,214,206,215
R00002,1,MUTATION,T3,t3_insert_statement,,,209,209
R00002,2,UNTOUCHED,T1,none,202,205,202,205
R00002,3,UNTOUCHED,T1,none,215,221,216,222
R00003,0,CLONE_INTERVAL,T3,t3_delete_statement,10,15,9,13
R00003,1,MUTATION,T3,t3_delete_statement,15,15,,
R00003,2,UNTOUCHED,T1,none,6,9,5,8
R00003,3,UNTOUCHED,T1,none,16,34,14,32
R00004,0,CLONE_INTERVAL,T1,t1_reindent,6,11,6,11
R00004,1,MUTATION,T1,t1_reindent,6,11,6,11
R00004,2,UNTOUCHED,T1,none,3,5,3,5
R00004,3,UNTOUCHED,T1,none,12,17,12,17
R00005,0,CLONE_INTERVAL,T1,t1_reindent,10,15,10,15
R00005,1,MUTATION,T1,t1_reindent,10,15,10,15
R00005,2,UNTOUCHED,T1,none,3,9,3,9
R00005,3,UNTOUCHED,T1,none,16,19,16,19
R00006,0,CLONE_INTERVAL,T1,t1_add_eol_comment,7,12,7,12
R00006,1,MUTATION,T1,t1_add_eol_comment,9,9,9,9
R00006,2,UNTOUCHED,T1,none,3,6,3,6
R00006,3,UNTOUCHED,T1,none,13,15,13,15
R00007,0,CLONE_INTERVAL,T3,t3_wrap_statement,6,11,6,13
R00007,1,MUTATION,T3,t3_wrap_statement,9,10,9,12
R00007,2,UNTOUCHED,T1,none,3,5,3,5
R00007,3,UNTOUCHED,T1,none,12,15,14,17
R00008,0,CLONE_INTERVAL,T2,t2_rename_local_x3,10,18,10,18
R00008,1,MUTATION,T2,t2_rename_local_x3,11,16,11,16
R00008,2,UNTOUCHED,T1,none,6,9,6,9
R00008,3,UNTOUCHED,T1,none,19,23,19,23
R00009,0,CLONE_INTERVAL,T2,t2_rename_local_x1,9,18,9,18
R00009,1,MUTATION,T2,t2_rename_local_x1,10,16,10,16
R00009,2,UNTOUCHED,T1,none,3,8,3,8
R00009,3,UNTOUCHED,T1,none,19,35,19,35
R00010,0,CLONE_INTERVAL,T2,t2_change_string_literal,21,37,21,37
R00010,1,MUTATION,T2,t2_change_string_literal,24,24,24,24
R00010,2,UNTOUCHED,T1,none,15,20,15,20
R00010,3,UNTOUCHED,T1,none,38,40,38,40
R00011,0,CLONE_INTERVAL,T2,t2_change_int_literal,9,14,9,14
R00011,1,MUTATION,T2,t2_change_int_literal,11,11,11,11
R00011,2,UNTOUCHED,T1,none,4,8,4,8
R00011,3,UNTOUCHED,T1,none,15,27,15,27
R00012,0,CLONE_INTERVAL,T1,t1_add_eol_comment,54,59,54,59
R00012,1,MUTATION,T1,t1_add_eol_comment,57,57,57,57
R00012,2,UNTOUCHED,T1,none,50,53,50,53
R00012,3,UNTOUCHED,T1,none,60,64,60,64
