pair_id,region_index,clone_type,operator,left_begin,left_end
R00000,0,T2,rename_local_x3,44,49
R00000,1,T3,insert_statement,63,68
R00001,0,T2,rename_local_x4,7,12
R00001,1,T3,insert_statement,16,24
R00002,0,T2,rename_local_x1,7,12
R00002,1,T3,insert_statement,17,23
R00003,0,T2,rename_local_x1,7,12
R00003,1,T3,insert_statement,21,27
R00004,0,T2,rename_local_x1,16,22
R00004,1,T3,insert_statement,166,171
R00005,0,T2,rename_local_x2,6,18
R00005,1,T3,insert_statement,27,32
R00006,0,T2,rename_local_x1,19,37
R00006,1,T3,insert_statement,51,56
R00007,0,T2,rename_local_x1,11,19
R00007,1,T3,insert_statement,43,48
R00008,0,T2,rename_local_x4,16,23
R00008,1,T3,insert_statement,99,104
R00009,0,T2,rename_local_x1,38,47
R00009,1,T3,insert_statement,92,97
R00010,0,T2,rename_local_x2,45,52
R00010,1,T3,insert_statement,110,131
R00011,0,T2,rename_local_x1,24,29
R00011,1,T3,insert_statement,47,52
R00012,0,T2,rename_local_x1,10,15
R00012,1,T3,insert_statement,85,90
R00013,0,T2,rename_local_x1,8,16
R00013,1,T3,insert_statement,24,31
R00014,0,T2,rename_local_x1,6,11
R00014,1,T3,insert_statement,15,23
R00015,0,T2,rename_local_x2,8,13
R00015,1,T3,insert_statement,17,27
R00016,0,T2,rename_local_x1,34,42
R00016,1,T3,insert_statement,46,61
R00017,0,T2,rename_local_x2,11,20
R00017,1,T3,insert_statement,24,30
R00018,0,T2,rename_local_x5,16,32
R00018,1,T3,insert_statement,110,116
R00019,0,T2,rename_local_x1,26,31
R00019,1,T3,insert_statement,87,94
R00020,0,T2,rename_local_x3,101,115
R00020,1,T3,insert_statement,152,157
R00021,0,T2,rename_local_x2,9,27
R00021,1,T3,insert_statement,33,42
R00022,0,T2,rename_local_x1,13,23
R00022,1,T3,insert_statement,98,105
R00023,0,T2,rename_local_x1,13,21
R00023,1,T3,insert_statement,98,104
R00024,0,T2,rename_local_x1,29,35
R00024,1,T3,insert_statement,43,50
R00025,0,T2,rename_local_x2,8,14
R00025,1,T3,insert_statement,196,201
R00026,0,T2,rename_local_x1,7,18
R00026,1,T3,insert_statement,24,30
R00027,0,T2,rename_local_x3,17,31
R00027,1,T3,insert_statement,93,98
R00028,0,T2,rename_local_x1,8,15
R00028,1,T3,insert_statement,20,36
R00029,0,T2,rename_local_x2,45,52
R00029,1,T3,insert_statement,106,111
R00030,0,T2,rename_local_x2,10,16
R00030,1,T3,insert_statement,20,26
R00031,0,T2,rename_local_x1,7,17
R00031,1,T3,insert_statement,22,27
R00032,0,T2,rename_local_x2,13,21
R00032,1,T3,insert_statement,114,119
R00033,0,T2,rename_local_x1,8,13
R00033,1,T3,insert_statement,147,152
R00034,0,T2,rename_local_x2,11,22
R00034,1,T3,insert_statement,162,167
R00035,0,T2,rename_local_x3,7,12
R00035,1,T3,insert_statement,24,30
R00036,0,T2,rename_local_x1,31,40
R00036,1,T3,insert_statement,93,98
R00037,0,T2,rename_local_x1,18,25
R00037,1,T3,insert_statement,89,94
R00038,0,T2,rename_local_x3,54,65
R00038,1,T3,insert_statement,112,117
R00039,0,T2,rename_local_x1,12,19
R00039,1,T3,insert_statement,28,39
R00040,0,T2,rename_local_x1,8,13
R00040,1,T3,insert_statement,22,27
R00041,0,T2,rename_local_x1,32,43
R00041,1,T3,insert_statement,95,100
R00042,0,T2,rename_local_x1,6,11
R00042,1,T3,insert_statement,17,25
R00043,0,T2,rename_local_x3,9,14
R00043,1,T3,insert_statement,46,53
R00044,0,T2,rename_local_x4,10,29
R00044,1,T3,insert_statement,37,42
R00045,0,T2,rename_local_x1,6,12
R00045,1,T3,insert_statement,27,37
R00046,0,T2,rename_local_x1,10,17
R00046,1,T3,insert_statement,21,36
R00047,0,T2,rename_local_x1,30,115
R00047,1,T3,insert_statement,125,130
R00048,0,T2,rename_local_x3,7,12
R00048,1,T3,insert_statement,23,29
R00049,0,T2,rename_local_x2,13,23
R00049,1,T3,insert_statement,33,38
R00050,0,T2,rename_local_x1,8,14
R00050,1,T3,insert_statement,27,37
R00051,0,T2,rename_local_x2,31,36
R00051,1,T3,insert_statement,83,88
R00052,0,T2,rename_local_x1,27,39
R00052,1,T3,insert_statement,57,81
R00053,0,T2,rename_local_x5,6,11
R00053,1,T3,insert_statement,16,22
R00054,0,T2,rename_local_x5,6,13
R00054,1,T3,insert_statement,23,38
R00055,0,T2,rename_local_x1,7,17
