pair_id,ref_index,kind,expected,operator,status,candidates,matched,predicted_type,type_correct,coverage,precision,iou
R00000,0,CLONE_INTERVAL,T1,t1_add_eol_comment,ok,2,False,,False,0.0,0.0,0.0
R00000,1,MUTATION,T1,t1_add_eol_comment,ok,2,False,,False,0.0,0.0,0.0
R00000,2,CLONE_INTERVAL,T2,t2_rename_local,ok,2,False,,False,0.0,0.0,0.0
R00000,3,MUTATION,T2,t2_rename_local,ok,2,False,,False,0.0,0.0,0.0
R00000,4,UNTOUCHED,T1,none,ok,2,False,,False,0.0,0.0,0.0
R00000,5,UNTOUCHED,T1,none,ok,2,False,,False,0.0,0.0,0.0
R00000,6,UNTOUCHED,T1,none,ok,2,False,,False,0.0,0.0,0.0
R00000,7,UNTOUCHED,T1,none,ok,2,False,,False,0.0,0.0,0.0
R00001,0,CLONE_INTERVAL,T3,t3_insert_statement,ok,1,True,T3,True,1.0,0.1538,0.1538
R00001,1,MUTATION,T3,t3_insert_statement,ok,4,True,T2,False,1.0,1.0,1.0
R00001,2,CLONE_INTERVAL,T1,t1_add_blank_line,ok,1,True,T3,False,1.0,0.1622,0.1622
R00001,3,MUTATION,T1,t1_add_blank_line,ok,4,True,T1,True,1.0,0.0625,0.0625
R00001,4,UNTOUCHED,T1,none,ok,4,True,T1,True,0.3333,0.0769,0.0667
R00001,5,UNTOUCHED,T1,none,ok,4,True,T1,True,0.6429,0.5625,0.4286
R00001,6,UNTOUCHED,T1,none,ok,4,True,T1,True,0.5,0.125,0.1111
R00002,0,CLONE_INTERVAL,T2,t2_change_int_literal,ok,1,True,T3,False,1.0,0.3421,0.3421
R00002,1,MUTATION,T2,t2_change_int_literal,ok,5,True,T2,True,1.0,1.0,1.0
R00002,2,CLONE_INTERVAL,T3,t3_delete_statement,ok,1,True,T3,True,0.8,0.1081,0.1053
R00002,3,MUTATION,T3,t3_delete_statement,ok,5,True,T3,True,1.0,1.0,1.0
R00002,4,UNTOUCHED,T1,none,ok,5,True,T1,True,0.3333,0.5,0.25
R00002,5,UNTOUCHED,T1,none,ok,5,True,T1,True,0.75,0.4286,0.375
R00002,6,UNTOUCHED,T1,none,ok,5,True,T1,True,0.6154,0.7273,0.5
R00003,0,CLONE_INTERVAL,T1,t1_add_block_comment,ok,1,True,T2,False,1.0,0.1154,0.1154
R00003,1,MUTATION,T1,t1_add_block_comment,ok,3,False,,False,0.0,0.0,0.0
R00003,2,CLONE_INTERVAL,T2,t2_change_string_literal,ok,1,True,T2,True,1.0,0.1772,0.1772
R00003,3,MUTATION,T2,t2_change_string_literal,ok,3,True,T2,True,1.0,1.0,1.0
R00003,4,UNTOUCHED,T1,none,ok,3,True,T1,True,0.75,0.15,0.1429
R00003,5,UNTOUCHED,T1,none,ok,3,True,T1,True,0.5,0.15,0.1304
R00003,6,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.0465,0.0455
