pair_id,ref_index,kind,clone_type,operator,left_begin,left_end,right_begin,right_end
R00000,0,CLONE_INTERVAL,T3,t3_insert_statement,7,15,7,16
R00000,1,MUTATION,T3,t3_insert_statement,,,8,8
R00000,2,UNTOUCHED,T1,none,4,6,4,6
R00000,3,UNTOUCHED,T1,none,16,18,17,19
R00001,0,CLONE_INTERVAL,T1,t1_add_eol_comment,11,16,11,16
R00001,1,MUTATION,T1,t1_add_eol_comment,11,11,11,11
R00001,2,UNTOUCHED,T1,none,4,10,4,10
R00001,3,UNTOUCHED,T1,none,17,32,17,32
R00002,0,CLONE_INTERVAL,T1,t1_add_block_comment,79,84,79,85
R00002,1,MUTATION,T1,t1_add_block_comment,,,80,80
R00002,2,UNTOUCHED,T1,none,76,78,76,78
R00002,3,UNTOUCHED,T1,none,85,99,86,100
R00003,0,CLONE_INTERVAL,T1,t1_add_eol_comment,7,14,7,14
R00003,1,MUTATION,T1,t1_add_eol_comment,12,12,12,12
R00003,2,UNTOUCHED,T1,none,3,6,3,6
R00003,3,UNTOUCHED,T1,none,15,17,15,17
R00004,0,CLONE_INTERVAL,T2,t2_change_string_literal,6,11,6,11
R00004,1,MUTATION,T2,t2_change_string_literal,6,6,6,6
R00004,2,UNTOUCHED,T1,none,3,5,3,5
R00004,3,UNTOUCHED,T1,none,12,23,12,23
R00005,0,CLONE_INTERVAL,T1,t1_reindent,31,36,31,36
R00005,1,MUTATION,T1,t1_reindent,31,36,31,36
R00005,2,UNTOUCHED,T1,none,24,30,24,30
R00005,3,UNTOUCHED,T1,none,37,41,37,41
R00006,0,CLONE_INTERVAL,T3,t3_insert_statement,9,18,9,19
R00006,1,MUTATION,T3,t3_insert_statement,,,11,11
R00006,2,UNTOUCHED,T1,none,3,8,3,8
R00006,3,UNTOUCHED,T1,none,19,24,20,25
R00007,0,CLONE_INTERVAL,T1,t1_reindent,12,24,12,24
R00007,1,MUTATION,T1,t1_reindent,12,24,12,24
R00007,2,UNTOUCHED,T1,none,4,11,4,11
R00007,3,UNTOUCHED,T1,none,25,53,25,53
R00008,0,CLONE_INTERVAL,T2,t2_change_int_literal,12,31,12,31
R00008,1,MUTATION,T2,t2_change_int_literal,12,12,12,12
R00008,2,UNTOUCHED,T1,none,3,11,3,11
R00008,3,UNTOUCHED,T1,none,32,35,32,35
R00009,0,CLONE_INTERVAL,T1,t1_add_eol_comment,7,20,7,20
R00009,1,MUTATION,T1,t1_add_eol_comment,16,16,16,16
R00009,2,UNTOUCHED,T1,none,3,6,3,6
R00009,3,UNTOUCHED,T1,none,21,25,21,25
R00010,0,CLONE_INTERVAL,T3,t3_delete_statement,6,11,6,10
R00010,1,MUTATION,T3,t3_delete_statement,11,11,,
R00010,2,UNTOUCHED,T1,none,3,5,3,5
R00010,3,UNTOUCHED,T1,none,12,18,11,17
R00011,0,CLONE_INTERVAL,T3,t3_wrap_statement,6,14,6,16
R00011,1,MUTATION,T3,t3_wrap_statement,10,12,10,14
R00011,2,UNTOUCHED,T1,none,3,5,3,5
R00011,3,UNTOUCHED,T1,none,15,25,17,27
R00012,0,CLONE_INTERVAL,T1,t1_add_block_comment,8,13,8,14
R00012,1,MUTATION,T1,t1_add_block_comment,,,13,13
R00012,2,UNTOUCHED,T1,none,3,7,3,7
R00012,3,UNTOUCHED,T1,none,14,18,15,19
R00013,0,CLONE_INTERVAL,T2,t2_rename_local_x1,9,17,9,17
R00013,1,MUTATION,T2,t2_rename_local_x1,11,15,11,15
R00013,2,UNTOUCHED,T1,none,6,8,6,8
R00013,3,UNTOUCHED,T1,none,18,20,18,20
R00014,0,CLONE_INTERVAL,T2,t2_change_int_literal,7,14,7,14
R00014,1,MUTATION,T2,t2_change_int_literal,7,7,7,7
R00014,2,UNTOUCHED,T1,none,3,6,3,6
R00014,3,UNTOUCHED,T1,none,15,17,15,17
R00015,0,CLONE_INTERVAL,T2,t2_change_string_literal,10,66,10,66
R00015,1,MUTATION,T2,t2_change_string_literal,12,12,12,12
R00015,2,UNTOUCHED,T1,none,3,9,3,9
R00015,3,UNTOUCHED,T1,none,67,69,67,69
R00016,0,CLONE_INTERVAL,T3,t3_wrap_statement,6,20,6,22
R00016,1,MUTATION,T3,t3_wrap_statement,11,19,11,20
R00016,2,UNTOUCHED,T1,none,3,5,3,5
R00016,3,UNTOUCHED,T1,none,21,27,23,29
R00017,0,CLONE_INTERVAL,T1,t1_add_eol_comment,15,23,15,23
R00017,1,MUTATION,T1,t1_add_eol_comment,19,19,19,19
