project,pair_id,language,expected_type,type_match_status,expected_scope,inspection_priority,relationship_shape,overall_relationship,dominant_region_type,matched_coverage_left,matched_coverage_right,unrelated_code_ratio,accepted_region_count,selected_region_count,suppressed_region_count,emitted_region_count,count_T1,count_T2,count_T3,count_T4_CONFIRMED,count_POSSIBLE_T4_CANDIDATE,count_NON_CLONE,coverage_T1,coverage_T2,coverage_T3,coverage_T4_CONFIRMED,coverage_POSSIBLE_T4_CANDIDATE,coverage_NON_CLONE,file_tags,first_regions,runtime_ms,transformation_tag,difficulty,limitation_tag,notes
T1,java_t1_format_01,JAVA,T1,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,1.0,1.0,0.0,102,2,100,2,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,T1:FormatBase.countPositive(int[])->FormatBase.countPositive(int[])|T1:(file)->(file),1800,CONTROL_FLOW_REORDER,L1,,Formatting and comments differ only
T1,java_t1_comment_02,JAVA,T1,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,0.818182,0.833333,0.181818,102,1,101,1,1,0,0,0,0,0,0.833333,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,T1:FormatBase.countPositive(int[])->FormatBase.countPositive(int[]),1177,CONTROL_FLOW_REORDER,L1,,Line and block comments added
T1,java_t1_whitespace_03,JAVA,T1,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,1.0,1.0,0.0,102,2,100,2,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,T1:FormatBase.countPositive(int[])->FormatBase.countPositive(int[])|T1:(file)->(file),1017,CONTROL_FLOW_REORDER,L1,,Whitespace layout differs
T1,java_t1_block_comment_04,JAVA,T1,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,0.818182,0.857143,0.181818,102,1,101,1,1,0,0,0,0,0,0.857143,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,T1:FormatBase.countPositive(int[])->FormatBase.countPositive(int[]),1021,CONTROL_FLOW_REORDER,L1,,Block comments inserted inside method
T1,java_t1_compact_05,JAVA,T1,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,1.0,1.0,0.0,102,2,100,2,2,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,T1:FormatBase.countPositive(int[])->FormatBase.countPositive(int[])|T1:(file)->(file),1047,CONTROL_FLOW_REORDER,L1,,Single-line compact method
T2,java_t2_rename_01,JAVA,T2,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T2,T2,0.846154,0.846154,0.153846,169,1,168,1,0,1,0,0,0,0,0.0,0.846154,0.0,0.0,0.0,0.0,RENAMING_DETECTED,T2:RenameBase.weightedTotal(int[])->RenameVariant.computeAmount(int[]),1068,RENAMING,L1,,Class method and variable names differ
T2,java_t2_rename_02,JAVA,T2,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T2,T2,0.846154,0.846154,0.153846,169,1,168,1,0,1,0,0,0,0,0.0,0.846154,0.0,0.0,0.0,0.0,RENAMING_DETECTED,T2:RenameBase.weightedTotal(int[])->AmountCalculator.weightedTotal(int[]),1037,RENAMING,L1,,Loop variable names differ
T2,java_t2_rename_03,JAVA,T2,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T2,T2,0.846154,0.846154,0.153846,169,1,168,1,0,1,0,0,0,0,0.0,0.846154,0.0,0.0,0.0,0.0,RENAMING_DETECTED,T2:RenameBase.weightedTotal(int[])->RenameBase.weightedTotal(int[]),1058,RENAMING,L1,,Local variable names differ
T2,java_t2_rename_04,JAVA,T2,False,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T1,T1,0.846154,0.846154,0.153846,169,1,168,1,1,0,0,0,0,0,0.846154,0.0,0.0,0.0,0.0,0.0,EXACT_COPY,T1:RenameBase.weightedTotal(int[]) body->PaymentRules.calculateWeightedSum(int[]) body,1058,RENAMING,L1,,Class and method names differ
T2,java_t2_rename_05,JAVA,T2,True,FULL,HIGH,FULL_OVERLAP,FULL_FILE_T2,T2,0.846154,0.846154,0.153846,169,1,168,1,0,1,0,0,0,0,0.0,0.846154,0.0,0.0,0.0,0.0,LITERAL_CHANGED|RENAMING_DETECTED,T2:RenameBase.weightedTotal(int[])->RenameLiteralVariant.computeAmount(int[]),1042,RENAMING,L2,THRESHOLDS_HEURISTIC,Threshold literal changes from 10 to 12
