pair_id,left_path,right_path,left_problem,right_problem,shared_tokens
N00000,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00000/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00000/right/Main.java,p03059,p02595,15
N00001,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00001/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00001/right/Main.java,p03059,p03136,15
N00002,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00002/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00002/right/Main.java,p03293,p03076,15
N00003,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00003/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00003/right/Main.java,p02411,p02396,15
N00004,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00004/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00004/right/Main.java,p02910,p03076,16
N00005,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00005/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00005/right/Main.java,p02971,p02772,12
N00006,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00006/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00006/right/Main.java,p02693,p02396,23
N00007,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00007/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00007/right/Main.java,p03316,p03001,23
N00008,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00008/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00008/right/Main.java,p03545,p02582,16
N00009,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00009/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/region-corpus-v1/negatives/pairs/N00009/right/Main.java,p03042,p03060,14
