pair_id,expected,band,cluster_id,status,analysis_mode,fallback_stage,fallback_reason,detected,primary_type,type_correct,any_correct_overlap,reference_range_fp,strict_product_fp,candidate_id,coverage_left,coverage_right,boundary_precision_left,boundary_precision_right,iou_left,iou_right,wall_ms
mARI_00002,T2,,mARI_00002,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,true,T1,false,false,true,true,AR1,0.750000,0.750000,1.000000,1.000000,0.750000,0.750000,326770
mARI_00003,T2,,mARI_00003,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,true,T1,false,false,true,true,AR1,0.837838,0.837838,1.000000,1.000000,0.837838,0.837838,336536
mARI_00004,T2,,mARI_00004,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,true,T1,false,false,true,true,AR1,0.731707,0.731707,1.000000,1.000000,0.731707,0.731707,340915
mARI_00006,T2,,mARI_00006,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,376595
mARI_00008,T2,,mARI_00008,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,true,T3,false,false,true,true,AR2,0.845070,0.830986,1.000000,1.000000,0.845070,0.830986,596397
mCC_BT_00003,T1,,mCC_BT_00003,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,484844
mCC_BT_00005,T1,,mCC_BT_00005,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,true,T1,true,true,true,true,AR1,0.806452,0.806452,1.000000,1.000000,0.806452,0.806452,494718
mCC_BT_00006,T1,,mCC_BT_00006,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,true,T1,true,true,true,true,AR2,0.735849,0.735849,1.000000,1.000000,0.735849,0.735849,439043
mCC_BT_00008,T1,,mCC_BT_00008,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,false,NO_DETECTION,false,false,false,false,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,147296
mCC_BT_00009,T1,,mCC_BT_00009,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,true,T1,true,true,true,true,AR1,0.833333,0.833333,1.000000,1.000000,0.833333,0.833333,191510
mCC_EOL_00002,T1,,mCC_EOL_00002,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,198840
mCC_EOL_00003,T1,,mCC_EOL_00003,missing_result,,,,false,ERROR_OR_MISSING,false,false,false,false,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
mCC_EOL_00004,T1,,mCC_EOL_00004,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,false,NO_DETECTION,false,false,false,false,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,273745
mCC_EOL_00006,T1,,mCC_EOL_00006,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,true,T1,true,true,true,true,AR1,0.735849,0.735849,1.000000,1.000000,0.735849,0.735849,224131
mCC_EOL_00009,T1,,mCC_EOL_00009,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,true,T1,true,true,true,true,AR1,0.812500,0.812500,1.000000,1.000000,0.812500,0.812500,290762
mCF_A_00001,T1,,mCF_A_00001,missing_result,,,,false,ERROR_OR_MISSING,false,false,false,false,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0
mCF_A_00002,T1,,mCF_A_00002,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,187034
mCF_A_00003,T1,,mCF_A_00003,ok,SOURCE_PLUS_WALA_SMT_DYNAMIC,,,false,NO_DETECTION,false,false,false,true,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,284712
