pair_id,expected_type,expected_scope,transformation_tag,difficulty,limitation_tag
java_t1_format_01,T1,FULL,CONTROL_FLOW_REORDER,L1,
java_t1_comment_02,T1,FULL,CONTROL_FLOW_REORDER,L1,
java_t1_whitespace_03,T1,FULL,CONTROL_FLOW_REORDER,L1,
java_t1_block_comment_04,T1,FULL,CONTROL_FLOW_REORDER,L1,
java_t1_compact_05,T1,FULL,CONTROL_FLOW_REORDER,L1,
java_t2_rename_01,T2,FULL,RENAMING,L1,
java_t2_rename_02,T2,FULL,RENAMING,L1,
java_t2_rename_03,T2,FULL,RENAMING,L1,
java_t2_rename_04,T2,FULL,RENAMING,L1,
java_t2_rename_05,T2,FULL,RENAMING,L2,THRESHOLDS_HEURISTIC
java_t3_insert_delete_01,T3,FULL,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC
java_t3_null_log_02,T3,FULL,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC
java_t3_cap_only_03,T3,FULL,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC
java_t3_skip_odd_04,T3,FULL,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC
java_t3_early_continue_05,T3,FULL,CONTROL_FLOW_REORDER,L2,THRESHOLDS_HEURISTIC
java_t3_extra_counter_06,T3,FULL,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC
java_t3_reverse_loop_07,T3,FULL,CONTROL_FLOW_REORDER,L2,THRESHOLDS_HEURISTIC
java_t3_param_threshold_08,T3,FULL,STATEMENT_INSERT_DELETE,L2,THRESHOLDS_HEURISTIC
java_t4_inline_helper_01,T4_WEAK,FULL,INLINE_TO_HELPER,L1,CALL_GRAPH_NOT_EXPANDED
java_t4_helper_inline_02,T4_WEAK,FULL,HELPER_TO_INLINE,L1,CALL_GRAPH_NOT_EXPANDED
java_t4_inline_guard_03,T4_WEAK,FULL,INLINE_TO_HELPER,L1,CALL_GRAPH_NOT_EXPANDED
java_t4_inline_tax_04,T4_WEAK,FULL,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED
java_t4_inline_normalize_05,T4_WEAK,FULL,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED
java_t4_inline_string_score_06,T4_WEAK,FULL,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED
java_t4_inline_max_07,T4_WEAK,FULL,INLINE_TO_HELPER,L1,CALL_GRAPH_NOT_EXPANDED
java_t4_inline_discount_08,T4_WEAK,FULL,INLINE_TO_HELPER,L2,CALL_GRAPH_NOT_EXPANDED
java_t4_extract_method_01,T4_WEAK,FULL,EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED
java_t4_merge_methods_02,T4_WEAK,FULL,MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED
java_t4_extract_order_03,T4_WEAK,FULL,EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED
java_t4_merge_order_04,T4_WEAK,FULL,MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED
java_t4_extract_stats_05,T4_WEAK,FULL,EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED
java_t4_merge_stats_06,T4_WEAK,FULL,MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED
java_t4_extract_join_07,T4_WEAK,FULL,EXTRACT_METHOD,L2,CALL_GRAPH_NOT_EXPANDED
java_t4_merge_join_08,T4_WEAK,FULL,MERGE_METHODS,L2,CALL_GRAPH_NOT_EXPANDED
java_t4_call_chain_01,T4_WEAK,MIXED,CALL_CHAIN_REFACTOR,L3,CALL_GRAPH_NOT_EXPANDED
java_t4_call_chain_auth_02,T4_WEAK,MIXED,CALL_CHAIN_REFACTOR,L3,CALL_GRAPH_NOT_EXPANDED
java_t4_call_chain_invoice_03,T4_WEAK,MIXED,CALL_CHAIN_REFACTOR,L3,CALL_GRAPH_NOT_EXPANDED
java_t4_call_chain_text_04,T4_WEAK,MIXED,CALL_CHAIN_REFACTOR,L3,CALL_GRAPH_NOT_EXPANDED
java_t4_call_chain_risk_05,T4_WEAK,MIXED,CALL_CHAIN_REFACTOR,L3,CALL_GRAPH_NOT_EXPANDED
java_semantic_recursion_iteration_01,INCONCLUSIVE,UNKNOWN,RECURSION_VS_ITERATION,L4,T4_WEAK_NOT_SEMANTIC_PROOF
java_semantic_recursive_max_02,INCONCLUSIVE,UNKNOWN,RECURSION_VS_ITERATION,L4,T4_WEAK_NOT_SEMANTIC_PROOF
java_semantic_set_bool_03,INCONCLUSIVE,UNKNOWN,DATA_STRUCTURE_SWAP,L4,T4_WEAK_NOT_SEMANTIC_PROOF
java_semantic_sort_stream_04,INCONCLUSIVE,UNKNOWN,API_EQUIVALENT_USAGE,L4,T4_WEAK_NOT_SEMANTIC_PROOF
java_semantic_loop_set_05,INCONCLUSIVE,UNKNOWN,DATA_STRUCTURE_SWAP,L4,T4_WEAK_NOT_SEMANTIC_PROOF
java_semantic_dfs_06,INCONCLUSIVE,UNKNOWN,RECURSION_VS_ITERATION,L4,T4_WEAK_NOT_SEMANTIC_PROOF
java_semantic_reverse_07,INCONCLUSIVE,UNKNOWN,DATA_STRUCTURE_SWAP,L4,T4_WEAK_NOT_SEMANTIC_PROOF
java_semantic_count_08,INCONCLUSIVE,UNKNOWN,DATA_STRUCTURE_SWAP,L4,T4_WEAK_NOT_SEMANTIC_PROOF
java_nonclone_01,NON_CLONE,UNKNOWN,UNRELATED,L1,
java_nonclone_api_overlap_02,NON_CLONE,UNKNOWN,API_EQUIVALENT_USAGE,L2,THRESHOLDS_HEURISTIC
java_nonclone_sorting_03,NON_CLONE,UNKNOWN,API_EQUIVALENT_USAGE,L2,THRESHOLDS_HEURISTIC
java_nonclone_loop_04,NON_CLONE,UNKNOWN,UNRELATED,L1,
java_nonclone_string_05,NON_CLONE,UNKNOWN,API_EQUIVALENT_USAGE,L2,THRESHOLDS_HEURISTIC
java_nonclone_numbers_06,NON_CLONE,UNKNOWN,UNRELATED,L2,
java_nonclone_maps_07,NON_CLONE,UNKNOWN,API_EQUIVALENT_USAGE,L2,THRESHOLDS_HEURISTIC
java_nonclone_validation_08,NON_CLONE,UNKNOWN,UNRELATED,L1,
