project,pair_id,language,expected_type,predicted_type,type_pass,expected_scope,predicted_scope,scope_pass,transformation_tag,difficulty,confidence,runtime_ms,method_count_a,method_count_b,pair_matrix_size,stage0_mode,warnings,limitation_tag,notes
T1,java_t1_format_01,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L1,1.0,1239,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,,Formatting and comments differ only
T1,java_t1_comment_02,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L1,1.0,889,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,,Line and block comments added
T1,java_t1_whitespace_03,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L1,1.0,973,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,,Whitespace layout differs
T1,java_t1_block_comment_04,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L1,1.0,930,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,,Block comments inserted inside method
T1,java_t1_compact_05,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L1,1.0,871,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,,Single-line compact method
T2,java_t2_rename_01,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L1,1.0,885,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,,Class method and variable names differ
T2,java_t2_rename_02,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L1,1.0,1813,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,,Loop variable names differ
T2,java_t2_rename_03,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L1,1.0,1099,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,,Local variable names differ
T2,java_t2_rename_04,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L1,1.0,1056,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,,Class and method names differ
T2,java_t2_rename_05,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L2,1.0,974,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,THRESHOLDS_HEURISTIC,Threshold literal changes from 10 to 12
T3,java_t3_insert_delete_01,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L2,0.6431261565716379,999,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,THRESHOLDS_HEURISTIC,Small Type-3 example for calibration
T3,java_t3_null_log_02,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L2,0.5543367377589062,1012,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,THRESHOLDS_HEURISTIC,Added guard and extra variable
T3,java_t3_cap_only_03,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L2,0.695628420859719,1001,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,THRESHOLDS_HEURISTIC,One branch removed
T3,java_t3_skip_odd_04,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L2,0.6784747478242668,1016,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,THRESHOLDS_HEURISTIC,Extra continue branch
T3,java_t3_early_continue_05,JAVA,T3,T3,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L2,0.5732838689722086,989,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,THRESHOLDS_HEURISTIC,Uses continue instead of assignment
T3,java_t3_extra_counter_06,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L2,0.66067675662003,1056,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,THRESHOLDS_HEURISTIC,Extra side computation
T3,java_t3_reverse_loop_07,JAVA,T3,T2,False,FULL,FULL,True,CONTROL_FLOW_REORDER,L2,0.5436530160718557,1031,1,1,1,SINGLE_METHOD_REAL_FILE,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,THRESHOLDS_HEURISTIC,Index loop instead of enhanced loop
T3,java_t3_param_threshold_08,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L2,0.5231367812926079,1075,1,2,2,ONE_TO_MANY_METHOD,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,THRESHOLDS_HEURISTIC,Literal threshold becomes parameter
InternalHelper,java_t4_inline_helper_01,JAVA,T4_WEAK,T3,False,FULL,FULL,True,INLINE_TO_HELPER,L1,0.48233539687921445,1068,1,2,2,ONE_TO_MANY_METHOD,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,CALL_GRAPH_NOT_EXPANDED,Tests professor question about internal function calls
InternalHelper,java_t4_helper_inline_02,JAVA,T4_WEAK,T3,False,FULL,FULL,True,HELPER_TO_INLINE,L1,0.48233539687921445,1102,2,1,2,ONE_TO_MANY_METHOD,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,CALL_GRAPH_NOT_EXPANDED,Reverse direction of inline helper pair
InternalHelper,java_t4_inline_guard_03,JAVA,T4_WEAK,T3,False,FULL,FULL,True,INLINE_TO_HELPER,L1,0.46834518818154536,1222,1,2,2,ONE_TO_MANY_METHOD,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,CALL_GRAPH_NOT_EXPANDED,Guard condition moved to helper
InternalHelper,java_t4_inline_tax_04,JAVA,T4_WEAK,T3,False,FULL,FULL,True,INLINE_TO_HELPER,L2,0.46998893000610775,1451,1,2,2,ONE_TO_MANY_METHOD,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,CALL_GRAPH_NOT_EXPANDED,Tax formula moved to helper
InternalHelper,java_t4_inline_normalize_05,JAVA,T4_WEAK,T4_WEAK,True,FULL,FULL,True,INLINE_TO_HELPER,L2,0.6235119698089172,1247,1,2,2,ONE_TO_MANY_METHOD,CLASS_CONTEXT_STRONG|API_DENSE,CALL_GRAPH_NOT_EXPANDED,String cleanup moved to helper
InternalHelper,java_t4_inline_string_score_06,JAVA,T4_WEAK,T4_WEAK,True,FULL,FULL,True,INLINE_TO_HELPER,L2,0.6340453744228424,1063,1,3,3,ONE_TO_MANY_METHOD,CLASS_CONTEXT_STRONG|MANY_UNCONFIRMED_MATCHES,CALL_GRAPH_NOT_EXPANDED,Character predicate and value helper
InternalHelper,java_t4_inline_max_07,JAVA,T4_WEAK,T3,False,FULL,FULL,True,INLINE_TO_HELPER,L1,0.5030971291935341,1100,1,2,2,ONE_TO_MANY_METHOD,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,CALL_GRAPH_NOT_EXPANDED,Comparison moved to helper
InternalHelper,java_t4_inline_discount_08,JAVA,T4_WEAK,T3,False,FULL,FULL,True,INLINE_TO_HELPER,L2,0.4804839140837273,1064,1,2,2,ONE_TO_MANY_METHOD,No external API vocabulary signal was available.|CLASS_CONTEXT_STRONG,CALL_GRAPH_NOT_EXPANDED,Branch calculation moved to helper
MethodRefactor,java_t4_extract_method_01,JAVA,T4_WEAK,T4_WEAK,True,FULL,FULL,True,EXTRACT_METHOD,L2,0.7,1009,1,2,2,ONE_TO_MANY_METHOD,CLASS_CONTEXT_STRONG,CALL_GRAPH_NOT_EXPANDED,One-to-many method organization
MethodRefactor,java_t4_merge_methods_02,JAVA,T4_WEAK,T4_WEAK,True,FULL,FULL,True,MERGE_METHODS,L2,0.7,920,2,1,2,ONE_TO_MANY_METHOD,CLASS_CONTEXT_STRONG,CALL_GRAPH_NOT_EXPANDED,Many-to-one method organization
