pair_id,left_path,right_path,left_problem,right_problem,left_program,right_program,left_tokens,right_tokens,left_complexity,right_complexity,shared_tokens
N00000,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00000/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00000/right/Main.java,p02881,p02880,s002616741.java,s920097579.java,126,126,3,4,21
N00001,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00001/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00001/right/Main.java,p02945,p02922,s666307822.java,s191444616.java,97,97,2,2,17
N00002,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00002/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00002/right/Main.java,p02622,p02640,s656156927.java,s861579039.java,115,115,2,2,27
N00003,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00003/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00003/right/Main.java,p03035,p03043,s637974557.java,s427612013.java,229,229,2,2,6
N00004,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00004/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00004/right/Main.java,p00007,p02256,s999033436.java,s223630015.java,111,111,2,2,23
N00005,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00005/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00005/right/Main.java,p02959,p02947,s699373457.java,s060415760.java,281,281,4,4,13
N00006,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00006/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00006/right/Main.java,p02934,p02922,s189953178.java,s688703663.java,119,119,1,1,17
N00007,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00007/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00007/right/Main.java,p02729,p02724,s505904879.java,s524393840.java,106,106,0,0,12
N00008,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00008/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00008/right/Main.java,p02981,p03292,s291061282.java,s161100510.java,172,172,0,0,23
N00009,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00009/left/Main.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/results/formal-v1/negatives/pairs/N00009/right/Main.java,p02405,p02403,s259630613.java,s533386453.java,212,212,4,4,15
