pair_id,ref_index,kind,expected,operator,status,candidates,matched,predicted_type,type_correct,coverage,precision,iou
R00000,0,CLONE_INTERVAL,T3,t3_insert_statement,ok,1,True,T3,True,1.0,0.6923,0.6923
R00000,1,MUTATION,T3,t3_insert_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00000,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.6667,0.5
R00000,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.25,0.2222
R00001,0,CLONE_INTERVAL,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.2727,0.2727
R00001,1,MUTATION,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.0526,0.0526
R00001,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.2857,0.1053,0.0833
R00001,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.75,0.6316,0.5217
R00002,0,CLONE_INTERVAL,T1,t1_add_block_comment,ok,2,False,,False,0.0,0.0,0.0
R00002,1,MUTATION,T1,t1_add_block_comment,ok,2,False,,False,0.0,0.0,0.0
R00002,2,UNTOUCHED,T1,none,ok,2,False,,False,0.0,0.0,0.0
R00002,3,UNTOUCHED,T1,none,ok,2,False,,False,0.0,0.0,0.0
R00003,0,CLONE_INTERVAL,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.6154,0.6154
R00003,1,MUTATION,T1,t1_add_eol_comment,ok,1,False,,False,0.0,0.0,0.0
R00003,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.75,0.3,0.2727
R00003,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.2,0.1818
R00004,0,CLONE_INTERVAL,T2,t2_change_string_literal,ok,1,True,T2,True,1.0,0.3158,0.3158
R00004,1,MUTATION,T2,t2_change_string_literal,ok,3,True,T2,True,1.0,1.0,1.0
R00004,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,1.0,0.6667
R00004,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.5833,0.7,0.4667
R00005,0,CLONE_INTERVAL,T1,t1_reindent,ok,1,True,T1,True,1.0,0.1765,0.1765
R00005,1,MUTATION,T1,t1_reindent,ok,1,True,T1,True,0.6667,0.1538,0.1429
R00005,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.7143,0.1923,0.1786
R00005,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6,0.1154,0.1071
R00006,0,CLONE_INTERVAL,T3,t3_insert_statement,ok,1,True,T3,True,1.0,0.5,0.5
R00006,1,MUTATION,T3,t3_insert_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00006,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.8333,0.7143,0.625
R00006,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.5,0.375,0.2727
R00007,0,CLONE_INTERVAL,T1,t1_reindent,ok,1,True,T1,True,1.0,0.2826,0.2826
R00007,1,MUTATION,T1,t1_reindent,ok,1,True,T1,True,0.6923,0.2727,0.2432
