stratum,pair_id,status,analysis_mode,regions_emitted,regions_at_min_size,fp_reference_range,fp_strict_product,claims_syntactic_type,types,largest_region_lines,left_problem,right_problem,left_program,right_program,shared_tokens
claims syntactic type,N00012,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,71,p03293,p03075,s751275780.java,s367853044.java,21
claims syntactic type,N00120,ok,SOURCE_PLUS_WALA_SMT,2,1,False,True,True,T3,62,p03239,p03220,s623235619.java,s030769932.java,23
claims syntactic type,N00380,ok,SOURCE_PLUS_WALA_SMT,3,1,False,True,True,T3,53,p03289,p03261,s029903838.java,s405819765.java,21
claims syntactic type,N00913,ok,SOURCE_PLUS_WALA_SMT,3,3,False,True,True,POSSIBLE_T4_CANDIDATE|T2|T3,52,p02881,p02819,s751169795.java,s098057265.java,21
claims syntactic type,N00656,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,18,p03161,p03160,s220004284.java,s795788745.java,23
claims syntactic type,N00466,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,17,p02700,p02693,s664101860.java,s859471756.java,17
claims syntactic type,N00446,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,14,p02887,p02897,s984596022.java,s530756847.java,17
claims syntactic type,N00480,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,13,p02779,p03001,s880751987.java,s032320593.java,19
claims syntactic type,N00743,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,13,p02405,p02404,s182351905.java,s459205327.java,21
claims syntactic type,N00107,ok,SOURCE_PLUS_WALA_SMT,5,2,False,True,True,POSSIBLE_T4_CANDIDATE|T3,12,p02553,p04030,s431429342.java,s919950923.java,22
claims syntactic type,N00169,ok,SOURCE_PLUS_WALA_SMT,2,2,False,True,True,POSSIBLE_T4_CANDIDATE|T3,12,p02713,p02687,s475851659.java,s793675754.java,16
claims syntactic type,N00063,ok,SOURCE_PLUS_WALA_SMT,4,3,False,True,True,POSSIBLE_T4_CANDIDATE|T3,11,p02688,p02699,s352632620.java,s063894826.java,17
claims syntactic type,N00821,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,11,p02784,p02779,s285647997.java,s484227026.java,27
claims syntactic type,N00144,ok,SOURCE_PLUS_WALA_SMT,3,2,False,True,True,POSSIBLE_T4_CANDIDATE|T3,10,p02831,p02772,s955024782.java,s461400119.java,16
claims syntactic type,N00570,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,10,p02832,p02860,s174326939.java,s179774822.java,23
claims syntactic type,N00993,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,10,p02946,p02951,s453604408.java,s067012110.java,21
claims syntactic type,N00111,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,9,p02391,p02392,s868786358.java,s805408265.java,13
claims syntactic type,N00491,ok,SOURCE_PLUS_WALA_SMT,3,1,False,True,True,T3,9,p02578,p02576,s746147316.java,s901903910.java,18
claims syntactic type,N00603,ok,SOURCE_PLUS_WALA_SMT,2,1,False,True,True,T3,9,p02658,p02640,s274123786.java,s374767445.java,16
claims syntactic type,N00251,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,True,T3,8,p02687,p02681,s493894925.java,s941243651.java,17
"emits region, no syntactic claim",N00693,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,84,p02831,p03013,s627837336.java,s951107030.java,26
"emits region, no syntactic claim",N00741,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,84,p02773,p02688,s064656376.java,s707899448.java,14
"emits region, no syntactic claim",N00658,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,74,p03060,p03106,s750260229.java,s488110891.java,16
"emits region, no syntactic claim",N00807,ok,SOURCE_PLUS_WALA_SMT,2,2,False,True,False,POSSIBLE_T4_CANDIDATE,71,p03107,p02730,s787135240.java,s610681407.java,9
"emits region, no syntactic claim",N00118,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,69,p02879,p02777,s767139097.java,s556399651.java,17
"emits region, no syntactic claim",N00771,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,69,p03695,p02629,s154645388.java,s334034944.java,10
"emits region, no syntactic claim",N00965,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,67,p02922,p03075,s625193083.java,s314371979.java,10
"emits region, no syntactic claim",N00514,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,61,p02553,p03281,s439301051.java,s349565109.java,25
"emits region, no syntactic claim",N00443,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,59,p02791,p02830,s097229140.java,s937285427.java,28
"emits region, no syntactic claim",N00826,ok,SOURCE_PLUS_WALA_SMT,2,1,False,True,False,POSSIBLE_T4_CANDIDATE,59,p03775,p02705,s402149367.java,s191415575.java,18
"emits region, no syntactic claim",N00550,ok,SOURCE_PLUS_WALA_SMT,3,3,False,True,False,POSSIBLE_T4_CANDIDATE,56,p03035,p02947,s960632334.java,s039021223.java,16
"emits region, no syntactic claim",N00452,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,50,p03087,p03060,s598585705.java,s223374270.java,26
"emits region, no syntactic claim",N00019,ok,SOURCE_PLUS_WALA_SMT,7,2,False,True,False,POSSIBLE_T4_CANDIDATE,47,p03695,p02576,s448428678.java,s958976979.java,16
"emits region, no syntactic claim",N00073,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,47,p02725,p02547,s741328709.java,s476598313.java,18
"emits region, no syntactic claim",N00055,ok,SOURCE_PLUS_WALA_SMT,1,1,False,True,False,POSSIBLE_T4_CANDIDATE,45,p02659,p03545,s762747894.java,s904803212.java,11
