pair_id,ref_index,kind,expected,operator,status,candidates,matched,predicted_type,type_correct,coverage,precision,iou
R00000,0,CLONE_INTERVAL,T1,t1_add_eol_comment,ok,1,True,T2,False,1.0,0.2069,0.2069
R00000,1,MUTATION,T1,t1_add_eol_comment,ok,3,True,T1,True,1.0,0.0833,0.0833
R00000,2,CLONE_INTERVAL,T2,t2_change_int_literal,ok,1,True,T2,True,1.0,0.2759,0.2759
R00000,3,MUTATION,T2,t2_change_int_literal,ok,3,True,T2,True,1.0,1.0,1.0
R00000,4,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.1667,0.1538
R00000,5,UNTOUCHED,T1,none,ok,3,True,T1,True,0.75,0.5,0.4286
R00000,6,UNTOUCHED,T1,none,ok,3,True,T1,True,0.5,0.375,0.2727
R00001,0,CLONE_INTERVAL,T1,t1_reindent,ok,1,True,T2,False,1.0,0.3043,0.3043
R00001,1,MUTATION,T1,t1_reindent,ok,3,True,T1,True,0.8571,0.4615,0.4286
R00001,2,CLONE_INTERVAL,T2,t2_change_string_literal,ok,1,True,T2,True,1.0,0.3043,0.3043
R00001,3,MUTATION,T2,t2_change_string_literal,ok,3,True,T2,True,1.0,1.0,1.0
R00001,4,UNTOUCHED,T1,none,ok,3,True,T1,True,0.75,0.2308,0.2143
R00001,5,UNTOUCHED,T1,none,ok,3,True,T1,True,1.0,0.2308,0.2308
R00001,6,UNTOUCHED,T1,none,ok,3,True,T1,True,0.5,0.5,0.3333
R00002,0,CLONE_INTERVAL,T3,t3_wrap_statement,ok,1,True,T3,True,1.0,0.2941,0.2941
R00002,1,MUTATION,T3,t3_wrap_statement,ok,5,True,T3,True,1.0,1.0,1.0
R00002,2,CLONE_INTERVAL,T2,t2_change_string_literal,ok,1,True,T3,False,1.0,0.3243,0.3243
R00002,3,MUTATION,T2,t2_change_string_literal,ok,5,True,T2,True,1.0,1.0,1.0
R00002,4,UNTOUCHED,T1,none,ok,5,True,T1,True,0.8,0.5,0.4444
R00002,5,UNTOUCHED,T1,none,ok,5,False,,False,0.0,0.0,0.0
R00002,6,UNTOUCHED,T1,none,ok,5,True,T1,True,0.5714,0.2857,0.2353
R00002,7,UNTOUCHED,T1,none,ok,5,True,T1,True,0.6667,0.5,0.4
R00003,0,CLONE_INTERVAL,T3,t3_wrap_statement,ok,1,True,T3,True,1.0,0.0531,0.0531
R00003,1,MUTATION,T3,t3_wrap_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00003,2,CLONE_INTERVAL,T1,t1_add_blank_line,ok,1,True,T3,False,1.0,0.0619,0.0619
R00003,3,MUTATION,T1,t1_add_blank_line,ok,3,True,T1,True,1.0,0.0112,0.0112
R00003,4,UNTOUCHED,T1,none,ok,3,True,T1,True,0.75,0.5,0.4286
R00003,5,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.0225,0.0222
R00003,6,UNTOUCHED,T1,none,ok,3,True,T1,True,0.7143,0.0562,0.0549
R00003,7,UNTOUCHED,T1,none,ok,3,True,T1,True,0.6667,0.0899,0.086
R00004,0,CLONE_INTERVAL,T3,t3_delete_statement,ok,2,True,T3,True,1.0,0.0685,0.0685
R00004,1,MUTATION,T3,t3_delete_statement,ok,4,True,T3,True,1.0,1.0,1.0
R00004,2,CLONE_INTERVAL,T1,t1_reindent,ok,2,True,T3,False,1.0,0.1081,0.1081
R00004,3,MUTATION,T1,t1_reindent,ok,4,True,T1,True,0.75,0.12,0.1154
R00004,4,UNTOUCHED,T1,none,ok,4,True,T1,True,0.6667,0.2222,0.2
R00004,5,UNTOUCHED,T1,none,ok,4,True,T1,True,0.6,0.06,0.0577
