pair_id,operator,clone_type,seed_file,left_begin,left_end,right_begin,right_end,changed_lines
mCW_A_00000,mCW_A,T1,p02389/s361630164.java,12,12,12,12,1
mCW_A_00001,mCW_A,T1,p03435/s339006649.java,44,44,44,44,1
mCW_A_00002,mCW_A,T1,p02390/s330236122.java,23,23,23,23,1
mCW_A_00003,mCW_A,T1,p02753/s376293836.java,8,8,8,8,1
mCW_A_00004,mCW_A,T1,p03324/s823357695.java,1,1,1,1,1
mCW_A_00005,mCW_A,T1,p03087/s844928209.java,20,20,20,20,1
mCW_A_00006,mCW_A,T1,p00005/s736247198.java,34,34,34,34,1
mCW_A_00007,mCW_A,T1,p03041/s597198776.java,105,105,105,105,1
mCW_A_00008,mCW_A,T1,p02707/s301150255.java,21,21,21,21,1
mCW_A_00009,mCW_A,T1,p02260/s585284396.java,32,32,32,32,1
mCW_R_00000,mCW_R,T1,p02389/s361630164.java,22,22,22,22,1
mCW_R_00001,mCW_R,T1,p03435/s339006649.java,5,5,5,5,1
mCW_R_00002,mCW_R,T1,p02390/s330236122.java,14,14,14,14,1
mCW_R_00003,mCW_R,T1,p02753/s376293836.java,14,14,14,14,1
mCW_R_00004,mCW_R,T1,p03324/s823357695.java,5,5,5,5,1
mCW_R_00005,mCW_R,T1,p03087/s844928209.java,26,26,26,26,1
mCW_R_00006,mCW_R,T1,p00005/s736247198.java,42,42,42,42,1
mCW_R_00007,mCW_R,T1,p03041/s597198776.java,35,35,35,35,1
mCW_R_00008,mCW_R,T1,p02707/s301150255.java,11,11,11,11,1
mCW_R_00009,mCW_R,T1,p02260/s585284396.java,40,40,40,40,1
mCC_BT_00000,mCC_BT,T1,p02389/s361630164.java,22,22,22,22,1
mCC_BT_00001,mCC_BT,T1,p03435/s339006649.java,47,47,47,47,1
mCC_BT_00002,mCC_BT,T1,p02390/s330236122.java,2,2,2,2,1
mCC_BT_00003,mCC_BT,T1,p02753/s376293836.java,15,15,15,15,1
mCC_BT_00004,mCC_BT,T1,p03324/s823357695.java,16,16,16,16,1
mCC_BT_00005,mCC_BT,T1,p03087/s844928209.java,16,16,16,16,1
mCC_BT_00006,mCC_BT,T1,p00005/s736247198.java,50,50,50,50,1
mCC_BT_00007,mCC_BT,T1,p03041/s597198776.java,69,69,69,69,1
mCC_BT_00008,mCC_BT,T1,p02707/s301150255.java,7,7,7,7,1
mCC_BT_00009,mCC_BT,T1,p02260/s585284396.java,22,22,22,22,1
mCC_EOL_00000,mCC_EOL,T1,p02389/s361630164.java,19,19,19,19,1
mCC_EOL_00001,mCC_EOL,T1,p03435/s339006649.java,48,48,48,48,1
mCC_EOL_00002,mCC_EOL,T1,p02390/s330236122.java,24,24,24,24,1
mCC_EOL_00003,mCC_EOL,T1,p02753/s376293836.java,6,6,6,6,1
mCC_EOL_00004,mCC_EOL,T1,p03324/s823357695.java,9,9,9,9,1
mCC_EOL_00005,mCC_EOL,T1,p03087/s844928209.java,14,14,14,14,1
mCC_EOL_00006,mCC_EOL,T1,p00005/s736247198.java,23,23,23,23,1
mCC_EOL_00007,mCC_EOL,T1,p03041/s597198776.java,114,114,114,114,1
mCC_EOL_00008,mCC_EOL,T1,p02707/s301150255.java,2,2,2,2,1
mCC_EOL_00009,mCC_EOL,T1,p02260/s585284396.java,2,2,2,2,1
mCF_A_00000,mCF_A,T1,p02389/s361630164.java,12,12,12,13,2
mCF_A_00001,mCF_A,T1,p03435/s339006649.java,60,60,60,60,1
mCF_A_00002,mCF_A,T1,p02390/s330236122.java,13,13,13,14,2
mCF_A_00003,mCF_A,T1,p02753/s376293836.java,12,12,12,13,2
mCF_A_00004,mCF_A,T1,p03324/s823357695.java,3,3,3,3,1
mCF_A_00005,mCF_A,T1,p03087/s844928209.java,24,24,24,25,2
mCF_A_00006,mCF_A,T1,p00005/s736247198.java,36,36,36,37,2
mCF_A_00007,mCF_A,T1,p03041/s597198776.java,24,24,24,25,2
mCF_A_00008,mCF_A,T1,p02707/s301150255.java,6,6,6,6,1
mCF_A_00009,mCF_A,T1,p02260/s585284396.java,36,36,36,36,1
mCF_R_00000,mCF_R,T1,p02389/s361630164.java,12,13,12,12,2
mCF_R_00001,mCF_R,T1,p03435/s339006649.java,48,49,48,48,2
mCF_R_00002,mCF_R,T1,p02390/s330236122.java,17,18,17,17,2
mCF_R_00003,mCF_R,T1,p02753/s376293836.java,9,10,9,9,2
mCF_R_00004,mCF_R,T1,p03324/s823357695.java,10,11,10,10,2
mCF_R_00005,mCF_R,T1,p03087/s844928209.java,4,5,4,4,2
mCF_R_00006,mCF_R,T1,p00005/s736247198.java,32,33,32,32,2
mCF_R_00007,mCF_R,T1,p03041/s597198776.java,72,73,72,72,2
mCF_R_00008,mCF_R,T1,p02707/s301150255.java,23,24,23,23,2
mCF_R_00009,mCF_R,T1,p02260/s585284396.java,48,49,48,48,2
mSRI_00000,mSRI,T2,p02389/s361630164.java,10,12,10,12,2
mSRI_00001,mSRI,T2,p03435/s339006649.java,35,47,35,47,2
mSRI_00002,mSRI,T2,p02390/s330236122.java,23,24,23,24,2
mSRI_00003,mSRI,T2,p03087/s844928209.java,10,25,10,25,8
mSRI_00004,mSRI,T2,p00005/s736247198.java,13,46,13,46,5
mSRI_00005,mSRI,T2,p03041/s597198776.java,22,33,22,33,2
mSRI_00006,mSRI,T2,p02707/s301150255.java,15,21,15,21,5
mSRI_00007,mSRI,T2,p02629/s497633145.java,91,100,91,100,4
mSRI_00008,mSRI,T2,p04030/s670354380.java,8,24,8,24,5
mSRI_00009,mSRI,T2,p02578/s833836936.java,9,21,9,21,5
mARI_00000,mARI,T2,p02390/s330236122.java,20,20,20,20,1
mARI_00001,mARI,T2,p04030/s670354380.java,3,3,3,3,1
mARI_00002,mARI,T2,p02681/s609806079.java,6,6,6,6,1
mARI_00003,mARI,T2,p02755/s702514268.java,4,4,4,4,1
mARI_00004,mARI,T2,p02802/s240975234.java,3,3,3,3,1
mARI_00005,mARI,T2,p02392/s888796539.java,3,3,3,3,1
mARI_00006,mARI,T2,p03239/s084277532.java,5,5,5,5,1
mARI_00007,mARI,T2,p03324/s263152689.java,4,4,4,4,1
mARI_00008,mARI,T2,p02898/s391507519.java,45,45,45,45,1
mARI_00009,mARI,T2,p03370/s292891547.java,5,5,5,5,1
mRL_N_00000,mRL_N,T2,p02389/s361630164.java,12,12,12,12,1
mRL_N_00001,mRL_N,T2,p03435/s339006649.java,55,55,55,55,1
mRL_N_00002,mRL_N,T2,p02390/s330236122.java,11,11,11,11,1
mRL_N_00003,mRL_N,T2,p03324/s823357695.java,13,13,13,13,1
mRL_N_00004,mRL_N,T2,p03087/s844928209.java,18,18,18,18,1
mRL_N_00005,mRL_N,T2,p00005/s736247198.java,38,38,38,38,1
mRL_N_00006,mRL_N,T2,p03041/s597198776.java,35,35,35,35,1
mRL_N_00007,mRL_N,T2,p02707/s301150255.java,20,20,20,20,1
mRL_N_00008,mRL_N,T2,p02260/s585284396.java,41,41,41,41,1
mRL_N_00009,mRL_N,T2,p02629/s497633145.java,133,133,133,133,1
mRL_S_00000,mRL_S,T2,p03435/s339006649.java,70,70,70,70,1
mRL_S_00001,mRL_S,T2,p02390/s330236122.java,15,15,15,15,1
mRL_S_00002,mRL_S,T2,p02753/s376293836.java,14,14,14,14,1
mRL_S_00003,mRL_S,T2,p00005/s736247198.java,47,47,47,47,1
mRL_S_00004,mRL_S,T2,p03041/s597198776.java,30,30,30,30,1
mRL_S_00005,mRL_S,T2,p02260/s585284396.java,46,46,46,46,1
mRL_S_00006,mRL_S,T2,p02413/s343576127.java,31,31,31,31,1
mRL_S_00007,mRL_S,T2,p02681/s609806079.java,23,23,23,23,1
mRL_S_00008,mRL_S,T2,p02953/s626469895.java,22,22,22,22,1
mRL_S_00009,mRL_S,T2,p02613/s248805526.java,38,38,38,38,1
mIL_00000,mIL,T3,p02390/s330236122.java,14,14,14,14,1
mIL_00001,mIL,T3,p03324/s823357695.java,11,11,11,11,1
mIL_00002,mIL,T3,p00005/s736247198.java,42,42,42,42,1
mIL_00003,mIL,T3,p03041/s597198776.java,73,73,73,73,1
mIL_00004,mIL,T3,p02707/s301150255.java,17,17,17,17,1
mIL_00005,mIL,T3,p02260/s585284396.java,35,35,35,35,1
mIL_00006,mIL,T3,p02953/s626469895.java,15,15,15,15,1
mIL_00007,mIL,T3,p02613/s248805526.java,36,36,36,36,1
mIL_00008,mIL,T3,p02802/s312023439.java,40,40,40,40,1
mIL_00009,mIL,T3,p02970/s735075983.java,19,19,19,19,1
mDL_00000,mDL,T3,p02389/s361630164.java,19,19,19,19,1
mDL_00001,mDL,T3,p03435/s339006649.java,70,70,70,70,1
mDL_00002,mDL,T3,p02390/s330236122.java,24,24,24,24,1
mDL_00003,mDL,T3,p02753/s376293836.java,17,17,17,17,1
mDL_00004,mDL,T3,p03324/s823357695.java,15,15,15,15,1
mDL_00005,mDL,T3,p03087/s844928209.java,12,12,12,12,1
mDL_00006,mDL,T3,p03041/s597198776.java,60,60,60,60,1
mDL_00007,mDL,T3,p02707/s301150255.java,21,21,21,21,1
mDL_00008,mDL,T3,p02260/s585284396.java,43,43,43,43,1
mDL_00009,mDL,T3,p02629/s497633145.java,112,112,112,112,1
mML_00000,mML,T3,p03371/s608759939.java,19,19,19,19,1
mML_00001,mML,T3,p03371/s991808318.java,27,27,27,27,1
mSDL_00000,mSDL,T3,p02390/s330236122.java,15,15,15,15,1
mSDL_00001,mSDL,T3,p02753/s376293836.java,6,6,6,6,1
mSDL_00002,mSDL,T3,p03087/s844928209.java,27,27,27,27,1
mSDL_00003,mSDL,T3,p02707/s301150255.java,21,21,21,21,1
mSDL_00004,mSDL,T3,p02413/s343576127.java,29,29,29,29,1
mSDL_00005,mSDL,T3,p02681/s609806079.java,23,23,23,23,1
mSDL_00006,mSDL,T3,p02613/s248805526.java,36,36,36,36,1
mSDL_00007,mSDL,T3,p02729/s964765303.java,19,19,19,19,1
mSDL_00008,mSDL,T3,p02255/s874470983.java,6,6,6,6,1
