project,pair_id,expected_type,expected_scope,view,top_k,method_count,avg_exhaustive_similarity,avg_constrained_similarity,avg_similarity_delta,avg_candidate_reduction,total_exhaustive_candidate_pairs,total_constrained_candidate_pairs,runtime_ms,status,error,transformation_tag,difficulty,limitation_tag,notes
T1,java_t1_format_01,T1,FULL,DISCOVRE_NUMERIC,8,2,1.0,1.0,0.0,0.016666666666666663,36,35,4273,success,,CONTROL_FLOW_REORDER,L1,,Formatting and comments differ only
T1,java_t1_format_01,T1,FULL,RAW_HASH_BUCKET,8,2,1.0,1.0,0.0,0.18333333333333335,36,25,3163,success,,CONTROL_FLOW_REORDER,L1,,Formatting and comments differ only
T1,java_t1_format_01,T1,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,0,failed,"[ERROR] Failed to execute goal org.codehaus.mojo:exec-maven-plugin:3.3.0:java (default-cli) on project code-sim: An exception occurred while executing the Java class. /Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/target/discovre-eval/java_t1_format_01/HYBRID_NUMERIC_HASH.csv: No space left on device -> [Help 1]
[ERROR] 
[ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.
[ERROR] Re-run Maven using the -X switch to enable full debug logging.
[ERROR] 
[ERROR] For more information about the errors and possible solutions, please read the following articles:
[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoExecutionException",CONTROL_FLOW_REORDER,L1,,Formatting and comments differ only
T1,java_t1_format_01,T1,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,0,failed,"[ERROR] Failed to execute goal org.codehaus.mojo:exec-maven-plugin:3.3.0:java (default-cli) on project code-sim: An exception occurred while executing the Java class. /Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/target/discovre-eval/java_t1_format_01/HYBRID_NUMERIC_HASH.csv: No space left on device -> [Help 1]
[ERROR] 
[ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.
[ERROR] Re-run Maven using the -X switch to enable full debug logging.
[ERROR] 
[ERROR] For more information about the errors and possible solutions, please read the following articles:
[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoExecutionException",CONTROL_FLOW_REORDER,L1,,Formatting and comments differ only
T1,java_t1_format_01,T1,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,0,failed,"[ERROR] Failed to execute goal org.codehaus.mojo:exec-maven-plugin:3.3.0:java (default-cli) on project code-sim: An exception occurred while executing the Java class. /Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/target/discovre-eval/java_t1_format_01/HYBRID_NUMERIC_HASH.csv: No space left on device -> [Help 1]
[ERROR] 
[ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch.
[ERROR] Re-run Maven using the -X switch to enable full debug logging.
[ERROR] 
[ERROR] For more information about the errors and possible solutions, please read the following articles:
[ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoExecutionException",CONTROL_FLOW_REORDER,L1,,Formatting and comments differ only
T1,java_t1_comment_02,T1,FULL,DISCOVRE_NUMERIC,8,2,1.0,1.0,0.0,0.016666666666666663,36,35,3361,success,,CONTROL_FLOW_REORDER,L1,,Line and block comments added
T1,java_t1_comment_02,T1,FULL,RAW_HASH_BUCKET,8,2,1.0,1.0,0.0,0.18333333333333335,36,25,3121,success,,CONTROL_FLOW_REORDER,L1,,Line and block comments added
T1,java_t1_comment_02,T1,FULL,HYBRID_NUMERIC_HASH,8,2,1.0,1.0,0.0,0.18333333333333335,36,25,2846,success,,CONTROL_FLOW_REORDER,L1,,Line and block comments added
T1,java_t1_whitespace_03,T1,FULL,DISCOVRE_NUMERIC,8,2,1.0,1.0,0.0,0.016666666666666663,36,35,2855,success,,CONTROL_FLOW_REORDER,L1,,Whitespace layout differs
T1,java_t1_whitespace_03,T1,FULL,RAW_HASH_BUCKET,8,2,1.0,1.0,0.0,0.18333333333333335,36,25,2835,success,,CONTROL_FLOW_REORDER,L1,,Whitespace layout differs
T1,java_t1_whitespace_03,T1,FULL,HYBRID_NUMERIC_HASH,8,2,1.0,1.0,0.0,0.18333333333333335,36,25,2790,success,,CONTROL_FLOW_REORDER,L1,,Whitespace layout differs
T1,java_t1_block_comment_04,T1,FULL,DISCOVRE_NUMERIC,8,2,1.0,1.0,0.0,0.016666666666666663,36,35,3238,success,,CONTROL_FLOW_REORDER,L1,,Block comments inserted inside method
T1,java_t1_block_comment_04,T1,FULL,RAW_HASH_BUCKET,8,2,1.0,1.0,0.0,0.18333333333333335,36,25,3245,success,,CONTROL_FLOW_REORDER,L1,,Block comments inserted inside method
T1,java_t1_block_comment_04,T1,FULL,HYBRID_NUMERIC_HASH,8,2,1.0,1.0,0.0,0.18333333333333335,36,25,3050,success,,CONTROL_FLOW_REORDER,L1,,Block comments inserted inside method
T1,java_t1_compact_05,T1,FULL,DISCOVRE_NUMERIC,8,2,1.0,1.0,0.0,0.016666666666666663,36,35,3029,success,,CONTROL_FLOW_REORDER,L1,,Single-line compact method
T1,java_t1_compact_05,T1,FULL,RAW_HASH_BUCKET,8,2,1.0,1.0,0.0,0.18333333333333335,36,25,3048,success,,CONTROL_FLOW_REORDER,L1,,Single-line compact method
T1,java_t1_compact_05,T1,FULL,HYBRID_NUMERIC_HASH,8,2,1.0,1.0,0.0,0.18333333333333335,36,25,3327,success,,CONTROL_FLOW_REORDER,L1,,Single-line compact method
T2,java_t2_rename_01,T2,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,2844,success,,RENAMING,L1,,Class method and variable names differ
T2,java_t2_rename_01,T2,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3455,success,,RENAMING,L1,,Class method and variable names differ
T2,java_t2_rename_01,T2,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,2992,success,,RENAMING,L1,,Class method and variable names differ
T2,java_t2_rename_02,T2,FULL,DISCOVRE_NUMERIC,8,0,0.0,0.0,0.0,0.0,0,0,2989,success,,RENAMING,L1,,Loop variable names differ
T2,java_t2_rename_02,T2,FULL,RAW_HASH_BUCKET,8,0,0.0,0.0,0.0,0.0,0,0,3462,success,,RENAMING,L1,,Loop variable names differ
T2,java_t2_rename_02,T2,FULL,HYBRID_NUMERIC_HASH,8,0,0.0,0.0,0.0,0.0,0,0,3310,success,,RENAMING,L1,,Loop variable names differ
T2,java_t2_rename_03,T2,FULL,DISCOVRE_NUMERIC,8,2,1.0,1.0,0.0,0.01428571428571429,41,40,3232,success,,RENAMING,L1,,Local variable names differ
T2,java_t2_rename_03,T2,FULL,RAW_HASH_BUCKET,8,2,1.0,1.0,0.0,0.24285714285714288,41,24,3013,success,,RENAMING,L1,,Local variable names differ
