pair_id,expected_type,band,functionality_id,sim_both,bcb_f1,bcb_f2
T1_000000,T1,,4,1.0,100791,569269
T1_000001,T1,,4,1.0,15461843,20654105
T1_000002,T1,,44,1.0,241850,379079
T1_000003,T1,,44,1.0,518705,661979
T1_000004,T1,,34,1.0,95002,154506
T1_000005,T1,,4,1.0,120730,952242
T1_000006,T1,,4,1.0,492619,649639
T1_000007,T1,,4,1.0,46158,431295
T1_000008,T1,,4,1.0,204078,860578
T1_000009,T1,,27,1.0,53056,492976
T1_000010,T1,,4,1.0,241286,567476
T1_000011,T1,,4,1.0,460892,628819
T1_000012,T1,,4,1.0,161760,274159
T1_000013,T1,,31,1.0,206077,238833
T1_000014,T1,,34,1.0,665895,893803
T1_000015,T1,,40,1.0,81110,300282
T1_000016,T1,,4,1.0,7132185,14317425
T1_000017,T1,,4,1.0,272875,292999
T1_000018,T1,,4,1.0,431295,822452
T1_000019,T1,,27,1.0,355541,484445
T2_000000,T2,,4,1.0,250595,16388708
T2_000001,T2,,3,1.0,15972030,22312282
T2_000002,T2,,4,1.0,15571542,16388707
T2_000003,T2,,4,1.0,2461169,2532321
T2_000004,T2,,4,1.0,19142737,21488868
T2_000005,T2,,23,1.0,4442595,14996027
T2_000006,T2,,4,1.0,2532321,9693857
T2_000007,T2,,4,1.0,2532321,15571542
T2_000008,T2,,4,1.0,411630,19142737
T2_000009,T2,,4,1.0,367771,1458628
T2_000010,T2,,4,1.0,11548510,13783899
T2_000011,T2,,4,1.0,8793825,19912848
T2_000012,T2,,4,1.0,9693856,21870537
T2_000013,T2,,29,1.0,1403912,1403913
T2_000014,T2,,4,1.0,17984312,20544327
T2_000015,T2,,4,1.0,411631,17456565
T2_000016,T2,,4,1.0,2532322,6244936
T2_000017,T2,,4,1.0,1421557,16351776
T2_000018,T2,,4,1.0,367770,19584878
T2_000019,T2,,3,1.0,15894276,21827619
VST3_000000,T3,VST3,31,0.928571428571429,103227,103256
VST3_000001,T3,VST3,35,0.9921875,271634,427711
VST3_000002,T3,VST3,4,0.962962962962963,16466519,19643372
VST3_000003,T3,VST3,41,0.916666666666667,3618819,13811176
VST3_000004,T3,VST3,35,0.953125,232887,420464
VST3_000005,T3,VST3,34,0.991452991452991,92425,223122
VST3_000006,T3,VST3,4,0.947368421052632,13289545,20085210
VST3_000007,T3,VST3,4,0.909090909090909,1624010,3318214
VST3_000008,T3,VST3,14,0.933333333333333,17857163,18690714
VST3_000009,T3,VST3,41,0.991379310344828,18407593,20780880
VST3_000010,T3,VST3,4,0.962962962962963,948486,19643372
VST3_000011,T3,VST3,28,0.954545454545455,70168,121740
VST3_000012,T3,VST3,4,0.941176470588235,4456641,15445861
VST3_000013,T3,VST3,35,0.954545454545455,443521,897854
VST3_000014,T3,VST3,30,0.930327868852459,12366684,12812159
VST3_000015,T3,VST3,3,0.972972972972973,17787699,20378673
VST3_000016,T3,VST3,35,0.92,957614,1990444
VST3_000017,T3,VST3,34,0.991452991452991,52962,338353
VST3_000018,T3,VST3,35,0.953125,414323,719027
VST3_000019,T3,VST3,35,0.9921875,35511,501547
ST3_000000,T3,ST3,4,0.857142857142857,1706023,5744493
ST3_000001,T3,ST3,2,0.851063829787234,333109,488614
ST3_000002,T3,ST3,7,0.722222222222222,7227330,23677141
ST3_000003,T3,ST3,2,0.851063829787234,665420,832234
ST3_000004,T3,ST3,2,0.851063829787234,196392,323161
ST3_000005,T3,ST3,10,0.884955752212389,1423646,19423749
ST3_000006,T3,ST3,4,0.714285714285714,5656506,10131427
ST3_000007,T3,ST3,10,0.736842105263158,6371603,6371607
ST3_000008,T3,ST3,10,0.833333333333333,12739583,12739584
ST3_000009,T3,ST3,4,0.727272727272727,6501291,7458833
ST3_000010,T3,ST3,39,0.8125,1308760,2026298
ST3_000011,T3,ST3,2,0.851063829787234,108845,906241
ST3_000012,T3,ST3,4,0.857142857142857,5297820,17857284
ST3_000013,T3,ST3,4,0.714285714285714,11370967,18542300
ST3_000014,T3,ST3,41,0.75,2307487,20063253
ST3_000015,T3,ST3,27,0.894736842105263,36494,347560
ST3_000016,T3,ST3,7,0.882352941176471,23677136,23677140
ST3_000017,T3,ST3,10,0.727272727272727,1543361,3449615
ST3_000018,T3,ST3,2,0.851063829787234,108845,338138
ST3_000019,T3,ST3,45,0.722222222222222,149672,163980
MT3_000000,T3,MT3,30,0.5,4347914,21172448
MT3_000001,T3,MT3,41,0.5,16385622,19375222
MT3_000002,T3,MT3,4,0.5,1629598,22704165
MT3_000003,T3,MT3,30,0.53125,3631679,11073657
MT3_000004,T3,MT3,4,0.545454545454545,10089329,12345227
MT3_000005,T3,MT3,41,0.583333333333333,6151193,19560450
MT3_000006,T3,MT3,2,0.529411764705882,8664461,22961265
MT3_000007,T3,MT3,41,0.5,359049,20762045
MT3_000008,T3,MT3,4,0.545454545454545,3387990,18310878
MT3_000009,T3,MT3,14,0.62037037037037,7825067,18013234
MT3_000010,T3,MT3,3,0.545454545454545,8678081,19523689
MT3_000011,T3,MT3,41,0.527777777777778,3353836,8182888
MT3_000012,T3,MT3,14,0.533333333333333,3516892,20489341
MT3_000013,T3,MT3,3,0.5,13822269,19662493
MT3_000014,T3,MT3,10,0.551724137931034,19392399,20937548
MT3_000015,T3,MT3,3,0.538461538461538,3532296,10793696
MT3_000016,T3,MT3,4,0.685185185185185,8801436,19993993
MT3_000017,T3,MT3,41,0.5,14313420,19371116
MT3_000018,T3,MT3,4,0.583333333333333,10942052,18142979
MT3_000019,T3,MT3,30,0.555555555555556,17275229,17729563
NEG_000000,NON_CLONE,,4,0.428571,12390641,23677117
NEG_000001,NON_CLONE,,4,0.0625,17896304,23677118
NEG_000002,NON_CLONE,,4,0.142857,13201612,23677118
NEG_000003,NON_CLONE,,4,0.111111,932487,23677119
NEG_000004,NON_CLONE,,4,0.0769231,19552216,23677117
NEG_000005,NON_CLONE,,4,0.015625,2337121,23677115
NEG_000006,NON_CLONE,,14,0.105263,2550298,23677160
NEG_000007,NON_CLONE,,7,0.0147601,17047449,23677143
NEG_000008,NON_CLONE,,4,0.0833333,1988023,23677115
NEG_000009,NON_CLONE,,2,0.173913,2210050,23677112
NEG_000010,NON_CLONE,,4,0.333333,16471100,23677115
NEG_000011,NON_CLONE,,4,0.3,20151678,23677114
NEG_000012,NON_CLONE,,4,0.142857,4272404,23677114
NEG_000013,NON_CLONE,,4,0.117647,1643764,23677118
NEG_000014,NON_CLONE,,2,0.0615385,8279019,23677111
NEG_000015,NON_CLONE,,4,0.117647,13409325,23677119
NEG_000016,NON_CLONE,,4,0.111111,6639266,23677119
NEG_000017,NON_CLONE,,7,0.0746269,8379914,23677133
NEG_000018,NON_CLONE,,30,0.105263,17597858,23677194
NEG_000019,NON_CLONE,,4,0.0178571,814602,23677117
NEG_000020,NON_CLONE,,2,0.104167,5696820,23677113
NEG_000021,NON_CLONE,,4,0.166667,2732842,23677115
NEG_000022,NON_CLONE,,4,0.0714286,9616285,23677117
NEG_000023,NON_CLONE,,4,0.166667,7109394,23677119
NEG_000024,NON_CLONE,,4,0.1,22382073,23677115
NEG_000025,NON_CLONE,,4,0.181818,3247091,23677116
NEG_000026,NON_CLONE,,4,0.0681818,9435151,23677118
NEG_000027,NON_CLONE,,4,0.0714286,12054462,23677114
NEG_000028,NON_CLONE,,4,0.375,19319426,23677118
NEG_000029,NON_CLONE,,2,0.25,20336343,23677113
NEG_000030,NON_CLONE,,4,0.285714,4727619,23677117
NEG_000031,NON_CLONE,,14,0.166667,21926623,23677161
NEG_000032,NON_CLONE,,4,0.142857,18772087,23677114
NEG_000033,NON_CLONE,,14,0.08,20130073,23677160
NEG_000034,NON_CLONE,,4,0.0285714,494346,23677115
NEG_000035,NON_CLONE,,4,0.333333,17494160,23677116
NEG_000036,NON_CLONE,,14,0.133333,17132631,23677160
NEG_000037,NON_CLONE,,4,0.0148515,18604818,23677114
NEG_000038,NON_CLONE,,4,0.142857,8838041,23677114
NEG_000039,NON_CLONE,,4,0.333333,6443347,23677119
