schema_version,dataset_id,pair_id,left_path,right_path,left_sha256,right_sha256,expected_type,band,cluster_id,functionality_id,sim_both,bcb_f1,bcb_f2,left_begin,left_end,right_begin,right_end
2.0,bcb-smoke-20260721,MT3_000000,pairs/MT3_000000/LeftInput.java,pairs/MT3_000000/RightInput.java,18aea06c1524a280a1d3f739305b222576208f831c55589d38725a47a3aa46fd,31d9553a048a03465b4408f69fd33313dbc8fc05e46d9039bab0115b332bda8c,T3,MT3,30,30,0.5,4347914,21172448,21,45,21,49
2.0,bcb-smoke-20260721,MT3_000001,pairs/MT3_000001/LeftInput.java,pairs/MT3_000001/RightInput.java,c60ec060f0d5f1cbbe65d4854afb3cd9ffb96307d7730e8f11b1d6b17c2ccb0e,8eff6ff47a1728c3c2e287fe38d05a27399069b8822d959868c834c3f59da211,T3,MT3,41,41,0.5,16385622,19375222,21,32,21,29
2.0,bcb-smoke-20260721,MT3_000002,pairs/MT3_000002/LeftInput.java,pairs/MT3_000002/RightInput.java,0c509749fe7d1e3d2f195a64c500d94610d71db8b8079a6a83f94263cb51ad9a,82e2ed4257375d1edb2ff303002fbdf5c1d6452731fdf10b8d17fce9887b5c85,T3,MT3,4,4,0.5,1629598,22704165,21,29,21,30
2.0,bcb-smoke-20260721,MT3_000003,pairs/MT3_000003/LeftInput.java,pairs/MT3_000003/RightInput.java,9168a28d6dfc4e076f56cc1f0bc508cd41207fe0aebaa9ff98292cb65d23d5a8,b85cf50ed1731e443113803a0516b5e53e24e0258263e3d6ba0d9c4621397a11,T3,MT3,30,30,0.53125,3631679,11073657,21,39,21,51
2.0,bcb-smoke-20260721,MT3_000004,pairs/MT3_000004/LeftInput.java,pairs/MT3_000004/RightInput.java,0879ee6272611e078658ce5822f2453b02e5cb0312d25faa3378b01064bf13e1,d107eb65722e45c332cf5820ca4652b04ead35d4c27c8b04f5a0b64aef37f509,T3,MT3,4,4,0.545454545454545,10089329,12345227,21,29,21,29
2.0,bcb-smoke-20260721,MT3_000005,pairs/MT3_000005/LeftInput.java,pairs/MT3_000005/RightInput.java,74254062c7ec8b8faa2ed915d3145c31376385817f54da27ec049211051b9bd2,68525736a5a18583b7857651f5156ce48a5629db34df72f00d989178ca47e854,T3,MT3,41,41,0.583333333333333,6151193,19560450,21,30,21,29
2.0,bcb-smoke-20260721,MT3_000006,pairs/MT3_000006/LeftInput.java,pairs/MT3_000006/RightInput.java,9b7a0de40e938079720a984c798ec55215b8b3284d0eaaa12b7f8ad3561670d9,6514f42c21db4b3fbdcd548e0c841f9e3ee98d2f2a421e9dbacbb90078074e92,T3,MT3,2,2,0.529411764705882,8664461,22961265,21,35,21,37
2.0,bcb-smoke-20260721,MT3_000007,pairs/MT3_000007/LeftInput.java,pairs/MT3_000007/RightInput.java,c9f37d0fa99fbb4662a69b23ca364f8a5a081244281ee66d9147bb0dc00b876e,3f307c06daab273ec25ce8ad9eef6dfaa00bf7f6436198e09561f21e161cf7d1,T3,MT3,41,41,0.5,359049,20762045,21,28,21,30
2.0,bcb-smoke-20260721,MT3_000008,pairs/MT3_000008/LeftInput.java,pairs/MT3_000008/RightInput.java,0bca8c1d8bc9fa0ae200760ccaa025c9962903dd15e70b06a59d02b1ab1c8d46,78d3f1625ed2ebcede13e51a7c956707136c3f898d0d16a54a3c187618b49000,T3,MT3,4,4,0.545454545454545,3387990,18310878,21,29,21,30
2.0,bcb-smoke-20260721,MT3_000009,pairs/MT3_000009/LeftInput.java,pairs/MT3_000009/RightInput.java,87d3d750a862ab7d0c5fc24965f76ccfe22ce8a8b8bab9211df789d9d454d50d,665585c2732cda94bba994108d8b5406d8aaa07ef48cc29ca9f02c48444eaeea,T3,MT3,14,14,0.62037037037037,7825067,18013234,21,36,21,34
2.0,bcb-smoke-20260721,MT3_000010,pairs/MT3_000010/LeftInput.java,pairs/MT3_000010/RightInput.java,98389b6d1c5dcaf31721c3db11529676a93da633845fcf4a272069675700cb42,94228a24f6d22c582b655de38b039fe039749ef8bceb4658539feccb62321c35,T3,MT3,3,3,0.545454545454545,8678081,19523689,21,31,21,31
2.0,bcb-smoke-20260721,MT3_000011,pairs/MT3_000011/LeftInput.java,pairs/MT3_000011/RightInput.java,b7402ba6a4d4ea609da3289142c9849c43368f4e2f3eb0ad786fd78e370a2577,2d17071dac5917460e7f70a5d9d8d7ec7acc71a87e4c283925992fd1f9f94d9b,T3,MT3,41,41,0.527777777777778,3353836,8182888,21,30,21,28
