pair_id,left_path,right_path
java_t1_format_01,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t1/FormatBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t1/FormatVariant.java
java_t1_comment_02,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t1/FormatBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t1/CommentVariant.java
java_t1_whitespace_03,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t1/FormatBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t1/WhitespaceVariant.java
java_t1_block_comment_04,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t1/FormatBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t1/BlockCommentVariant.java
java_t1_compact_05,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t1/FormatBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t1/CompactVariant.java
java_t2_rename_01,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t2/RenameBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t2/RenameVariant.java
java_t2_rename_02,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t2/RenameBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t2/RenameVariantLoop.java
java_t2_rename_03,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t2/RenameBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t2/RenameVariantFields.java
java_t2_rename_04,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t2/RenameBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t2/RenameVariantMethod.java
java_t2_rename_05,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t2/RenameBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t2/RenameVariantLiteral.java
java_t3_insert_delete_01,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementVariant.java
java_t3_null_log_02,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementNullAndLog.java
java_t3_cap_only_03,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementCapOnly.java
java_t3_skip_odd_04,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementSkipOdd.java
java_t3_early_continue_05,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementEarlyContinue.java
java_t3_extra_counter_06,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementExtraCounter.java
java_t3_reverse_loop_07,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementReverseLoop.java
java_t3_param_threshold_08,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementBase.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t3/StatementThresholdParam.java
java_t4_inline_helper_01,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineScore.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/HelperScore.java
java_t4_helper_inline_02,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/HelperScore.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineScore.java
java_t4_inline_guard_03,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineGuard.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/HelperGuard.java
java_t4_inline_tax_04,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineTax.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/HelperTax.java
java_t4_inline_normalize_05,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineNormalize.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/HelperNormalize.java
java_t4_inline_string_score_06,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineStringScore.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/HelperStringScore.java
java_t4_inline_max_07,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineMax.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/HelperMax.java
java_t4_inline_discount_08,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineDiscount.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/HelperDiscount.java
java_t4_extract_method_01,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineFilterSort.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/HelperFilterSort.java
java_t4_merge_methods_02,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/HelperFilterSort.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineFilterSort.java
java_t4_extract_order_03,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineOrderTotal.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/ExtractOrderTotal.java
java_t4_merge_order_04,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/ExtractOrderTotal.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineOrderTotal.java
java_t4_extract_stats_05,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineStats.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/ExtractStats.java
java_t4_merge_stats_06,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/ExtractStats.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineStats.java
java_t4_extract_join_07,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineSanitizeJoin.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/ExtractSanitizeJoin.java
java_t4_merge_join_08,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/ExtractSanitizeJoin.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineSanitizeJoin.java
java_t4_call_chain_01,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlinePipeline.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/CallChainPipeline.java
java_t4_call_chain_auth_02,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineAuth.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/CallChainAuth.java
java_t4_call_chain_invoice_03,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineInvoice.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/CallChainInvoice.java
java_t4_call_chain_text_04,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineTextClean.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/CallChainTextClean.java
java_t4_call_chain_risk_05,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/InlineRiskScore.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/CallChainRiskScore.java
java_semantic_recursion_iteration_01,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/RecursiveSum.java,/Users/liuziqi/Documents/西大Graduate/Project_base/Code/Meng_ProjectBased_DetectCodeSimilar/code-sim/evaluation/samples/java/t4_internal_call/IterativeSum.java
