pair_id,operator,clone_type,seed_file,host_left,host_right,left_clone_begin,left_clone_end,right_clone_begin,right_clone_end,left_mutation_begin,left_mutation_end,changed_lines,expected_type
mARI_00002,mARI,T2,p02681/s609806079.java,s521944391.java,s402686878.java,10,33,8,31,16,16,1,T2
mARI_00003,mARI,T2,p02755/s702514268.java,s448367759.java,s235837995.java,6,42,11,47,10,10,1,T2
mARI_00004,mARI,T2,p02802/s240975234.java,s052714866.java,s238611921.java,16,56,5,45,19,19,1,T2
mARI_00006,mARI,T2,p03239/s084277532.java,s334416476.java,s492597102.java,45,72,10,37,50,50,1,T2
mARI_00008,mARI,T2,p02898/s391507519.java,s708269829.java,s224396192.java,20,90,38,108,65,65,1,T2
mCC_BT_00003,mCC_BT,T1,p02753/s376293836.java,s052544044.java,s519361159.java,5,22,14,31,20,20,1,T1
mCC_BT_00005,mCC_BT,T1,p03087/s844928209.java,s274190472.java,s981473910.java,9,39,41,71,25,25,1,T1
mCC_BT_00006,mCC_BT,T1,p00005/s736247198.java,s867890942.java,s908505944.java,36,88,10,62,86,86,1,T1
mCC_BT_00008,mCC_BT,T1,p02707/s301150255.java,s066488354.java,s029272770.java,30,50,10,30,37,37,1,T1
mCC_BT_00009,mCC_BT,T1,p02260/s585284396.java,s788724739.java,s440333966.java,22,69,12,59,44,44,1,T1
mCC_EOL_00002,mCC_EOL,T1,p02390/s330236122.java,s792569292.java,s622362668.java,34,47,18,31,58,58,1,T1
mCC_EOL_00003,mCC_EOL,T1,p02753/s376293836.java,s661328350.java,s114084139.java,72,89,43,60,78,78,1,T1
mCC_EOL_00004,mCC_EOL,T1,p03324/s823357695.java,s846223389.java,s008146628.java,5,32,136,163,14,14,1,T1
mCC_EOL_00006,mCC_EOL,T1,p00005/s736247198.java,s886859940.java,s602752595.java,144,196,6,58,167,167,1,T1
mCC_EOL_00009,mCC_EOL,T1,p02260/s585284396.java,s832301706.java,s559289320.java,43,90,47,94,45,45,1,T1
mCF_A_00001,mCF_A,T1,p03435/s339006649.java,s902647609.java,s370488582.java,8,80,6,79,68,68,1,T1
mCF_A_00002,mCF_A,T1,p02390/s330236122.java,s158551914.java,s326294128.java,8,21,31,45,21,21,2,T1
mCF_A_00003,mCF_A,T1,p02753/s376293836.java,s447189702.java,s881116826.java,23,40,31,49,35,35,2,T1
mCF_A_00008,mCF_A,T1,p02707/s301150255.java,s816480794.java,s743407258.java,46,66,21,41,52,52,1,T1
mCF_A_00009,mCF_A,T1,p02260/s585284396.java,s753948257.java,s853334260.java,169,216,15,63,205,205,1,T1
mCF_R_00001,mCF_R,T1,p03435/s339006649.java,s046126452.java,s009029374.java,9,81,60,131,57,58,2,T1
mCF_R_00002,mCF_R,T1,p02390/s330236122.java,s325565309.java,s615777291.java,34,47,13,26,51,52,2,T1
mCF_R_00003,mCF_R,T1,p02753/s376293836.java,s247425916.java,s361116302.java,8,25,56,72,17,18,2,T1
mCF_R_00004,mCF_R,T1,p03324/s823357695.java,s923896313.java,s018701176.java,10,37,8,34,20,21,2,T1
mCF_R_00005,mCF_R,T1,p03087/s844928209.java,s326790964.java,s505179524.java,4,34,6,35,8,9,2,T1
mCF_R_00008,mCF_R,T1,p02707/s301150255.java,s377225093.java,s033869594.java,25,45,8,27,48,49,2,T1
mCW_A_00001,mCW_A,T1,p03435/s339006649.java,s542969492.java,s772002383.java,9,81,9,81,53,53,1,T1
mCW_A_00002,mCW_A,T1,p02390/s330236122.java,s387921430.java,s547058345.java,14,27,83,96,37,37,1,T1
mCW_A_00003,mCW_A,T1,p02753/s376293836.java,s818291364.java,s260285481.java,25,42,37,54,33,33,1,T1
mCW_A_00004,mCW_A,T1,p03324/s823357695.java,s965410404.java,s964056374.java,46,73,5,32,47,47,1,T1
mCW_A_00005,mCW_A,T1,p03087/s844928209.java,s270200893.java,s631712109.java,15,45,87,117,35,35,1,T1
mCW_A_00008,mCW_A,T1,p02707/s301150255.java,s154198164.java,s631612244.java,42,62,40,60,63,63,1,T1
mCW_A_00009,mCW_A,T1,p02260/s585284396.java,s122208866.java,s537385548.java,20,67,55,102,52,52,1,T1
mCW_R_00002,mCW_R,T1,p02390/s330236122.java,s968963349.java,s569020321.java,24,37,15,28,38,38,1,T1
mCW_R_00003,mCW_R,T1,p02753/s376293836.java,s225426167.java,s896711455.java,42,59,7,24,56,56,1,T1
mCW_R_00004,mCW_R,T1,p03324/s823357695.java,s017915294.java,s965359504.java,9,36,61,88,14,14,1,T1
mCW_R_00006,mCW_R,T1,p00005/s736247198.java,s037433478.java,s805258015.java,8,60,7,59,50,50,1,T1
mCW_R_00009,mCW_R,T1,p02260/s585284396.java,s409260858.java,s414536052.java,7,54,12,59,47,47,1,T1
mDL_00001,mDL,T3,p03435/s339006649.java,s143167173.java,s659130501.java,8,80,32,103,78,78,1,T3
