pair_id,ref_index,kind,expected,operator,status,candidates,matched,predicted_type,type_correct,coverage,precision,iou
R00000,0,CLONE_INTERVAL,T1,t1_reindent,ok,1,True,T1,True,0.8333,0.2174,0.2083
R00000,1,MUTATION,T1,t1_reindent,ok,1,True,T1,True,0.8333,0.2941,0.2778
R00000,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.1176,0.1111
R00000,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.5882,0.5882,0.4167
R00001,0,CLONE_INTERVAL,T1,t1_reindent,ok,1,True,T1,True,1.0,0.4,0.4
R00001,1,MUTATION,T1,t1_reindent,ok,1,True,T1,True,1.0,0.4615,0.4615
R00001,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.75,0.2308,0.2143
R00001,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.5714,0.3077,0.25
R00002,0,CLONE_INTERVAL,T3,t3_delete_statement,ok,1,True,T3,True,0.9,0.5294,0.5
R00002,1,MUTATION,T3,t3_delete_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00002,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.75,0.5,0.4286
R00002,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.7143,0.625,0.5
R00003,0,CLONE_INTERVAL,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.5385,0.5385
R00003,1,MUTATION,T1,t1_add_eol_comment,ok,1,True,T1,True,1.0,0.1,0.1
R00003,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.75,0.3,0.2727
R00003,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.5,0.2,0.1667
R00004,0,CLONE_INTERVAL,T3,t3_insert_statement,ok,1,True,T3,True,1.0,0.4444,0.4444
R00004,1,MUTATION,T3,t3_insert_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00004,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.75,0.3333,0.3
R00004,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.5714,1.0,0.5714
R00005,0,CLONE_INTERVAL,T1,t1_add_block_comment,ok,1,True,T1,True,1.0,0.5,0.5
R00005,1,MUTATION,T1,t1_add_block_comment,ok,1,False,,False,0.0,0.0,0.0
R00005,2,UNTOUCHED,T1,none,ok,1,True,T1,True,0.8571,0.4615,0.4286
R00005,3,UNTOUCHED,T1,none,ok,1,True,T1,True,0.6667,0.1538,0.1429
R00006,0,CLONE_INTERVAL,T2,t2_change_int_literal,ok,1,False,,False,0.0909,0.2857,0.0741
R00006,1,MUTATION,T2,t2_change_int_literal,ok,3,True,T2,True,1.0,1.0,1.0
R00006,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.75,0.75,0.6
R00006,3,UNTOUCHED,T1,none,ok,3,True,T1,True,0.4,1.0,0.4
R00007,0,CLONE_INTERVAL,T3,t3_delete_statement,ok,1,True,T3,True,1.0,0.3846,0.3846
R00007,1,MUTATION,T3,t3_delete_statement,ok,3,True,T3,True,1.0,1.0,1.0
R00007,2,UNTOUCHED,T1,none,ok,3,True,T1,True,0.8,0.5714,0.5
