"FUNCTION_ID_ONE","FUNCTION_ID_TWO","FUNCTIONALITY_ID","SIM_BOTH","NAME1","TYPE1","S1","E1","NAME2","TYPE2","S2","E2"
"20601756","23594635","4","0.578947368421053","2345804.java","selected","173","191","2615218.java","selected","200","217"
"8001867","23594635","4","0.578947368421053","495146.java","selected","97","115","2615218.java","selected","200","217"
"15537156","23594635","4","0.5","796324.java","selected","261","274","2615218.java","selected","200","217"
"20619879","23594635","4","0.5","610969.java","selected","134","150","2615218.java","selected","200","217"
"16499420","23594635","4","0.555555555555556","1772040.java","selected","107","119","2615218.java","selected","200","217"
"20601755","23594635","4","0.578947368421053","2345804.java","selected","148","166","2615218.java","selected","200","217"
"11145818","23594635","4","0.5","1841376.java","selected","146","158","2615218.java","selected","200","217"
"9871231","23594635","4","0.5","1080199.java","selected","78","92","2615218.java","selected","200","217"
"21461424","23594635","4","0.5","1135614.java","selected","212","228","2615218.java","selected","200","217"
"22690093","23594635","4","0.5","2592054.java","selected","78","92","2615218.java","selected","200","217"
"10893111","23594635","4","0.5","372744.java","selected","24","39","2615218.java","selected","200","217"
"20368648","23594635","4","0.5","1059599.java","selected","79","89","2615218.java","selected","200","217"
"8121403","23594635","4","0.5","1000055.java","selected","30","46","2615218.java","selected","200","217"
"6150059","23594635","4","0.578947368421053","2306186.java","selected","97","115","2615218.java","selected","200","217"
"11050195","23594635","4","0.5","1141869.java","selected","113","125","2615218.java","selected","200","217"
"11717079","23594635","4","0.5","1013927.java","selected","837","851","2615218.java","selected","200","217"
"9525318","23594635","4","0.5","776814.java","selected","79","89","2615218.java","selected","200","217"
"15767189","23594635","4","0.5","2134814.java","selected","73","89","2615218.java","selected","200","217"
"16704464","23594635","4","0.5","448518.java","selected","17","34","2615218.java","selected","200","217"
"16797428","23594635","4","0.5","346204.java","selected","78","92","2615218.java","selected","200","217"
"20601757","23594635","4","0.578947368421053","2345804.java","selected","199","217","2615218.java","selected","200","217"
"6226270","23594635","4","0.555555555555556","1635001.java","selected","803","815","2615218.java","selected","200","217"
"17981986","23594635","4","0.5","266618.java","selected","85","102","2615218.java","selected","200","217"
"19319640","23594635","4","0.5","1544157.java","selected","275","289","2615218.java","selected","200","217"
"17385831","23053699","4","0.555555555555556","957430.java","selected","483","506","1826187.java","selected","116","139"
"3422759","17385831","4","0.666666666666667","1676100.java","selected","297","315","957430.java","selected","483","506"
"7263928","17385831","4","0.5","80665.java","selected","40","58","957430.java","selected","483","506"
"7187036","17385831","4","0.5","2415883.java","selected","51","69","957430.java","selected","483","506"
"14588787","17385831","4","0.5","2504368.java","selected","34","54","957430.java","selected","483","506"
"3578392","17385831","4","0.666666666666667","624024.java","selected","16","33","957430.java","selected","483","506"
"9766481","17385831","4","0.621890547263682","1177855.java","selected","99","128","957430.java","selected","483","506"
"17385831","22306604","4","0.666666666666667","957430.java","selected","483","506","2505802.java","selected","359","378"
"8979065","17385831","4","0.538461538461538","1206049.java","selected","446","471","957430.java","selected","483","506"
"17212288","17385831","4","0.5","683492.java","selected","136","156","957430.java","selected","483","506"
"4382405","17385831","4","0.541666666666667","1762255.java","selected","228","244","957430.java","selected","483","506"
"8258909","17385831","4","0.68","1549695.java","selected","28","52","957430.java","selected","483","506"
"16540473","17385831","4","0.666666666666667","1552187.java","selected","147","165","957430.java","selected","483","506"
"17385831","21967215","4","0.541666666666667","957430.java","selected","483","506","2512690.java","selected","53","68"
"17385831","22271237","4","0.666666666666667","957430.java","selected","483","506","1113498.java","selected","86","104"
"15612870","17385831","4","0.558823529411765","1288140.java","selected","7","40","957430.java","selected","483","506"
"1613935","17385831","4","0.67741935483871","1451011.java","selected","46","76","957430.java","selected","483","506"
"16845107","17385831","4","0.5","2285649.java","selected","121","155","957430.java","selected","483","506"
"4684601","17385831","4","0.541666666666667","1610044.java","selected","167","182","957430.java","selected","483","506"
"5540239","17385831","4","0.524886877828054","1387869.java","selected","1122","1156","957430.java","selected","483","506"
"8069594","17385831","4","0.541666666666667","2006571.java","selected","147","165","957430.java","selected","483","506"
