pair_id,expected,band,status,detected,type_hit,found_types,best_coverage,wall_ms
T1_000000,T1,,ok,True,True,T1,1.00,70884
T1_000001,T1,,ok,True,True,T1,1.00,70165
T1_000002,T1,,ok,True,True,T1,1.00,71237
T1_000003,T1,,ok,True,True,T1,1.00,71137
T1_000004,T1,,ok,True,True,T1,1.00,70293
T1_000005,T1,,ok,True,True,T1,1.00,70648
T1_000006,T1,,ok,True,True,T1,1.00,69517
T1_000007,T1,,ok,True,True,T1,1.00,3602
T1_000008,T1,,ok,True,True,T1,1.00,1099
T1_000009,T1,,ok,True,True,T1,1.00,1140
T1_000010,T1,,ok,True,True,T1,1.00,1169
T1_000011,T1,,ok,True,True,T1,1.00,1183
T1_000012,T1,,ok,True,True,T1,1.00,1173
T1_000013,T1,,ok,True,True,T1,1.00,1144
T1_000014,T1,,ok,True,True,T1,1.00,1249
T1_000015,T1,,ok,True,True,T1,1.00,1131
T1_000016,T1,,ok,True,True,T1,1.00,867
T1_000017,T1,,ok,True,True,T1,1.00,801
T1_000018,T1,,ok,True,True,T1,1.00,754
T1_000019,T1,,ok,True,True,T1,1.00,758
T1_000020,T1,,ok,True,True,T1,1.00,800
T1_000021,T1,,ok,True,True,T1,1.00,845
T1_000022,T1,,ok,True,True,T1,1.00,705
T1_000023,T1,,ok,True,True,T1,1.00,954
T1_000024,T1,,ok,True,True,T1,1.00,679
T1_000025,T1,,ok,True,True,T1,1.00,772
T1_000026,T1,,ok,True,True,T1,1.00,623
T1_000027,T1,,ok,True,True,T1,1.00,637
T1_000028,T1,,ok,True,True,T1,1.00,739
T1_000029,T1,,ok,True,True,T1,1.00,648
T1_000030,T1,,ok,True,True,T1,1.00,724
T1_000031,T1,,ok,True,True,T1,1.00,761
T1_000032,T1,,ok,True,True,T1,1.00,631
T1_000033,T1,,ok,True,True,T1,1.00,635
T1_000034,T1,,ok,True,True,T1,1.00,637
T1_000035,T1,,ok,True,True,T1,1.00,597
T1_000036,T1,,ok,True,True,T1,1.00,602
T1_000037,T1,,ok,True,True,T1,1.00,554
T1_000038,T1,,ok,True,True,T1,1.00,720
T1_000039,T1,,ok,True,True,T1,1.00,765
T1_000040,T1,,ok,True,True,T1,1.00,661
T1_000041,T1,,ok,True,True,T1,1.00,599
T1_000042,T1,,ok,True,True,T1,1.00,695
T1_000043,T1,,ok,True,True,T1,1.00,635
T1_000044,T1,,ok,True,True,T1,1.00,623
T1_000045,T1,,ok,True,True,T1,1.00,598
T1_000046,T1,,ok,True,True,T1,1.00,609
T1_000047,T1,,ok,True,True,T1,1.00,850
T1_000048,T1,,ok,True,True,T1,1.00,614
T1_000049,T1,,ok,True,True,T1,1.00,633
T1_000050,T1,,ok,True,True,T1,1.00,576
T1_000051,T1,,ok,True,True,T1,1.00,658
T1_000052,T1,,ok,True,True,T1,1.00,647
T1_000053,T1,,ok,True,True,T1,1.00,673
T1_000054,T1,,ok,True,True,T1,1.00,542
T1_000055,T1,,ok,True,True,T1,1.00,821
T1_000056,T1,,ok,True,True,T1,1.00,511
T1_000057,T1,,ok,True,True,T1,1.00,612
T1_000058,T1,,ok,True,True,T1,1.00,549
T1_000059,T1,,ok,True,True,T1,1.00,573
T1_000060,T1,,ok,True,True,T1,1.00,647
T1_000061,T1,,ok,True,True,T1,1.00,614
T1_000062,T1,,ok,True,True,T1,1.00,625
T1_000063,T1,,ok,True,True,T1,1.00,848
T1_000064,T1,,ok,True,True,T1,1.00,527
T1_000065,T1,,ok,True,True,T1,1.00,545
T1_000066,T1,,ok,True,True,T1,1.00,444
T1_000067,T1,,ok,True,True,T1,1.00,470
T1_000068,T1,,ok,True,True,T1,1.00,529
T1_000069,T1,,ok,True,True,T1,1.00,542
T1_000070,T1,,ok,True,True,T1,1.00,608
T1_000071,T1,,ok,True,True,T1,1.00,771
T1_000072,T1,,ok,True,True,T1,1.00,487
T1_000073,T1,,ok,True,True,T1,1.00,530
T1_000074,T1,,ok,True,True,T1,1.00,518
T1_000075,T1,,ok,True,True,T1,1.00,499
T1_000076,T1,,ok,True,True,T1,1.00,450
T1_000077,T1,,ok,True,True,T1,1.00,443
T1_000078,T1,,ok,True,True,T1,1.00,523
T1_000079,T1,,ok,True,True,T1,1.00,657
T1_000080,T1,,ok,True,True,T1,1.00,500
T1_000081,T1,,ok,True,True,T1,1.00,442
T1_000082,T1,,ok,True,True,T1,1.00,424
T1_000083,T1,,ok,True,True,T1,1.00,461
T1_000084,T1,,ok,True,True,T1,1.00,476
T1_000085,T1,,ok,True,True,T1,1.00,517
T1_000086,T1,,ok,True,True,T1,1.00,514
T1_000087,T1,,ok,True,True,T1,1.00,635
T1_000088,T1,,ok,True,True,T1,1.00,451
T1_000089,T1,,ok,True,True,T1,1.00,500
T1_000090,T1,,ok,True,True,T1,1.00,445
T1_000091,T1,,ok,True,True,T1,1.00,473
T1_000092,T1,,ok,True,True,T1,1.00,495
T1_000093,T1,,ok,True,True,T1,1.00,469
T1_000094,T1,,ok,True,True,T1,1.00,412
T1_000095,T1,,ok,True,True,T1,1.00,680
T1_000096,T1,,ok,True,True,T1,1.00,457
T1_000097,T1,,ok,True,True,T1,1.00,451
T1_000098,T1,,ok,True,True,T1,1.00,474
T1_000099,T1,,ok,True,True,T1,1.00,494
T1_000100,T1,,ok,True,True,T1,1.00,488
T1_000101,T1,,ok,True,True,T1,1.00,468
T1_000102,T1,,ok,True,True,T1,1.00,482
T1_000103,T1,,ok,True,True,T1,1.00,655
T1_000104,T1,,ok,True,True,T1,1.00,452
T1_000105,T1,,ok,True,True,T1,1.00,468
T1_000106,T1,,ok,True,True,T1,1.00,474
T1_000107,T1,,ok,True,True,T1,1.00,548
T1_000108,T1,,ok,True,True,T1,1.00,489
T1_000109,T1,,ok,True,True,T1,1.00,472
T1_000110,T1,,ok,True,True,T1,1.00,413
T1_000111,T1,,ok,True,True,T1,1.00,634
T1_000112,T1,,ok,True,True,T1,1.00,455
T1_000113,T1,,ok,True,True,T1,1.00,423
T1_000114,T1,,ok,True,True,T1,1.00,485
T1_000115,T1,,ok,True,True,T1,1.00,453
T1_000116,T1,,ok,True,True,T1,1.00,477
T1_000117,T1,,ok,True,True,T1,1.00,481
T1_000118,T1,,ok,True,True,T1,1.00,446
T1_000119,T1,,ok,True,True,T1,1.00,724
T1_000120,T1,,ok,True,True,T1,1.00,461
T1_000121,T1,,ok,True,True,T1,1.00,485
T1_000122,T1,,ok,True,True,T1,1.00,483
T1_000123,T1,,ok,True,True,T1,1.00,490
T1_000124,T1,,ok,True,True,T1,1.00,517
T1_000125,T1,,ok,True,True,T1,1.00,450
T1_000126,T1,,ok,True,True,T1,1.00,455
T1_000127,T1,,ok,True,True,T1,1.00,635
T1_000128,T1,,ok,True,True,T1,1.00,455
T1_000129,T1,,ok,True,True,T1,1.00,424
T1_000130,T1,,ok,True,True,T1,1.00,461
T1_000131,T1,,ok,True,True,T1,1.00,541
T1_000132,T1,,ok,True,True,T1,1.00,476
T1_000133,T1,,ok,True,True,T1,1.00,503
T1_000134,T1,,ok,True,True,T1,1.00,498
T1_000135,T1,,ok,True,True,T1,1.00,681
T1_000136,T1,,ok,True,True,T1,1.00,505
T1_000137,T1,,ok,True,True,T1,1.00,431
T1_000138,T1,,ok,True,True,T1,1.00,547
T1_000139,T1,,ok,True,True,T1,1.00,552
T1_000140,T1,,ok,True,True,T1,1.00,451
T1_000141,T1,,ok,True,True,T1,1.00,484
T1_000142,T1,,ok,True,True,T1,1.00,447
T1_000143,T1,,ok,True,True,T1,1.00,793
T1_000144,T1,,ok,True,True,T1,1.00,490
T1_000145,T1,,ok,True,True,T1,1.00,517
T1_000146,T1,,ok,True,True,T1,1.00,478
T1_000147,T1,,ok,True,True,T1,1.00,544
T1_000148,T1,,ok,True,True,T1,1.00,570
T1_000149,T1,,ok,True,True,T1,1.00,533
T1_000150,T1,,ok,True,True,T1,1.00,457
T1_000151,T1,,ok,True,True,T1,1.00,848
T1_000152,T1,,ok,True,True,T1,1.00,485
T1_000153,T1,,ok,True,True,T1,1.00,528
T1_000154,T1,,ok,True,True,T1,1.00,496
T1_000155,T1,,ok,True,True,T1,1.00,494
T1_000156,T1,,ok,True,True,T1,1.00,453
T1_000157,T1,,ok,True,True,T1,1.00,542
T1_000158,T1,,ok,True,True,T1,1.00,461
T1_000159,T1,,ok,True,True,T1,1.00,823
T1_000160,T1,,ok,True,True,T1,1.00,513
T1_000161,T1,,ok,True,True,T1,1.00,479
T1_000162,T1,,ok,True,True,T1,1.00,514
T1_000163,T1,,ok,True,True,T1,1.00,512
T1_000164,T1,,ok,True,True,T1,1.00,509
T1_000165,T1,,ok,True,True,T1,1.00,519
T1_000166,T1,,ok,True,True,T1,1.00,533
T1_000167,T1,,ok,True,True,T1,1.00,946
