pair_id,ref_index,range_index,kind,clone_type,operator,left_begin,left_end,right_begin,right_end
R00000,0,0,CLONE_INTERVAL,T3,t3_delete_statement,6,11,6,10
R00000,1,0,MUTATION,T3,t3_delete_statement,11,11,,
R00000,2,1,CLONE_INTERVAL,T2,t2_rename_local_x1,18,25,17,24
R00000,3,1,MUTATION,T2,t2_rename_local_x1,20,21,19,20
R00000,4,-1,UNTOUCHED,T1,none,3,5,3,5
R00000,5,-1,UNTOUCHED,T1,none,12,17,11,16
R00000,6,-1,UNTOUCHED,T1,none,26,28,25,27
R00001,0,0,CLONE_INTERVAL,T2,t2_rename_local_x3,11,21,11,21
R00001,1,0,MUTATION,T2,t2_rename_local_x3,11,20,11,20
R00001,4,1,CLONE_INTERVAL,T1,t1_reindent,95,102,95,102
R00001,5,1,MUTATION,T1,t1_reindent,95,102,95,102
R00001,6,-1,UNTOUCHED,T1,none,5,10,5,10
R00001,7,-1,UNTOUCHED,T1,none,22,24,22,24
R00001,8,-1,UNTOUCHED,T1,none,89,94,89,94
R00001,9,-1,UNTOUCHED,T1,none,103,114,103,114
R00002,0,0,CLONE_INTERVAL,T2,t2_change_int_literal,9,14,9,14
R00002,1,0,MUTATION,T2,t2_change_int_literal,12,12,12,12
R00002,2,1,CLONE_INTERVAL,T2,t2_change_string_literal,23,30,23,30
R00002,3,1,MUTATION,T2,t2_change_string_literal,27,27,27,27
R00002,4,-1,UNTOUCHED,T1,none,3,8,3,8
R00002,5,-1,UNTOUCHED,T1,none,15,22,15,22
R00002,6,-1,UNTOUCHED,T1,none,31,33,31,33
R00003,0,0,CLONE_INTERVAL,T3,t3_delete_statement,7,12,7,11
R00003,1,0,MUTATION,T3,t3_delete_statement,11,11,,
R00003,2,1,CLONE_INTERVAL,T3,t3_delete_statement,21,26,20,24
R00003,3,1,MUTATION,T3,t3_delete_statement,22,22,,
R00003,4,-1,UNTOUCHED,T1,none,4,6,4,6
R00003,5,-1,UNTOUCHED,T1,none,13,20,12,19
R00003,6,-1,UNTOUCHED,T1,none,27,29,25,27
R00004,0,0,CLONE_INTERVAL,T3,t3_delete_statement,9,14,9,13
R00004,1,0,MUTATION,T3,t3_delete_statement,9,9,,
R00004,2,1,CLONE_INTERVAL,T1,t1_add_block_comment,20,26,19,26
R00004,3,1,MUTATION,T1,t1_add_block_comment,,,24,24
R00004,4,-1,UNTOUCHED,T1,none,3,8,3,8
R00004,5,-1,UNTOUCHED,T1,none,15,19,14,18
R00004,6,-1,UNTOUCHED,T1,none,27,33,27,33
R00005,0,0,CLONE_INTERVAL,T1,t1_add_blank_line,8,14,8,15
R00005,1,0,MUTATION,T1,t1_add_blank_line,,,12,12
R00005,2,1,CLONE_INTERVAL,T2,t2_change_int_literal,143,150,144,151
R00005,3,1,MUTATION,T2,t2_change_int_literal,143,143,144,144
R00005,4,-1,UNTOUCHED,T1,none,5,7,5,7
R00005,5,-1,UNTOUCHED,T1,none,15,28,16,29
R00005,6,-1,UNTOUCHED,T1,none,139,142,140,143
R00005,7,-1,UNTOUCHED,T1,none,151,153,152,154
R00006,0,0,CLONE_INTERVAL,T3,t3_insert_statement,8,13,8,14
R00006,1,0,MUTATION,T3,t3_insert_statement,,,12,12
R00006,2,1,CLONE_INTERVAL,T1,t1_add_eol_comment,21,26,22,27
R00006,3,1,MUTATION,T1,t1_add_eol_comment,22,22,23,23
R00006,4,-1,UNTOUCHED,T1,none,4,7,4,7
R00006,5,-1,UNTOUCHED,T1,none,14,20,15,21
R00006,6,-1,UNTOUCHED,T1,none,27,34,28,35
R00007,0,0,CLONE_INTERVAL,T2,t2_rename_local_x8,7,19,7,19
R00007,1,0,MUTATION,T2,t2_rename_local_x8,7,16,7,16
R00007,3,1,CLONE_INTERVAL,T2,t2_change_string_literal,70,84,70,84
R00007,4,1,MUTATION,T2,t2_change_string_literal,77,77,77,77
R00007,5,-1,UNTOUCHED,T1,none,4,6,4,6
R00007,6,-1,UNTOUCHED,T1,none,20,22,20,22
R00007,7,-1,UNTOUCHED,T1,none,62,69,62,69
R00007,8,-1,UNTOUCHED,T1,none,85,88,85,88
R00008,0,0,CLONE_INTERVAL,T2,t2_rename_local_x4,12,17,12,17
R00008,1,0,MUTATION,T2,t2_rename_local_x4,13,17,13,17
R00008,3,1,CLONE_INTERVAL,T3,t3_wrap_statement,21,27,21,29
