"FUNCTION_ID_ONE","FUNCTION_ID_TWO","FUNCTIONALITY_ID","SIM_BOTH","NAME1","TYPE1","S1","E1","NAME2","TYPE2","S2","E2"
"11389886","21803552","4","0.76","1263900.java","selected","104","125","1283614.java","selected","41","60"
"9696025","17385831","4","0.72","2395221.java","selected","249","273","957430.java","selected","483","506"
"4822222","17385831","4","0.7","1975338.java","selected","67","96","957430.java","selected","483","506"
"8300620","17385831","4","0.76","93384.java","selected","219","243","957430.java","selected","483","506"
"13955716","17385831","4","0.875","2582891.java","selected","30","53","957430.java","selected","483","506"
"13351384","17385831","4","0.875","201950.java","selected","47","70","957430.java","selected","483","506"
"2069219","17385831","4","0.875","1947495.java","selected","44","67","957430.java","selected","483","506"
"13521323","17385831","4","0.75","1883895.java","selected","636","658","957430.java","selected","483","506"
"14284540","17385831","4","0.807692307692308","1176675.java","selected","112","137","957430.java","selected","483","506"
"17385831","17439818","4","0.708333333333333","957430.java","selected","483","506","1780127.java","selected","12","33"
"17385831","20691789","4","0.75","957430.java","selected","483","506","224239.java","selected","22","43"
"17385831","19134229","4","0.708333333333333","957430.java","selected","483","506","115970.java","selected","33","56"
"4013485","17385831","4","0.72","2019494.java","selected","97","121","957430.java","selected","483","506"
"17385831","21656668","4","0.75","957430.java","selected","483","506","376177.java","selected","69","92"
"14896033","23053699","4","0.740740740740741","2019311.java","selected","113","135","1826187.java","selected","116","139"
"2857623","23053699","4","0.7","314619.java","selected","62","88","1826187.java","selected","116","139"
"11952735","23053699","4","0.703703703703704","2021481.java","selected","443","465","1826187.java","selected","116","139"
"9195362","23053699","4","0.740740740740741","199111.java","selected","139","162","1826187.java","selected","116","139"
"7039646","7911686","4","0.857142857142857","417019.java","selected","231","242","1613178.java","selected","232","243"
"7039646","17638222","4","0.8125","417019.java","selected","231","242","1354007.java","selected","158","170"
"7039646","15768167","4","0.857142857142857","417019.java","selected","231","242","2354960.java","selected","15","26"
"7039646","22919520","4","0.705882352941176","417019.java","selected","231","242","2016782.java","selected","312","326"
"7039646","16733950","4","0.8125","417019.java","selected","231","242","253429.java","selected","26","38"
"3584277","7039646","4","0.714285714285714","327063.java","selected","157","168","417019.java","selected","231","242"
"7911686","14581601","4","0.733333333333333","1613178.java","selected","232","243","2558574.java","selected","570","582"
"3078767","14581601","4","0.866071428571429","2239204.java","selected","33","45","2558574.java","selected","570","582"
"14581601","16529002","4","0.722222222222222","2558574.java","selected","570","582","157734.java","selected","338","353"
"3959503","14581601","4","0.8","1253848.java","selected","33","45","2558574.java","selected","570","582"
"13783549","14581601","4","0.823529411764706","33546.java","selected","639","653","2558574.java","selected","570","582"
"1477578","14581601","4","0.866666666666667","2180525.java","selected","32","44","2558574.java","selected","570","582"
"8980221","14581601","4","0.8","214880.java","selected","83","95","2558574.java","selected","570","582"
"14581601","22410173","4","0.866071428571429","2558574.java","selected","570","582","2383916.java","selected","15","27"
"14581601","15768167","4","0.733333333333333","2558574.java","selected","570","582","2354960.java","selected","15","26"
"14581601","15527452","4","0.8","2558574.java","selected","570","582","174244.java","selected","78","93"
"14581601","22919520","4","0.823529411764706","2558574.java","selected","570","582","2016782.java","selected","312","326"
"3584277","14581601","4","0.733333333333333","327063.java","selected","157","168","2558574.java","selected","570","582"
"13335071","14581601","4","0.722222222222222","832110.java","selected","49","64","2558574.java","selected","570","582"
"14581601","17727663","4","0.823529411764706","2558574.java","selected","570","582","2034151.java","selected","623","637"
"14581601","14840321","4","0.866666666666667","2558574.java","selected","570","582","2054531.java","selected","466","478"
"2867246","11627705","4","0.7","2284904.java","selected","54","62","77754.java","selected","849","857"
"5498222","11627705","4","0.7","524606.java","selected","342","348","77754.java","selected","849","857"
"11627705","13927065","4","0.727272727272727","77754.java","selected","849","857","1364523.java","selected","99","108"
"11627705","23252484","4","0.8","77754.java","selected","849","857","24364.java","selected","105","112"
"7006052","11627705","4","0.727272727272727","2300570.java","selected","308","317","77754.java","selected","849","857"
"11627705","18310878","4","0.727272727272727","77754.java","selected","849","857","1992545.java","selected","81","90"
"1624010","11627705","4","0.727272727272727","443043.java","selected","1550","1559","77754.java","selected","849","857"
"11627705","14157859","4","0.8","77754.java","selected","849","857","1371986.java","selected","196","204"
"11627705","20372195","4","0.727272727272727","77754.java","selected","849","857","1360935.java","selected","504","513"
"7458833","11627705","4","0.7","1483889.java","selected","894","902","77754.java","selected","849","857"
"3325456","11627705","4","0.727272727272727","273144.java","selected","504","513","77754.java","selected","849","857"
"3387990","11627705","4","0.7","2146131.java","selected","56","64","77754.java","selected","849","857"
"10337386","11627705","4","0.7","1172615.java","selected","123","131","77754.java","selected","849","857"
"8489742","11627705","4","0.727272727272727","594064.java","selected","15","24","77754.java","selected","849","857"
"11627705","18600879","4","0.8","77754.java","selected","849","857","2117277.java","selected","88","95"
"11627705","18748516","4","0.727272727272727","77754.java","selected","849","857","351570.java","selected","83","92"
"11627705","22221713","4","0.75","77754.java","selected","849","857","1010374.java","selected","511","521"
"10942052","11627705","4","0.75","2249608.java","selected","137","147","77754.java","selected","849","857"
"9592646","11627705","4","0.8","580446.java","selected","7","14","77754.java","selected","849","857"
"6501291","11627705","4","0.727272727272727","853320.java","selected","48","57","77754.java","selected","849","857"
"11627705","12236729","4","0.7","77754.java","selected","849","857","382695.java","selected","324","331"
"11627705","18865693","4","0.7","77754.java","selected","849","857","1194610.java","selected","180","187"
"2538511","11627705","4","0.8","2260531.java","selected","504","511","77754.java","selected","849","857"
"11627705","20023016","4","0.7","77754.java","selected","849","857","341629.java","selected","51","59"
"11627705","14341904","4","0.7","77754.java","selected","849","857","1669355.java","selected","59","66"
"10878062","11627705","4","0.8","463196.java","selected","251","258","77754.java","selected","849","857"
"19549489","22046596","4","0.857142857142857","1013593.java","selected","26","32","1107815.java","selected","166","172"
"10899860","22046596","4","0.714285714285714","1126543.java","selected","107","113","1107815.java","selected","166","172"
"22046596","23658098","4","0.714285714285714","1107815.java","selected","166","172","2566001.java","selected","217","223"
"11370967","22046596","4","0.714285714285714","2331814.java","selected","67","73","1107815.java","selected","166","172"
"11730227","22046596","4","0.857142857142857","279603.java","selected","40","46","1107815.java","selected","166","172"
"20019847","22046596","4","0.857142857142857","256068.java","selected","549","555","1107815.java","selected","166","172"
"3422759","22306604","4","0.75","1676100.java","selected","297","315","2505802.java","selected","359","378"
"3422759","12903179","4","0.761904761904762","1676100.java","selected","297","315","2358129.java","selected","91","111"
"3422759","12524506","4","0.75","1676100.java","selected","297","315","2741363.java","selected","237","256"
"3422759","22301096","4","0.818181818181818","1676100.java","selected","297","315","418831.java","selected","80","100"
"3422759","7034031","4","0.768707482993197","1676100.java","selected","297","315","2102326.java","selected","637","658"
"3422759","18536907","4","0.842105263157895","1676100.java","selected","297","315","1081859.java","selected","197","212"
"3422759","10067028","4","0.789473684210526","1676100.java","selected","297","315","1831582.java","selected","207","224"
"3422759","19926877","4","0.789473684210526","1676100.java","selected","297","315","1761827.java","selected","86","102"
"3422759","11517213","4","0.782608695652174","1676100.java","selected","297","315","1748547.java","selected","90","112"
"3422759","14736188","4","0.789473684210526","1676100.java","selected","297","315","1057320.java","selected","207","224"
"3422759","12971450","4","0.789473684210526","1676100.java","selected","297","315","2403960.java","selected","34","49"
"3422759","19247466","4","0.837037037037037","1676100.java","selected","297","315","693554.java","selected","184","203"
"3422759","10391639","4","0.80952380952381","1676100.java","selected","297","315","1597770.java","selected","195","215"
"3422759","7678253","4","0.7","1676100.java","selected","297","315","2147346.java","selected","28","47"
