label,func_a,func_b,file_a,file_b,S1,S2,S3,S4,S5,Combined
clone,2,2,WritePDF.java,CopyFileSamples.java,20.29,11.43,35.81,42.32,5.56,20.16
clone,2,2,WritePDF.java,BubbleSort.java,7.69,1.06,13.03,26.67,0.00,8.07
clone,2,2,WritePDF.java,FTP_FTP4J_Samples.java,18.75,23.68,34.10,35.08,0.00,18.60
clone,3,3,ExecuteExternalProcessAndReadInput.java,CreateJavaProject.java,23.53,16.25,40.88,43.35,0.00,20.67
clone,3,3,ExecuteExternalProcessAndReadInput.java,CopyDirectoryTree.java,20.25,9.52,27.98,32.34,0.00,15.02
clone,3,3,ExecuteExternalProcessAndReadInput.java,getMACAddresInStandardForm.java,20.79,11.01,31.15,41.02,4.17,18.72
clone,4,4,ConvertDateFormat.java,TestPalindrome.java,15.22,5.56,25.58,28.57,0.00,12.49
clone,4,4,ConvertDateFormat.java,ParseCSVFile.java,28.85,7.69,32.08,31.58,0.00,16.70
clone,4,4,ConvertDateFormat.java,CRC32FileChecksum.java,33.33,21.05,45.71,40.00,0.00,23.35
clone,5,5,ConvertDateFormat.java,EncryptFile.java,45.45,17.39,37.78,44.70,0.00,24.22
clone,5,5,ConvertDateFormat.java,ExecuteExternalProcessAndReadInput.java,27.78,4.41,32.67,37.81,0.00,17.11
clone,5,5,ConvertDateFormat.java,ScreenShot.java,60.00,33.33,58.62,62.86,0.00,35.80
clone,6,6,BubbleSort.java,SetUpScrollingGraphicalViewer.java,5.13,0.00,8.40,16.09,0.00,4.94
clone,6,6,BubbleSort.java,DownloadWebpage.java,8.40,1.30,18.89,28.40,0.00,9.50
clone,6,6,BubbleSort.java,XMPPSendMessage.java,5.88,2.01,16.04,23.69,0.00,7.94
clone,7,7,OpenURLInSystemBrowser.java,ExecuteExternalProcessAndReadInput.java,21.82,12.31,36.46,30.53,0.00,16.85
clone,7,7,OpenURLInSystemBrowser.java,ParseXML2Dom.java,28.30,16.67,42.98,40.11,0.00,21.34
clone,7,7,OpenURLInSystemBrowser.java,TestPalindrome.java,15.91,8.11,26.67,33.33,0.00,14.00
clone,8,8,BinarySearch.java,DBUpdateAndRollback.java,8.26,1.96,12.60,27.99,0.00,8.47
clone,8,8,BinarySearch.java,ParseCSVFile.java,4.59,5.32,14.08,24.05,0.00,8.00
clone,8,8,BinarySearch.java,InstantiateNamedClassUsingReflection.java,10.98,5.41,19.48,31.15,0.00,11.17
clone,9,9,CreateRSAKeys.java,EncryptFile.java,31.88,16.67,43.99,42.04,13.33,26.87
clone,9,9,CreateRSAKeys.java,InstantiateNamedClassUsingReflection.java,26.79,16.00,41.75,38.13,0.00,20.44
clone,9,9,CreateRSAKeys.java,CopyDirectoryTree.java,26.92,11.76,38.68,38.68,5.56,21.19
clone,10,10,MD5.java,CopyDirectoryTree.java,20.00,4.35,27.31,32.02,0.00,13.95
clone,10,10,MD5.java,LoadFileIntoByteArray.java,20.27,15.94,23.75,37.80,0.00,16.29
clone,10,10,MD5.java,TransposeMatrix.java,13.43,10.34,20.55,29.17,0.00,12.25
clone,11,11,CRC32FileChecksum.java,PlaySound.java,33.33,12.16,41.96,45.33,16.67,27.69
clone,11,11,CRC32FileChecksum.java,SetUpGraphicalViewerSelectionEventHandler.java,12.20,7.50,17.48,22.57,0.00,9.96
clone,11,11,CRC32FileChecksum.java,CopyFileSamples.java,36.92,22.39,54.16,65.93,12.50,34.07
non-clone,3,10,Fibonacci.java,WritePDF.java,2.44,0.00,5.00,18.92,0.00,4.39
non-clone,11,7,ShuffleArrayInPlace.java,DownloadWebpage.java,11.32,4.13,23.53,32.21,0.00,11.87
non-clone,3,2,ZipFiles.java,ExecuteExternalProcessAndReadInput.java,23.75,9.57,28.26,42.76,0.00,17.39
non-clone,6,3,ExecuteExternalProcessAndReadInput.java,CopyDirectoryTree.java,20.25,9.52,27.98,32.34,0.00,15.02
non-clone,8,6,PlaySound.java,WritePDF.java,21.88,17.91,30.45,34.83,15.38,22.64
non-clone,7,4,LoadFont.java,LoadFileIntoByteArray.java,32.73,14.52,31.11,30.31,0.00,18.11
non-clone,5,6,getMACAddresInStandardForm.java,XMPPSendMessage.java,13.00,13.04,24.94,36.13,0.00,14.52
non-clone,3,4,SetUpGraphicalViewerSelectionEventHandler.java,ExtactUsingRegex.java,7.14,2.63,22.16,21.70,0.00,8.94
non-clone,4,9,MD5.java,FTP_FTP4J_Samples.java,20.34,9.80,30.45,39.58,0.00,16.70
non-clone,10,5,getMACAddresInStandardForm.java,GCD.java,6.19,2.15,13.23,22.78,0.00,7.39
