project,pair_id,language,expected_type,predicted_type,type_pass,expected_scope,predicted_scope,scope_pass,transformation_tag,difficulty,confidence,runtime_ms,method_count_a,method_count_b,pair_matrix_size,stage0_mode,warnings,limitation_tag,notes
LongT1,java_long_t1_order_01,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L2,1.0,2177,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_order_01,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L2,1.0,1587,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_order_01,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L3,0.9838679069858332,1511,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_order_01,JAVA,T4_WEAK,T2,False,FULL,FULL,True,INLINE_TO_HELPER,L3,0.9809722764751265,1401,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_order_01,JAVA,T4_WEAK,T2,False,MIXED,FULL,False,CALL_CHAIN_REFACTOR,L4,0.8299693036207798,1611,14,17,238,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|Pairwise structural comparison may be costly for this input size.|API_DENSE|CLASS_CONTEXT_WEAK|S4_COST_RISK,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_order_01,JAVA,NON_CLONE,T2,False,UNKNOWN,UNKNOWN,True,UNRELATED,L3,0.5200192796654663,1558,14,12,168,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE|MANY_UNCONFIRMED_MATCHES,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_sensor_02,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L2,1.0,1514,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_sensor_02,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L2,1.0,1832,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_sensor_02,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L3,0.9838679069858332,1487,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_sensor_02,JAVA,T4_WEAK,T2,False,FULL,FULL,True,INLINE_TO_HELPER,L3,0.9809722764751265,1346,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_sensor_02,JAVA,T4_WEAK,T2,False,MIXED,FULL,False,CALL_CHAIN_REFACTOR,L4,0.8299693036207798,1613,14,17,238,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|Pairwise structural comparison may be costly for this input size.|CLASS_CONTEXT_WEAK|S4_COST_RISK|API_DENSE,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_sensor_02,JAVA,NON_CLONE,T2,False,UNKNOWN,UNKNOWN,True,UNRELATED,L3,0.5200192796654663,1394,14,12,168,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE|MANY_UNCONFIRMED_MATCHES,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_invoice_03,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L2,1.0,1641,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_invoice_03,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L2,1.0,1380,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_invoice_03,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L3,0.9838679069858332,1462,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_invoice_03,JAVA,T4_WEAK,T2,False,FULL,FULL,True,INLINE_TO_HELPER,L3,0.9809722764751265,1808,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_invoice_03,JAVA,T4_WEAK,T2,False,MIXED,FULL,False,CALL_CHAIN_REFACTOR,L4,0.8299693036207798,1596,14,17,238,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|Pairwise structural comparison may be costly for this input size.|API_DENSE|CLASS_CONTEXT_WEAK|S4_COST_RISK,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
LongNonClone,java_long_nonclone_invoice_03,JAVA,NON_CLONE,T2,False,UNKNOWN,UNKNOWN,True,UNRELATED,L3,0.5200192796654663,1302,14,12,168,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE|MANY_UNCONFIRMED_MATCHES,THRESHOLDS_HEURISTIC,Both files are long and loop-heavy but solve different problems.
LongT1,java_long_t1_student_04,JAVA,T1,T1,True,FULL,FULL,True,CONTROL_FLOW_REORDER,L2,1.0,1384,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,,Long exact-style clone; comments and formatting differ.
LongT2,java_long_t2_student_04,JAVA,T2,T2,True,FULL,FULL,True,RENAMING,L2,1.0,1808,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|CLASS_CONTEXT_WEAK|API_DENSE,THRESHOLDS_HEURISTIC,"Long class with renamed class, methods, parameters, and locals."
LongT3,java_long_t3_student_04,JAVA,T3,T2,False,FULL,FULL,True,STATEMENT_INSERT_DELETE,L3,0.9838679069858332,1749,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,THRESHOLDS_HEURISTIC,Long Type-3 clone with guard insertion and scoring edits.
LongInternalHelper,java_long_helper_student_04,JAVA,T4_WEAK,T2,False,FULL,FULL,True,INLINE_TO_HELPER,L3,0.9809722764751265,1824,14,14,196,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|API_DENSE|CLASS_CONTEXT_WEAK,CALL_GRAPH_NOT_EXPANDED,Long inline-to-helper extraction case.
LongCallChain,java_long_call_chain_student_04,JAVA,T4_WEAK,T2,False,MIXED,FULL,False,CALL_CHAIN_REFACTOR,L4,0.8299693036207798,1831,14,17,238,MULTI_METHOD_BALANCED,Class-level S1 context is weak and should not dominate interpretation.|Pairwise structural comparison may be costly for this input size.|CLASS_CONTEXT_WEAK|API_DENSE|S4_COST_RISK,CALL_GRAPH_NOT_EXPANDED,Main workflow is split into staged internal calls.
