pair_id,ref_index,kind,clone_type,operator,left_begin,left_end,right_begin,right_end
R00000,0,CLONE_INTERVAL,T1,t1_add_eol_comment,44,49,44,49
R00000,1,MUTATION,T1,t1_add_eol_comment,45,45,45,45
R00000,2,CLONE_INTERVAL,T2,t2_rename_local_x3,63,68,63,68
R00000,3,MUTATION,T2,t2_rename_local_x3,63,67,63,67
R00000,4,UNTOUCHED,T1,none,41,43,41,43
R00000,5,UNTOUCHED,T1,none,50,58,50,58
R00000,6,UNTOUCHED,T1,none,60,62,60,62
R00000,7,UNTOUCHED,T1,none,69,83,69,83
R00001,0,CLONE_INTERVAL,T3,t3_insert_statement,30,35,30,35
R00001,1,MUTATION,T3,t3_insert_statement,,,36,36
R00001,2,CLONE_INTERVAL,T1,t1_add_blank_line,50,55,51,57
R00001,3,MUTATION,T1,t1_add_blank_line,,,53,53
R00001,4,UNTOUCHED,T1,none,27,29,27,29
R00001,5,UNTOUCHED,T1,none,36,49,37,50
R00001,6,UNTOUCHED,T1,none,56,59,58,61
R00002,0,CLONE_INTERVAL,T2,t2_change_int_literal,6,18,6,18
R00002,1,MUTATION,T2,t2_change_int_literal,7,7,7,7
R00002,2,CLONE_INTERVAL,T3,t3_delete_statement,27,32,27,31
R00002,3,MUTATION,T3,t3_delete_statement,27,27,,
R00002,4,UNTOUCHED,T1,none,3,5,3,5
R00002,5,UNTOUCHED,T1,none,19,26,19,26
R00002,6,UNTOUCHED,T1,none,33,45,32,44
R00003,0,CLONE_INTERVAL,T1,t1_add_block_comment,13,21,13,22
R00003,1,MUTATION,T1,t1_add_block_comment,,,20,20
R00003,2,CLONE_INTERVAL,T2,t2_change_string_literal,28,41,29,42
R00003,3,MUTATION,T2,t2_change_string_literal,36,36,37,37
R00003,4,UNTOUCHED,T1,none,9,12,9,12
R00003,5,UNTOUCHED,T1,none,22,27,23,28
R00003,6,UNTOUCHED,T1,none,42,44,43,45
R00004,0,CLONE_INTERVAL,T3,t3_wrap_statement,7,12,7,14
R00004,1,MUTATION,T3,t3_wrap_statement,9,9,9,11
R00004,2,CLONE_INTERVAL,T1,t1_reindent,23,29,25,31
R00004,3,MUTATION,T1,t1_reindent,23,29,25,31
R00004,4,UNTOUCHED,T1,none,3,6,3,6
R00004,5,UNTOUCHED,T1,none,13,22,15,24
R00004,6,UNTOUCHED,T1,none,30,34,32,36
R00005,0,CLONE_INTERVAL,T1,t1_add_eol_comment,13,19,13,19
R00005,1,MUTATION,T1,t1_add_eol_comment,14,14,14,14
R00005,2,CLONE_INTERVAL,T2,t2_rename_local_x1,23,31,23,31
R00005,3,MUTATION,T2,t2_rename_local_x1,26,28,26,28
R00005,4,UNTOUCHED,T1,none,3,12,3,12
R00005,5,UNTOUCHED,T1,none,20,22,20,22
R00005,6,UNTOUCHED,T1,none,32,34,32,34
R00006,0,CLONE_INTERVAL,T3,t3_insert_statement,6,11,6,12
