project,pair_id,language,file_a,file_b,expected_type,expected_scope,transformation_tag,difficulty,expected_behavior,limitation_tag,notes
T1,java_t1_format_01,JAVA,samples/java/t1/FormatBase.java,samples/java/t1/FormatVariant.java,T1,FULL,CONTROL_FLOW_REORDER,L1,Should detect exact normalized match,,Formatting and comments differ only
T1,java_t1_comment_02,JAVA,samples/java/t1/FormatBase.java,samples/java/t1/CommentVariant.java,T1,FULL,CONTROL_FLOW_REORDER,L1,Should ignore comments,,Line and block comments added
T1,java_t1_whitespace_03,JAVA,samples/java/t1/FormatBase.java,samples/java/t1/WhitespaceVariant.java,T1,FULL,CONTROL_FLOW_REORDER,L1,Should ignore whitespace,,Whitespace layout differs
T1,java_t1_block_comment_04,JAVA,samples/java/t1/FormatBase.java,samples/java/t1/BlockCommentVariant.java,T1,FULL,CONTROL_FLOW_REORDER,L1,Should ignore block comments,,Block comments inserted inside method
T1,java_t1_compact_05,JAVA,samples/java/t1/FormatBase.java,samples/java/t1/CompactVariant.java,T1,FULL,CONTROL_FLOW_REORDER,L1,Should ignore compact formatting,,Single-line compact method
T2,java_t2_rename_01,JAVA,samples/java/t2/RenameBase.java,samples/java/t2/RenameVariant.java,T2,FULL,RENAMING,L1,Should detect strong structural clone,,Class method and variable names differ
T2,java_t2_rename_02,JAVA,samples/java/t2/RenameBase.java,samples/java/t2/RenameVariantLoop.java,T2,FULL,RENAMING,L1,Should detect renamed loop variables,,Loop variable names differ
T2,java_t2_rename_03,JAVA,samples/java/t2/RenameBase.java,samples/java/t2/RenameVariantFields.java,T2,FULL,RENAMING,L1,Should detect renamed local identifiers,,Local variable names differ
T2,java_t2_rename_04,JAVA,samples/java/t2/RenameBase.java,samples/java/t2/RenameVariantMethod.java,T2,FULL,RENAMING,L1,Should detect renamed method and class,,Class and method names differ
T2,java_t2_rename_05,JAVA,samples/java/t2/RenameBase.java,samples/java/t2/RenameVariantLiteral.java,T2,FULL,RENAMING,L2,Should tolerate minor literal replacement,THRESHOLDS_HEURISTIC,Threshold literal changes from 10 to 12
T3,java_t3_insert_delete_01,JAVA,samples/java/t3/StatementBase.java,samples/java/t3/StatementVariant.java,T3,FULL,STATEMENT_INSERT_DELETE,L2,Should detect modified clone with added guards,THRESHOLDS_HEURISTIC,Small Type-3 example for calibration
T3,java_t3_null_log_02,JAVA,samples/java/t3/StatementBase.java,samples/java/t3/StatementNullAndLog.java,T3,FULL,STATEMENT_INSERT_DELETE,L2,Should treat null guard and counter as T3,THRESHOLDS_HEURISTIC,Added guard and extra variable
T3,java_t3_cap_only_03,JAVA,samples/java/t3/StatementBase.java,samples/java/t3/StatementCapOnly.java,T3,FULL,STATEMENT_INSERT_DELETE,L2,Should detect deleted negative clamp,THRESHOLDS_HEURISTIC,One branch removed
T3,java_t3_skip_odd_04,JAVA,samples/java/t3/StatementBase.java,samples/java/t3/StatementSkipOdd.java,T3,FULL,STATEMENT_INSERT_DELETE,L2,Should detect inserted filtering branch,THRESHOLDS_HEURISTIC,Extra continue branch
T3,java_t3_early_continue_05,JAVA,samples/java/t3/StatementBase.java,samples/java/t3/StatementEarlyContinue.java,T3,FULL,CONTROL_FLOW_REORDER,L2,Should detect control-flow rewrite,THRESHOLDS_HEURISTIC,Uses continue instead of assignment
T3,java_t3_extra_counter_06,JAVA,samples/java/t3/StatementBase.java,samples/java/t3/StatementExtraCounter.java,T3,FULL,STATEMENT_INSERT_DELETE,L2,Should detect added counting logic,THRESHOLDS_HEURISTIC,Extra side computation
