pair_id,region_index,expected,operator,analysis_mode,status,left_begin,left_end,right_begin,right_end,detected,primary_type,type_correct,coverage_min,precision_min,iou_min,predictions
R00000,0,T2,rename_local_x3,SOURCE_PLUS_WALA_SMT,ok,44,49,44,49,True,T1,False,1.0,0.0566,0.0566,2
R00000,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,63,68,63,68,True,T1,False,1.0,0.0566,0.0566,2
R00001,0,T2,rename_local_x4,SOURCE_PLUS_WALA_SMT,ok,7,12,7,12,True,T3,False,1.0,0.1935,0.1935,1
R00001,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,16,24,16,24,True,T3,True,1.0,0.2903,0.2903,1
R00002,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,7,12,7,12,True,T3,False,1.0,0.2222,0.2222,1
R00002,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,17,23,17,23,True,T3,True,1.0,0.2593,0.2593,1
R00003,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,7,12,7,12,True,T3,False,1.0,0.2069,0.2069,1
R00003,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,21,27,21,27,True,T3,True,1.0,0.2414,0.2414,1
R00004,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,16,22,16,22,True,T2,True,1.0,0.0909,0.0909,10
R00004,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,166,171,166,171,True,T3,True,1.0,0.15,0.15,10
R00005,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,6,18,6,18,True,T3,False,1.0,0.3171,0.3171,1
R00005,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,27,32,27,33,True,T3,True,1.0,0.15,0.15,1
R00006,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,19,37,19,37,True,T3,False,1.0,0.2714,0.2714,1
R00006,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,51,56,51,57,True,T3,True,1.0,0.087,0.087,1
R00007,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,11,19,11,19,True,T3,False,1.0,0.1667,0.1667,1
R00007,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,43,48,43,49,True,T3,True,1.0,0.1132,0.1132,1
R00008,0,T2,rename_local_x4,SOURCE_PLUS_WALA_SMT,ok,16,23,16,23,True,T3,False,1.0,0.0479,0.0479,1
R00008,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,99,104,99,104,True,T3,True,1.0,0.0359,0.0359,1
R00009,0,T2,rename_local_x1,SOURCE_PLUS_WALA_SMT,ok,38,47,38,47,True,T3,False,1.0,0.0952,0.0952,1
R00009,1,T3,insert_statement,SOURCE_PLUS_WALA_SMT,ok,92,97,92,97,True,T3,True,1.0,0.0571,0.0571,1
R00010,0,T2,rename_local_x2,SOURCE_PLUS_WALA_SMT,ok,45,52,45,52,True,T1,False,1.0,0.0899,0.0899,2
